"","V1","V2","V3","V4"
"Blacks - Whites",0.359392229385451,0.34881582641635,0.894228345793363,-0.597794580375133
"Males - Females",1.97074963264627,0.366976568934413,0.660910604056765,0.301979875971601
"Elderly - young",1.10442853594528,-0.603025602212061,-0.881337005483497,-1.24068829077677
"Ethnic Minorities - Ethnic Majority",-0.616893376061466,0.327414471669583,0.206327402323367,-1.47150586674813
"Parents - Children",3.41129286875022,-1.27312163446679,1.01691838349871,0.87353513425066
"Grandparents - Grandchildren",1.76159084634099,-2.22011707351069,-0.0760289521464021,-0.33432923486755
"Paternal relatives - Maternal relatives",2.4606572091049,0.691661501458394,-0.754533330861867,-0.417323839709119
"Elders - Juniors",0.9650833900734,-0.380802785435084,-0.849169785512393,-1.25168598931609
"Interviewers - Job applicants",-1.04752652947373,-0.84075677654896,-0.0103625359722905,-0.232226392847018
"Teachers - Students",-0.364409754865882,-2.54571728281918,0.189527344523117,-0.478046001619824
"Doctors - Patients",-0.0210454084714065,-0.715092862319594,-0.48478812352039,1.07724807528711
"Customers - Servers",-1.04909161262416,0.188413802063847,-1.66441055212106,0.949947121265383
"Representatives - Citizens",-1.13199327121055,-0.337978976443378,0.402481942588272,-0.587313810692796
"Celebrities - Fans",-0.0936918970764238,0.434366704777978,-0.679915762163203,-0.72248330884284
"Natives - Tourists",-0.588555860766311,0.659170485832971,-1.3383328136011,-0.0666374617719125
"Locals - Non-locals",0.0880264598456632,0.612590553046107,-0.271941664588051,-0.415392486882651
"Homosexual - Heterosexual",0.01619227059078,0.791206079812005,0.149199950394688,-1.51743114745131
"East Asians - Americans",-0.0171006930573657,0.962003123291465,-0.247444615815428,-1.01849148766122
"Police officers - Civilians",-1.01664511740061,-0.963761955902762,1.55422472603885,-0.503149196094526
"Rural residents - Urban residents",0.150363186591295,0.922814279231655,-0.856730131154157,-1.05333758927523
"Rich - Poor",-0.21533138436378,1.34611223670376,0.109952826380173,-1.09843682016942
"Employees-Managers",-0.136764513018838,-0.427713063192545,-0.216198502582833,0.699215673640131
"Volunteers-Community Residents",-0.0884506383597798,-0.692752096655413,-2.03526498289261,-0.8799120003759
"Disableds-Non-disableds",-0.324275118332367,0.542249705943093,-0.782742750611788,-1.61992657482587
"Interns - Employees",-0.214556114839476,0.309129705728229,-0.770210630243686,0.0730449005687733
"Employers - Employees",-1.07071611936555,-1.18560940912719,0.951732043376011,0.989329543566785
"Salespersons - Customers",-0.932683649693924,0.583337376877917,-1.77682410203948,0.987380769005643
"Owners - Managers",-0.107437997455544,-0.282196434282536,0.495528436440167,0.992578237615222
"Chiefs - Deputies",-0.495200038989126,-0.632918772586539,0.018372725176417,0.247680410441896
"Supervisors - Subordinates",-0.380209483801857,-0.46796427493259,0.405563679036494,0.490736826296442
"Bosses - Secretaries",0.128891927519613,-0.687628942433743,0.392860122019123,1.14187725376777
"Managers - Assistants",-0.210519608447182,-0.21117268028041,0.348201967525105,0.447718855602191
"Lawyers - Clients",-0.766049018591769,-0.699237871815431,-0.162241258084472,0.571954747234907
"Prostitutes - Customers",0.83654167245528,2.45085157355976,-0.324929215545221,2.60397458117253
"Dealers - Buyers",-0.833399351076926,-0.072706547458498,-0.0663259407316339,1.61969807559511
"Party A-Party B (in Contract)",-0.487681817035301,-0.123143883661672,0.531403450370028,0.717458127901711
"Managers - Investors",-0.179745452448812,0.348537999058981,0.18913012802281,0.989372342294181
"Investors-Entrepreneurs",-0.2663817688933,0.769031991642859,0.251470894750527,1.12789842404668
"Gang Member-Rival Gang Member",0.545680360588862,2.40223885047331,2.46512113269113,-0.0569631084988864
"Republicans - democrats",-1.14253499411654,0.306496089562376,3.01657655066645,-1.33955378672252
