"","V1","V2","V3","V4","V5","V6"
"Valence.Evaluation",0.223180399954566,-0.397574198295061,-0.56044272059997,-0.329060908643328,0.266482763092156,0.045927718827582
"Equality",0.462008950289807,0.471898821180278,0.211614898490115,-0.0608372862252766,0.127737918473512,0.287429398093422
"Activity.Intensity",0.555689304341172,-0.484552766668753,0.150112118030383,-0.215063956405291,-0.328515146938434,-0.0420639710522616
"Socioemotional",0.928806349131105,0.0458935360177264,-0.0930008733529368,-0.0229733382467945,-0.186346358802203,-0.119414552298802
"Formality.and.Regulation",-0.864804817293398,-0.113936294936936,0.0187055701212492,-0.278436534150516,0.0859595929674145,0.0107955886290462
"Intimacy",0.872515283928479,-0.128076100016578,-0.0840557021619925,-0.081636623935232,0.028549140818608,-0.300688686343044
"Visibility",-0.223638820753262,0.130147785564157,0.153334788276844,-0.087179864548629,0.08345031132435,0.718090567898268
"Communal.Sharing",0.850395627638661,-0.0282773864458478,-0.173074156829978,-0.155402972916769,-0.0202730418797025,0.106280416312989
"Expected.Reciprocity",0.00668314096590327,-0.0537019579518553,0.370948442864063,-0.203469456231393,0.359461048434673,0.0693820928208001
"Strategic",-0.857053888259062,0.031248804301087,0.190792914606224,-0.0990716171876085,0.296609982998346,0.00427806451383977
"Concreteness",-0.647281347445774,-0.174345256648654,0.00897881946356966,0.181620036311455,0.55123752506207,0.0714563145406627
"Uniqueness",0.24285963122176,-0.464293320450155,0.133363985119255,0.00174386059940606,-0.413200344578915,-0.294918877329061
"Love.Expression",0.874147304460917,-0.180902092467296,-0.164059334095127,-0.194270473956726,-0.156920859225666,-0.0128814843680747
"Information.Exchange",-0.0266577917047894,-0.568606502819526,-0.169939808996807,-0.604908546884019,0.0478647328635646,-0.24563787117644
"Money.Exchange",-0.535501695495419,-0.159975449542406,-0.0772561341658458,0.104359498020182,0.65248395631778,-0.279295457792528
"Goods.Exchange",-0.150656538304623,-0.0978842854535126,-0.125054860299726,0.0259118550767692,0.892129281387644,0.0858507266008424
"Service.Exchange",-0.520948425180997,-0.313093258870924,-0.354535005548,-0.0747508090510312,0.541253507534714,0.0835472318851373
"Attachment",0.591505115438366,-0.517999425248415,-0.274808302683187,-0.330516387587025,-0.120074240326026,-0.163308799974004
"Mating",0.733568149672705,-0.042075333256371,0.178536343972469,0.0309378662876863,0.0630877957615773,-0.434469311427409
"Conflict",0.0762858115536264,0.197914923507828,0.839928757937203,0.236005032459514,-0.249407417550407,0.0114676260957168
"Negotiation",-0.368863078866731,-0.243304485116694,0.341875086720412,-0.257917258075995,0.542566031094797,-0.387859102062
"Coercion",-0.259781722225917,-0.0785234593373839,0.844049866486093,0.175443537699651,0.0946677201579713,-0.0534391556392739
"Importance.for.society",-0.0160208758323287,-0.108389405003251,-0.0256174057154584,-0.878463577784065,-0.0412773703704856,0.262221024599552
"Importance.for.individuals",-0.0772606623898822,-0.285303705905431,-0.117137534194542,-0.860102146093172,-0.0590101385665547,0.0484336696808392
"Affiliation.Coalition",-0.116642452895506,-0.382958034320308,-0.20774257811506,-0.139768696132613,-0.0298769019374134,0.639927171054518
"Occupational",-0.773866221735362,-0.345849702353843,-0.116705909361228,-0.236019096955319,0.315431844267812,0.0296710433891986
"Activeness",-0.182056964595371,-0.828859937578945,-0.0126808466565638,-0.275026966175142,0.226065817584389,0.0553382110203608
"Endurance",0.247910032071062,-0.770016971501127,0.186073229148831,-0.409019679609222,-0.148668324215155,-0.0883218335224624
"Synchronicity",-0.205755465203435,-0.815607169584991,-0.0387547284890666,-0.269327556623647,0.371226009793833,0.0760839149732538
"Spatial.Distance",-0.111128915078563,-0.820868268854924,-0.175225388479752,-0.0462336501649468,0.291915720828516,0.0914207219333896
"Morality",0.18070631321131,-0.387194458059402,-0.396767384818873,-0.71333116819997,0.193609247251697,0.0164014335704949
"Trust",0.112404956854068,-0.511113090631345,-0.43572369779744,-0.538947362970966,0.19548239784272,-0.112779491472444
"Generation.Gap",0.254480880086521,-0.508767662959672,-0.240020505300895,-0.357045775625494,-0.0364849495919053,0.215716193426616
