"","V1","V2","V3","V4","V5","V6"
"Blacks - Whites",0.373645970827739,-0.167515010340739,1.53025766535577,-0.199904832786558,1.93157384701201,-0.571468211004482
"Males - Females",0.504084210368893,-0.467339793884952,-1.38929697679938,2.31072217634181,0.656376851214755,0.328322709338146
"Elderly - young",1.32142770306591,-0.239762887427362,1.32180998872435,-1.09375998677384,-0.801953981565204,-0.0133066596321889
"Ethnic Minorities - Ethnic Majority",0.187221440192459,0.102425821795088,0.898176699249812,0.801810024378092,-0.296173026799833,2.0798101991569
"Parents - Children",1.96504871965892,-1.6805545315864,-1.37959539034398,-0.40618927266614,-0.630614137381229,0.329337435691506
"Grandparents - Grandchildren",2.3520126298667,-1.6909082138459,-1.14030241686946,-0.3172350287757,-0.920762543379683,0.283462404258801
"Paternal relatives - Maternal relatives",0.530228192974529,-1.46088464603777,-0.389748353651623,0.988403467577958,-0.47815216945067,0.622097254009392
"Elders - Juniors",1.61073028733065,-0.448956287259936,0.519941736654526,-1.07415648503211,-0.689791841695153,0.663789753584808
"Interviewers - Job applicants",-0.566420757887459,0.593401906447955,-0.0166352112658588,-0.377469977997333,0.627904602410107,-0.947983125579404
"Teachers - Students",1.55182256550531,1.34583841597209,-0.584802863434237,-1.0012020666574,-0.207841118905705,-1.02521307495089
"Doctors - Patients",-0.318083832458846,0.652801792276817,-0.833732154323821,0.979200971283592,-0.0980083754213515,-1.00368422046772
"Customers - Servers",-0.709630678475642,0.546765511592011,0.387885317216886,0.369673015765417,-0.577137413271776,-1.17514387337114
"Representatives - Citizens",0.705127174759492,0.978067968027842,0.767254181412777,-0.150981109511368,-0.48442125722743,0.253044806980127
"Celebrities - Fans",0.123467443677688,-0.354795101982564,0.117982455381107,-0.0711504416825088,-0.959491935529228,0.252124140277873
"Natives - Tourists",-0.734733839544455,0.131980767289669,1.95692168944158,0.509217935188317,-0.773508541777576,0.692501165628546
"Natives - Immigrants (Locals - Non-locals / Residents - Non-residents)",-0.143966271253975,-0.57938352210434,1.69811734185356,0.34187760673262,-0.505626138161151,0.384413828026444
"Homosexual - Heterosexual",1.03844196776965,-1.31000691087163,-0.814736916658902,1.55811309145499,1.18283740169462,-0.893780705848876
"East Asians - Americans",-0.178431322219967,0.163254463141152,1.64541834865683,0.553838648402983,1.31796288252296,0.867635303843042
"Police officers - Civilians",1.6581517631771,1.73968329052424,-0.116675156851246,0.701987155038088,-0.459347686717355,-1.24440503835548
"Rural residents - Urban residents",-0.40000879015723,-0.0406871418503685,1.41913524399669,0.494621682310858,-0.146440894351064,1.12561547803335
"Rich - Poor",-0.205598886164182,0.0879540653924297,1.61831477499627,-0.600029179135066,1.34338792369091,0.197730021295046
"Employees-Managers",-0.253169189009126,0.775350691151455,-0.619440276161122,-0.608715849484492,0.866960826576382,-0.0369352371858603
"Volunteers-Community Residents",0.590880181486177,0.740154285874096,0.0827738820805275,0.990907533317883,-0.326949427247148,-1.31777512809553
"Disableds-Non-disableds",0.969214805380532,-0.288780587480933,1.51938038555941,0.0786633339980287,-0.513544862651776,0.535491857440129
"Interns and Employees",-0.183837344580121,1.2136441884328,-0.243640358895041,-0.427164773609903,0.875931211127334,-0.679262646544941
"Employers and Employees",-0.604427343871167,0.0357378439086015,-0.243625052482351,-0.763540869591645,-0.221278010574299,-0.0621200023672893
"Salespersons and Customers",-0.818710864412486,0.0889456411964665,0.857484606924836,0.762300417854555,-1.14610800169934,-1.94763910671248
"Owners and Managers",-0.754792754700931,0.443775818831534,-0.76340702793703,-1.21033165963315,-0.378434798070193,0.673837207713253
"Chiefs and Deputies",-0.487131165162272,0.722994984971493,-0.671398414230708,-1.69884511887717,-0.211840775734953,0.319100940055909
"Supervisors and Subordinates",-0.541421561531912,1.02120503329623,-0.481954383466116,-1.96245597185084,-0.165172913147194,0.0835177413007523
"Bosses and Secretaries",-0.725268287311156,0.312906713671317,-1.19041032508086,-1.09753788591177,-0.323288339959588,-0.349151964981598
"Managers and Assistants",-0.344887744232336,0.376715628820215,-0.564974558095213,-1.50052524900254,-0.757549310100058,0.484752411439915
"Lawyers and Clients",-0.475582174061982,0.565675249991673,-1.16665785510331,1.01307915680574,-0.434230238404109,-0.135543015686582
"Prostitutes and Customers",-2.10542230689226,-3.37562064368086,0.326097134824731,-1.00588301249789,-0.813120070191601,-2.54946608089361
"Dealers and Buyers",-1.04693356065761,0.0429096911739853,0.178406669607297,1.79141742481114,-0.386782099014717,-1.0285460383495
"Party A-Party B (in Contract)",-1.36584077619978,0.268543609867541,-1.06665118164471,1.20567168360369,-0.527789423370242,1.39406406027397
"Managers - Investors",-1.4361162366918,0.276524725431543,-1.09270377302247,0.47970633519189,-0.484816026757123,0.883381211970071
"Investor-Entrepreneur",-1.02726772396844,0.204650005722437,-1.06146643258571,0.53190103226192,-0.163698374874002,2.32441994503298
"Gang Member-Rival Gang Member",-0.795199158647543,-2.08805963574188,-0.525065328187071,-1.12980590562345,2.93969150009146,0.733071664892654
"Republic, democratic",0.741377514050931,0.761346799294963,-0.488437714846748,0.23377198478129,3.14124668709022,-0.530097410216039
