"","V1","V2","V3"
"Blacks - Whites",0.722073523237528,0.83267145855127,0.252434844622909
"Males - Females",1.58409769464421,0.409802461378663,0.715786530185948
"Elderly - young",1.4288304830154,-0.793665267313846,-1.1004028399272
"Ethnic Minorities - Ethnic Majority",0.183934587260964,0.727287702106504,-0.838861300981181
"Parents - Children",2.84820845365852,-1.01821499377131,1.93593769654518
"Grandparents - Grandchildren",1.96849065335839,-1.97545044344981,0.580601285973325
"Paternal relatives - Maternal relatives",1.98865165192287,0.0681750021519058,-0.825489871087307
"Elders - Juniors",1.28929275225455,-0.577739552197331,-1.16251886880169
"Interviewers - Job applicants",-0.633223760506014,-0.569904847498901,0.035768952191096
"Teachers - Students",0.368047610424592,-1.90098279135763,0.629020935125868
"Doctors - Patients",-0.525231111612616,-1.05717738606856,0.471900714053588
"Customers - Servers",-1.71601116767899,-0.785244046535877,-0.853325149219057
"Representatives - Citizens",-0.525183713701372,0.137215463133741,-0.0190615367072187
"Celebrities - Fans",0.0565517251320601,0.172554388661619,-1.06914259565436
"Natives - Tourists",-0.84750516634198,-0.0622561643156028,-1.29916270588814
"Locals - Non-locals",0.118928065683581,0.449949451937915,-0.626098790573092
"Homosexual - Heterosexual",0.64981739326686,1.04023368583896,-1.00132112429838
"East Asians - Americans",0.271038761385571,0.884567016576407,-1.07010011293117
"Police officers - Civilians",-0.126472491457994,0.170221561450096,1.10112891433976
"Rural residents - Urban residents",0.305025176672658,0.536509420634904,-1.52403466992583
"Rich - Poor",0.158672778996604,1.41895045843766,-0.981357908178031
"Employees-Managers",-0.428747351526895,-0.595414571522934,0.359397676553883
"Volunteers-Community Residents",0.028036114528544,-1.42185319390078,-1.83172668854772
"Disableds-Non-disableds",0.2566065371029,0.411387168518367,-1.71306982555069
"Interns - Employees",-0.426417862983789,-0.127577096047393,-0.652087079854507
"Employers - Employees",-0.981953882180179,-0.615681274260207,1.56669306280589
"Salespersons - Customers",-1.72295904342103,-0.530047714529751,-1.02976845317857
"Owners - Managers",-0.417695169700662,-0.175898592130948,1.02159289429399
"Chiefs - Deputies",-0.429106170382936,-0.526221800877526,0.312374692062728
"Supervisors - Subordinates",-0.394014058248984,-0.251752398976554,0.701801960553213
"Bosses - Secretaries",-0.249545638354855,-0.616585906130572,1.17439404406853
"Managers - Assistants",-0.284224673839391,-0.0723749385032984,0.567863461456559
"Lawyers - Clients",-0.839235660114445,-0.714919912392414,0.360882772863546
"Prostitutes - Customers",-1.00952496350123,1.28414541490563,0.554756630180518
"Dealers - Buyers",-1.4782649836747,-0.34899862632456,0.834157085711872
"Party A-Party B (in Contract)",-0.620805916909689,0.0631656156254431,0.811145298356097
"Managers - Investors",-0.641214482935652,0.202480333778507,0.587302341750346
"Investors-Entrepreneurs",-0.833578280982611,0.564442757080093,0.576404908503619
"Gang Member-Rival Gang Member",0.625412600401199,3.21528937904182,1.1255102534077
"Republicans - democrats",0.279198987109008,2.1489127782963,1.32067256569798
