"","V1","V2","V3","V4","V5"
"Blacks - Whites",0.222590352874865,-0.221690596463176,1.76235138803396,-0.362467171923932,1.61004813635985
"Males - Females",0.45391426478227,-0.614741157980316,-1.27182932132335,2.28810520071123,0.664556172614103
"Elderly - young",1.33072291775486,-0.188343011584335,1.24462393775259,-1.07450199976942,-0.876819961188501
"Ethnic Minorities - Ethnic Majority",0.710711759833182,0.30595476799817,0.588577275305622,1.21762571121554,0.215344338928671
"Parents - Children",1.95874144862162,-1.73786103070532,-1.39126076411354,-0.387281881473364,-0.562868246424321
"Grandparents - Grandchildren",2.32076565880591,-1.75941214116923,-1.16031155548579,-0.308087252155287,-0.893007785805094
"Paternal relatives - Maternal relatives",0.613077422060668,-1.45585381715643,-0.448809404592513,1.06514108550317,-0.32526138632194
"Elders - Juniors",1.77315195788411,-0.371150257696529,0.379405053854486,-0.932575223937869,-0.568232871834369
"Interviewers - Job applicants",-0.776005957022087,0.520331929692217,0.137442311812377,-0.556188898200464,0.385083988347812
"Teachers - Students",1.2783770184022,1.1899680856539,-0.452470431465073,-1.18344152843606,-0.548395181846755
"Doctors - Patients",-0.609204589069149,0.491731183270294,-0.676953196994438,0.771428600072799,-0.356881302189717
"Customers - Servers",-0.991216695382326,0.465321300328483,0.482914712814587,0.161107235862454,-0.86229359420187
"Representatives - Citizens",0.778677298394877,1.0077154347041,0.678837194026494,-0.0728309833165489,-0.478875972170468
"Celebrities - Fans",0.190290116222125,-0.304030652626699,0.00452436539983955,-0.00366177965923609,-0.855219485355207
"Natives - Tourists",-0.514766792029378,0.295621888248443,1.75410026957994,0.680773947104873,-0.594072304431918
"Natives - Immigrants (Locals - Non-locals / Residents - Non-residents)",-0.0350084156951531,-0.47514969138051,1.58877056725664,0.422480628654099,-0.441115144952359
"Homosexual - Heterosexual",0.668696105991397,-1.55742334304839,-0.479686078855632,1.26648507073987,0.803368238177223
"East Asians - Americans",0.049548988913175,0.261317874957563,1.61833486223556,0.699160818982275,1.42685227308715
"Police officers - Civilians",1.26979916561097,1.50169952615462,0.0641637038036619,0.452742290680854,-0.939175455515977
"Rural residents - Urban residents",-0.0907008379651933,0.12167115837305,1.22788648416943,0.728074201038017,0.126387318126125
"Rich - Poor",-0.109388876671663,0.168516685148033,1.65699170346168,-0.567941503186873,1.30905716171293
"Employees-Managers",-0.231818495894616,0.763040403622836,-0.566615279108715,-0.606769609081142,0.874794521286617
"Volunteers-Community Residents",0.197892889500181,0.541850983214878,0.275722930738132,0.71513969803134,-0.765250063339854
"Disableds-Non-disableds",1.08987219239499,-0.215945015879157,1.40987714519041,0.182817751138757,-0.47188726840958
"Interns and Employees",-0.330070636441324,1.13469096057441,-0.103258533939285,-0.550703224033211,0.674299102356816
"Employers and Employees",-0.570272967272576,0.0856921815037575,-0.289494481978731,-0.744612133760515,-0.150541059293495
"Salespersons and Customers",-1.31211354532256,-0.0505631649875821,1.02211488680112,0.396302727824402,-1.64086070394956
"Owners and Managers",-0.50385281439142,0.576538311055749,-0.943382569222584,-1.01944044829368,-0.0540829941293112
"Chiefs and Deputies",-0.315965211200049,0.826366667899576,-0.798338590895995,-1.57197376348112,-0.00169963623828484
"Supervisors and Subordinates",-0.413586071905465,1.11770734166941,-0.587576768847736,-1.87120635762376,-0.0202406108443037
"Bosses and Secretaries",-0.756434356387423,0.321315191472945,-1.20696899106634,-1.12349431490113,-0.272449687170948
"Managers and Assistants",-0.143377618161235,0.500154308791892,-0.749188035131972,-1.33987825549058,-0.495315992760611
"Lawyers and Clients",-0.537353429892366,0.494522850756577,-1.16007800428394,0.988906228881311,-0.413492165050042
"Prostitutes and Customers",-2.70010685714525,-3.44006519207384,0.578614347790043,-1.51626511746262,-1.2796225206095
"Dealers and Buyers",-1.3442631134922,-0.0774120460252957,0.310671620171096,1.57171029875677,-0.651187177303473
"Party A-Party B (in Contract)",-1.00302513846424,0.391266264445638,-1.30341925634329,1.49983660852641,-0.0236499798883327
"Managers - Investors",-1.17722226029418,0.380268897995717,-1.27522034923622,0.685787502259871,-0.0931741362766309
"Investor-Entrepreneur",-0.408781062869006,0.428107442129737,-1.40883447443749,1.01417435228844,0.582631606603976
"Gang Member-Rival Gang Member",-0.584024806194273,-1.99510007056327,-0.392834622692434,-1.05994528585295,3.15378108692994
"Republic, democratic",0.551730991115725,0.573369549678085,-0.119394050182619,0.0454667737672785,2.8094687429712
