origin,simple
Teach Assistant and Student,Teach Assistant-Student
Senior student and Junior student,Senior student-Junior student
President of student union and Member of student union,President of student union-Member of student union
Club president and Club member,Club president-Club member
Teacher and Parent,Teacher-Parent
Examer and Examinee,Examer-Examinee
Parent and Head teacher,Parent-Head teacher
Private Teacher and Student,Private Teacher-Student
Graduate advisor and College student,Graduate advisor-College student
Head teacher and Student,Head teacher-Student
Class leader and Class member,Class leader-Class member
Creditor and Debtor,Creditor-Debtor
Original partner and Mistress,Original partner-Mistress
Adoptive father and Adoptive child,Adoptive father-Adoptive child
Between net friends,Net friends
Local and Visitor,Local-Visitor
Master and Apprentice,Master-Apprentice
Between sport mates,Sport mates
Between childhood sweetheart,Childhood sweetheart
Beggar and Passerby,Beggar-Passerby
Between travel mates,Travel mates
Between fellow townsman,Fellow townsman
Between old friends,Old friends
God Parent and God Child,God Parent-God Child
Accosting people and Accosted people,Accosting people-Accosted people
Reporter and Victim,Reporter-Victim
Between people who are flirting,People who are flirting
Parent and Son/Daughter,Parent-Son/Daughter
Between family in law,Family in law
Mother in law and Wife,Mother in law-Wife
Criminal and Passerby,Criminal-Passerby
Criminal and Victim's family,Criminal-Victim's family
master and servant1,Master-servant1
Leading player and Replacement,Leading player-Replacement
Supervisor and Assistant,Supervisor-Assistant
Television host and Audience,Television host-Audience
Network anchor and Follwer,Network anchor-Follwer
Loyal minister and Betrayer,Loyal minister-Betrayer
Agency and Client,Agency-Client
Government and Civilian,Government-Civilian
Star and Agent,Star-Agent
Actor and Audience,Actor-Audience
Actor and Play Writer,Actor-Play Writer
Thief and Owner,Thief-Owner
Suspect and Police officer,Suspect-Police officer
Property and Proprietor,Property-Proprietor
Delivery guy and Customer,Delivery guy-Customer
Librarian and Reader,Librarian-Reader
Between players of the same sports team,Players of the same sports team
Conductor and Passenger,Conductor-Passenger
Victim and Passerby,Victim-Passerby
Leader and Betrayer,Leader-Betrayer
Cashier and Customer,Cashier-Customer
Receiver and Courier,Receiver-Courier
Persecutor and Victim,Persecutor-Victim
Winner and Loser,Winner-Loser
Sports Events Commentator and Audience,Sports Events Commentator-Audience
Human resource officer and Employee,Human resource officer-Employee
Between former colleagues,Former colleagues
Judge and Competitor,Judge-Competitor
Judge and Audience,Judge-Audience
Lawyer and Prosecutor,Lawyer-Prosecutor
Old empolyee and New empolyee,Old empolyee-New empolyee
Boss and Empolyee,Boss-Empolyee
Customer service and Customer,Customer service-Customer
Benefactor and Beneficiary,Benefactor-Beneficiary
Neighborhood committee and Resident,Neighborhood committee-Resident
Coach and Trainee,Coach-Trainee
Samaritan and Recipient,Samaritan-Recipient
Sender and Courier,Sender-Courier
Reporter and Interviewee,Reporter-Interviewee
Gang leader and Gang boy,Gang leader-Gang boy
Housekeeper and Resident,Housekeeper-Resident
Winner and Runner and up,Winner-Runner-up
Official and Briber,Official-Briber
Civil servants and Person concerned,Civil servants-Person concerned
Senior staff and Junior staff,Senior staff-Junior staff
Judge and Prosecutor,Judge-Prosecutor
Helper and Recipient,Helper-Recipient
Between rivals,Rivals
Between players of opposing sports teams,Players of opposing sports teams
Team leader and Team member,Team leader-Team member
Between members of the same team,Members of the same team
Between gamblers,Gamblers
Drug dealers and Police officer,Drug dealers-Police officer
Between Between teammates of E and sports,Teammates of E-sports
Director and Screenwriter,Director-Screenwriter
Cook and Customer,Cook-Customer
Crew member and Passenger,Crew member-Passenger
City management and Vendor,City management-Vendor
Editor and Writer,Editor-Writer
Informant / Reporter and  Criminal,Informant / Reporter- Criminal
Babysitter and Employer,Babysitter-Employer
Employer and Bodyguard,Employer-Bodyguard
Security staff and Resident,Security staff-Resident
Vistor and Receptionist,Vistor-Receptionist
Principal and Teacher,Principal-Teacher
Between alumni,Alumni
Between classmates,Classmates
Student and Dorm Resident assistant,Student-Dorm Resident assistant
University student and Administrator,University student-Administrator
Professor and Teaching Assistant,Professor-Teaching Assistant
Mentor and Mentee,Mentor-Mentee
Bully and Victim,Bully-Victim
Guest and Host,Guest-Host
Between confidants,Confidants
Between brothers-in-arms,Brothers-in-arms
Native and Tourist,Native-Tourist
Celebrity and Fans,Celebrity-Fans
Between a person and their family friends,A person-their family friends
Bride and Groom,Bride-Groom
Between playmates,Playmates
Between childhood friends,Childhood friends
Between fans of the same sports team,Fans of the same sports team
Between roommates,Roommates
Between romantic rivals,Romantic rivals
Between ex-lovers,Ex-lovers
