,Parent – Child,Parent – Teenager,Wife – Husband,Fiance – Fiancee,Between Siblings,Between divorced spouses,Between a person and their in-laws,Between second cousins,Employer – Employee,Interviewer – Job applicant,Guard – Prisoner,Nurse – Patient,Therapist – Patient,Salesperson – Customer,Between Business Partners,Between opposing negotiators,Between political opponents,Between business rivals,Between enemies,Teacher – Student,Professor – Graduate student,Master – Servant,Between Close Friends,Between casual acquaintances,Between teammates in sports
Harmonious vs Clashing,44.288288288288285,64.8,33.47,25.745283018867923,57.44,76.85964912280701,53.53389830508475,36.95,43.76271186440678,33.495327102803735,78.2,29.0,31.570093457943926,40.30769230769231,40.719298245614034,72.62068965517241,83.50806451612904,78.11827956989248,92.39784946236558,43.68468468468468,34.97222222222222,52.413223140495866,21.133333333333333,30.152542372881356,35.24409448818898
Friendly vs Hostile,18.88888888888889,45.601851851851855,13.154639175257731,10.179245283018869,34.68,79.58928571428571,43.36521739130435,27.8125,41.275862068965516,31.096153846153847,86.21666666666667,21.194915254237287,21.754716981132077,29.68695652173913,28.394736842105264,69.60526315789474,83.59016393442623,80.15053763440861,94.31868131868131,28.45045045045045,30.11111111111111,63.54621848739496,6.9914529914529915,27.641025641025642,25.653543307086615
Compatible vs incompatible goals and desires,31.364485981308412,52.88990825688074,10.416666666666666,9.528301886792454,40.81,76.8141592920354,46.63157894736842,36.8375,35.491379310344826,30.104761904761904,85.3,17.478991596638654,18.64485981308411,40.86086956521739,13.789473684210526,69.86842105263158,81.26829268292683,63.02173913043478,88.3010752688172,25.9009009009009,23.747663551401867,64.09243697478992,15.35344827586207,42.84615384615385,11.817460317460318
Cooperative vs Competitive,25.546296296296298,49.851851851851855,17.083333333333332,12.11320754716981,56.48,82.16071428571429,47.421052631578945,36.15,37.86206896551724,42.04807692307692,71.65833333333333,17.364406779661017,16.349056603773583,44.573913043478264,31.94736842105263,85.49122807017544,91.95901639344262,93.94565217391305,94.2967032967033,26.07207207207207,25.73148148148148,42.08403361344538,14.741379310344827,37.15384615384615,37.92125984251968
Difficult vs Easy to break off contact with each other,5.422018348623853,11.50925925925926,7.216494845360825,14.075471698113208,14.35,48.557522123893804,27.452173913043477,47.55,55.41525423728814,86.5673076923077,41.93333333333333,56.92372881355932,49.79245283018868,85.05982905982906,34.8859649122807,70.00869565217391,67.64754098360656,70.03260869565217,74.84615384615384,47.747747747747745,59.71296296296296,40.025,17.362068965517242,75.62393162393163,36.645669291338585
Flexible vs Rigid,39.73148148148148,52.69444444444444,20.46875,21.066037735849058,29.71,77.375,50.24561403508772,29.7625,65.53448275862068,64.00961538461539,92.45833333333333,51.19491525423729,38.556603773584904,45.756521739130434,48.175438596491226,68.79824561403508,81.22131147540983,74.80434782608695,80.0989010989011,60.13513513513514,55.842592592592595,85.02521008403362,13.025862068965518,31.521367521367523,37.8503937007874
Sincere vs Insincere,8.605504587155963,28.166666666666668,9.896907216494846,9.924528301886792,24.97,71.69642857142857,43.79824561403509,35.4375,51.666666666666664,46.97115384615385,75.675,22.661016949152543,20.9811320754717,62.974137931034484,35.271929824561404,66.49122807017544,80.95081967213115,77.28260869565217,72.20879120879121,28.756756756756758,36.166666666666664,68.95833333333333,10.508620689655173,48.01709401709402,25.937007874015748
Emotionally close vs distant,6.453703703703703,28.853211009174313,6.608247422680412,4.679245283018868,12.99,73.21428571428571,42.92173913043478,39.425,67.53448275862068,81.20952380952382,89.55,46.21008403361345,36.132075471698116,81.34782608695652,47.99122807017544,81.79130434782608,85.54098360655738,85.46236559139786,81.43478260869566,52.5045045045045,62.03703703703704,75.98319327731092,8.017094017094017,59.41025641025641,32.62204724409449
Important vs Unimportant to individuals involved,6.407407407407407,12.99074074074074,6.5625,6.160377358490566,19.51,44.47787610619469,31.168141592920353,40.8,28.060344827586206,27.048076923076923,51.475,20.364406779661017,18.906542056074766,47.93913043478261,20.035087719298247,35.43859649122807,41.114754098360656,40.94565217391305,45.77173913043478,21.07207207207207,28.37962962962963,44.110169491525426,10.547008547008547,59.61206896551724,19.015873015873016
Democratic vs Autocratic,57.28703703703704,61.370370370370374,15.78125,15.283018867924529,34.13,67.38938053097345,46.13913043478261,28.5,67.84615384615384,60.25,91.41666666666667,46.30508474576271,38.528301886792455,43.46551724137931,27.45614035087719,51.38260869565217,58.28688524590164,67.67391304347827,78.2967032967033,59.846846846846844,47.78703703703704,86.9327731092437,13.810344827586206,29.00854700854701,32.54330708661417
