,IC1,IC2,IC3,IC4,IC5
Parent and Child,0.12170829736174386,-0.14537910507441332,-0.08751023470517326,0.00038039448523774375,0.017630752618941373
Parent and Teenager,0.04752150504885014,-0.11936389628017373,-0.09604932727366385,-0.029245260991489403,0.025177872495111303
Wife and Husband,-0.04336757022169527,-0.13072324177636857,-0.14718536953267675,-0.03555431368058102,-0.06137540254613256
Fiance and Fiancee,-0.056937342961399164,-0.14723228422904616,-0.08486451998956414,-0.03220843240677536,-0.04971018231140929
Between Siblings,-0.04705265403213367,-0.08944758610987588,-0.09048817641005243,0.07309680188633838,0.005616513197655763
Between divorced spouses,-0.06457980967939325,-0.08349788010195727,0.06030606478924351,-0.1644962488268445,0.1038055287381407
Between a person and their in-laws,-0.02098980240609084,-0.07471429445221288,0.028617578482308656,0.010422501012872953,-0.012951071057750074
Between cousins,-0.034489315299388826,-0.07070073905066665,0.08619311090304202,0.09083546110900405,-0.02988801775165126
Employer and Employee,0.07628428945584687,0.07652430650080641,-0.09575933030989835,-0.04499854963474871,-0.039345529756116424
Interviewer and Job applicant,-0.0006418409611324439,0.09992148605619904,-0.03420030788993447,0.027938077129940744,-0.005896211410952463
Guard and Prisoner,0.1645594424361887,0.00027960843208650886,-0.017677050238336704,-0.002531932456938846,0.20391832864043333
Nurse and Patient,0.12248316703113277,0.05522694488799943,-0.01738314781952446,0.010704010521414094,-0.03605858370710464
Therapist and Patient,0.08425654910553643,0.015684036470352953,-0.0526164074966151,-0.06366154143519163,-0.06044041473631208
Salesperson and Customer,-0.08637747766259345,0.1296276360832463,-0.028966563248797324,-0.1483190510841809,-0.061459940883366225
Between Business Partners,-0.07569108307079764,0.09139117315445262,-0.12361099695696676,-0.015874824555204024,-0.09734617805887233
Between opposing negotiators,-0.1280361411390117,0.07998362339196875,-0.07394967651943939,-0.04600183848120698,0.10197356258260683
Between political opponents,-0.08883367368413438,0.06790987640814031,-0.07004100960045487,0.05439557633432967,0.1732274906306824
Between business rivals,-0.10493344354230053,0.050450839893597534,0.019792150095045275,-0.050556610047079786,0.12607481577047075
Between enemies,-0.08098674400439419,-0.030451025316689934,0.017514793790786548,0.01390510705617425,0.22169414367712653
Teacher and Student,0.10213755415773904,0.06234921203430078,-0.057034466927916375,0.09264464011482751,-0.012798951779998177
Professor and Graduate student,0.0698573563632806,0.06611300225233473,-0.018359529451162832,-0.001444080687137952,-0.03919642611065848
Master and Servant,0.14575662495943806,-0.042516657135026316,-0.020625994156106903,-0.10787440076012943,0.1431567432931951
Between Close Friends,-0.06949347067212291,-0.07546301489343965,-0.06735549780593847,0.06556346305548474,-0.07165034774555326
Between casual acquaintances,-0.0821224115589829,0.02507933866237763,0.15850800808793677,0.05925735059294287,-0.014835393980520615
Between teammates in sports,-0.09094649367146289,0.030756739875640038,-0.08583253876560035,0.11135179472028324,-0.044209216117528226
Between second cousins,-0.0271303744535466,-0.06987625788588987,0.137545772388821,0.027810205013279462,-0.04173707699338631
Parent and Infant,0.1562597359305959,-0.1562541268342212,-0.010200268087083932,-0.02274169490694741,-0.03773970060971313
Grandparent and Grandchild,0.12142165527053082,-0.13458453684090466,-0.006612951526403184,0.04117931876069577,-0.026384729597971383
Step-parent and Step-child,0.05900066223240894,-0.11947147005575176,-0.06933049331733127,0.008620673648322046,0.01042069554040605
Foster-parent and Foster-child,0.11340708567119702,-0.10121190664182053,-0.05898825840700923,0.016898833778560867,-0.011381546744441768
Godparent and Godchild,0.07451796402138643,-0.09698850495817672,0.06764048798446666,0.02951890128488522,-0.05084598768876769
Step-grandparent and Step-grandchild,0.06611629336221501,-0.10553341163760863,0.060488236418771976,0.031216519676970273,-0.04982277788947008
Ancestor and Descendant,0.0806930413571441,-0.08497632338107389,0.25028943144557336,0.0018345759527968624,-0.04709975281580738
Bride and Groom,-0.05744618415858227,-0.13477526532772965,-0.11295429091679977,-0.029935557739346544,-0.05225324729541901
Man and His Mistress,-0.0363156256180424,-0.13735999891390385,-0.026952412688295575,-0.18551441787236964,-0.0037453214168810993
Man Wife and Man Mistress,-0.013335308611555652,-0.12965826090652915,0.07884090135545699,-0.1400103394723662,0.0986497967439157
Brother and Sister,-0.0041782048952305785,-0.06785095481197423,-0.02001114045936167,0.12098680017345612,-0.016947604902089235
Between step-siblings,-0.07043258564256931,-0.06566572399757732,-0.02356199813531611,0.08934012088605543,0.005268905190160031
Between distant relatives,-0.0348561886284514,-0.03947697410553447,0.22477502884895736,0.015502766381015458,-0.030582710086275132
Between close relatives,-0.014672508396882297,-0.10581777627328269,-0.03107633464763632,0.04331583261562588,-0.018822854922816185
Between twins,-0.039582964860995974,-0.10269895825193802,-0.04258549203254429,0.08874003323839842,-0.007576063404444083
Between a person and their family friends,-0.061194488369051024,-0.0721964887863478,-0.020128188379124026,0.04985313762176818,-0.048500430341104385
Between a person and their deceased spouse,0.11571706298806668,-0.17145059854551797,0.2670216398309543,-0.02474840850796562,-0.01012107007067876
Manager and Staff,0.04245387051784791,0.08423076979929336,-0.07720662664671342,0.026575764551624064,-0.009966953238687284
Foreman and Laborer,0.07105902600531677,0.07737101241133913,-0.029863938734640976,-0.06342873584749571,-0.016055581237004436
Owner and Manager,0.055297398442682166,0.06734061767784365,-0.053260988756978246,-0.047536079370317806,-0.005872754350564986
Union leader and union member,0.022212523286988584,0.10450052406567366,-0.01829776106824788,0.006384016845866036,-0.059207496881702515
Manager and Assistant,0.07221703960561407,0.059705069063816875,-0.07548639400978611,0.012738321611400002,0.0016677514129307298
Chief and Deputy,0.12173838486616524,0.0513799357147827,-0.041199937713587265,0.09804997941810845,-0.01771947723607388
Supervisor and Subordinate,0.060246710761056636,0.0774573832682253,-0.0681980602464047,0.021808144625250114,0.0024103052104143506
Boss and Secretary,0.09773230172023166,0.05629642531793683,-0.06151577864397606,-0.01754051710157996,-0.03231047414956224
Entrepreneur and Investor,0.0004698432855083378,0.08160631134079764,-0.015170914779227149,-0.13244198880537084,-0.10233857449599937
Intern and Employee,-0.008679215704871599,0.08454217548801603,-0.03948254882717363,0.011212741240953053,-0.027498031375488872
Lawyer and Client,0.055953402138705845,0.05455748461079773,-0.05705928638808,-0.11432582233706827,-0.04928011746960789
Judge and Lawyer,0.011479248016724284,0.09654970690297049,-0.06350134011449465,0.032185508600868426,0.029311583620040292
Victim and Criminal,0.04836699229697452,-0.03776791067585893,0.027072826098077086,-0.06817792114073208,0.21273178341278848
Drug dealer and Addict,-0.06159740600073678,-0.0011474353326049783,-0.03641914422273012,-0.25779060407303966,0.0019574618268181077
Victim and Witness,0.02318604540874712,0.021855230584024568,0.03768881131480631,0.056427903743531425,0.062403541848752644
Criminal and Police officer,0.09978143181900509,0.039788527672033815,0.003920521909723561,0.0548538037497871,0.2152958935975582
Criminal and Prosecutor,0.03941644070760035,0.0507820763426326,-0.028495315831834282,0.014809920893612896,0.16634866538519505
Criminal and Hostage,-0.044119128741065314,-0.008926626796856532,-0.09797944722603479,-0.08324125767490027,0.2447448768734593
Defendant and Plaintiff,-0.06028163759666049,0.05799842724930806,-0.1084838318480356,-0.02310793958149108,0.16192292800851393
Police officer and Offender,0.07331757229243344,0.05325058492400118,-0.018987837826499022,0.04305493063050862,0.19944363627574282
Police officer and Civilian,0.1020655102364201,0.08233653775485503,0.035335550152479245,0.08150618189916405,0.08523750306756793
Parole officer and Parolee,0.16887044136437837,0.0382910063993175,-0.004129603800238399,0.021106812154813102,0.08897392430240814
Consultant and Client,0.01499560076688638,0.0836474189640273,0.009618501344060932,-0.11049113904543845,-0.08902649667252452
Chef and Customer,-0.021402963185887015,0.10812197186463234,0.09738398882173839,-0.15999286259366358,-0.09566398241365358
Customer and Server,-0.005778191272817521,0.10824012946491961,0.0019525378903081925,-0.1332621849508555,-0.07309446324938776
Customer and Businessman,-0.0669836290487437,0.12287609007855055,-0.06344636263205068,-0.12554955428627668,-0.06205429035156809
Doctor and Patient,0.1274811379289087,0.03981588620760024,-0.009690718867618693,-0.08811880405465784,-0.049677989362978583
Doctor and Nurse,0.06888172062213085,0.07043165380724517,-0.05244076221029855,0.06366176400862703,-0.03821384801903354
Patient and Caretaker,0.14521686396342237,0.008173042721835281,-0.05311782793420234,-0.019634165664044682,-0.033482093834259895
Driver and Passenger,-0.0694479462051112,0.07887598473102736,-0.026681183548356982,-0.01837526794113051,-0.020406827729970003
Coach and athlete,0.05905421740565405,0.0518482454340669,-0.06207855635544775,0.06513173225387545,-0.03083780597324519
Team Captain and Team Members,-0.002222955093076392,0.06646710385668855,-0.052486226954406,0.12543949956240982,-0.03214923170926282
Club Member and Club President,0.03417890931133797,0.04848066973434383,0.016886567865570808,0.013970603905736205,-0.033103420762934606
Politician and Supporter,0.029284733397744827,0.10535042579843834,0.09172458989980362,0.03792901799755067,-0.0366897041419686
Leader and Follower,0.06381789090163359,0.040913247901419085,-0.0019643631180633657,0.0369659246829012,-0.008868289530889337
Representative and Citizen,0.018261311079459844,0.0974254106406154,0.06731637060465645,0.053610906914513805,0.0013512334513941134
Officer and Soldier,0.147522039877293,0.05680306300255834,0.013887554223804485,0.07197053248796585,0.030451129524667615
Babysitter and Infant,0.14262843350974125,-0.024640761498567018,-0.016010806673533294,-0.042510665567367725,-0.027725593291355884
Religious leader and Congregant,0.08132793342605982,0.030142160517419313,0.016105569134951526,0.08133801869795843,-0.030703421352461506
Between religious followers,-0.015843543534779275,-0.010287271382459773,0.058569915352678,0.07812150799629813,-0.0183265953468642
Prostitute and Customer,-0.06415791308442916,-0.002251508826079415,-0.017706209707290227,-0.2769568766633249,0.011702773940498692
Guide and Tourist,-0.0395461336579441,0.12867418225542224,0.0110198015327232,-0.050495955154489715,-0.08607226888962172
Athlete and Referee,-0.026583690939273895,0.08226130654443198,-0.038985361829260545,0.07085508226696344,0.08944588841123008
Slave and Master,0.06963485914359689,-0.03856505306571965,-0.021647810510261267,-0.12069480513254983,0.2047407894522102
Reader and Writer,0.08373301260554969,0.056855321523702186,0.22532127585812803,-0.0925442274175299,-0.11164120474198723
Reviewer and Writer,0.016962011250021728,0.06955883026061752,0.053665519370157774,-0.02307391054364259,-0.021423271190472073
Performer and Audience,0.03956365021061304,0.09074078991017694,0.07946447658992888,-0.009718494863075348,-0.07142602560559351
Dealer and Buyer,-0.09335292406517322,0.08868298245282527,-0.05873121649703476,-0.18285534660919556,-0.015330203736638057
Sugar-daddy and Sugar-baby,-0.03548810334509263,-0.08368872105443213,0.003849665383269716,-0.27268605219632935,-0.03264213082655682
Director and Performer,0.03141997154575033,0.06607626175945068,-0.04858739333880022,0.014621106043833276,-0.03007818389522327
Psychologist and Client,0.10512019554833416,0.01587329695519684,-0.03325742893376027,-0.0754172514348215,-0.0448320294687108
Judge and Contestant,-0.012143895080386323,0.09064452789907934,-0.010123899623527407,-0.017172374839661813,0.03904651776605185
Man and God,0.1229980372325791,-0.09218035610895356,0.09483603283691872,0.010479024529996663,0.021429863672361733
Between Co-workers,-0.0734976536500898,0.0851519929398558,-0.062128479103702644,0.09491647211652912,-0.06163494892757389
Between sports rivals,-0.14049702246878337,0.04208872172600605,-0.014173819475141047,0.07454680498945386,0.151121878767168
Between romantic rivals,-0.046744784402730166,-0.07741575937873947,0.039379688383301886,-0.015393846267198688,0.21785517189515036
Between criminal and their accomplice,-0.05463679865868743,-0.019914299882821267,-0.06500303100600481,-0.09667333460548297,0.018195854286622803
Between diplomats,-0.11200583079065711,0.08640669960753321,-0.06186019372730162,0.023799208113188274,0.03251601349104761
Principal and Teacher,0.045201712156058185,0.07467438075526817,-0.08392188520800893,0.042945064856320984,-0.034554628088445165
Professor and Teaching Assistant,0.09684466037295829,0.06800257950020416,-0.008571372917654795,0.040068057533503496,-0.05977139458820709
University student and Administrator,0.07592449442256555,0.07412765864785943,0.050066182965254405,-0.015795564027202988,-0.04138350944881321
Student and Dorm Resident assistant,0.005991483602524221,0.069338280106226,0.04127638047861204,0.05594109119874328,-0.010329673231711684
Mentor and Mentee,0.11146129277064802,0.001229933637009593,-0.011344869772180775,0.013364885292221728,-0.0473997385242619
Athletic trainer and Trainee,0.030303566922691167,0.05231816036220047,-0.08220495948106578,-0.059434622443914016,-0.020030524964643425
Researcher and Research Subject,0.070038085186703,0.08026295366813142,0.036347929752677394,-0.007374508448290032,-0.029578836039587206
Between peers,-0.0899275967227683,0.00041320068989038447,0.008639527201578921,0.06525816649955549,-0.02912220521133712
Between classmates,-0.10643668461401452,0.03953255290295768,-0.01010834714503885,0.11032523318839345,-0.007125586431653445
Between roommates,-0.13674186482167158,-0.017042412716450045,-0.06406353093096875,-0.010012180122471754,-0.047984297503362194
Between sorority sisters,-0.08611801251643975,-0.032704257170415994,-0.024032388168711675,0.09416570655857101,-0.04311499877470397
Between fraternity brothers,-0.10676348428380879,-0.04941485430742979,-0.00982976006814022,0.08614342270394995,-0.02726160414944029
Bride and Bridesmaid,0.019117509230911798,-0.06959576804000213,-0.030589393003101067,0.04721488380565512,-0.022004184481285383
Groom and Groomsman,0.020027862520815006,-0.029172814608718973,-0.015497790269218777,0.1018692055496059,-0.03383851603875586
Predecessor and Successor,0.050741940275520876,0.031408430020594055,0.07092840325091115,0.0247624365730932,-0.024218150488604734
Landlord and Tenant,-0.03806128566948146,0.08134865540570177,-0.006202814866538074,-0.12434884168913096,-0.055301239714329306
Landlord and Housekeeper,0.006751647043639181,0.06260528154270602,0.030197442416918772,-0.17506641577737725,-0.06988574875313477
Guest and Host,-0.04175193893910115,0.041226965314274805,-0.017255424992455595,-0.03876669283940402,-0.05210218772044221
Television host and Guest,-0.0888068567712416,0.115486188798225,0.025786566252067517,0.014277552523614253,-0.022783385507793588
Volunteer and Organizer,0.016920823773350822,0.07931436193029952,0.0017443312429373953,0.09220008735784917,-0.061635423994116346
Celebrity and Fans,0.023867194677987046,0.036943471167767555,0.24257201494638164,-0.044349214591814734,-0.028396018830606426
Celebrity and Haters,-0.04519654791448466,0.024071903339994653,0.2231323833750502,0.014333069831327816,0.1385153071239044
Native and Tourist,-0.0949264155209025,0.07972353141491806,0.11401851855899721,-0.06041777099470161,-0.03718851966988821
Bully and Victim,0.01812476217257949,-0.05336205037633221,-0.018556875870983387,0.0016043442947031748,0.255558270618776
Between friends,-0.06534912494246585,-0.05820991925178645,-0.024730887392787525,0.0835097787598312,-0.0658963872894183
Between Facebook Friends,-0.08896577074396571,-0.005962292334283701,0.15589391018920012,0.06717242903543774,-0.03804624658929748
Between a person and their social media follower,0.0008265108108097041,0.030951614520067887,0.19246675270477187,0.04535803199216853,-0.027875192933955198
Between childhood friends,-0.07710869197908034,-0.0555534672379161,-0.00869403747668521,0.08162739473412539,-0.0609796585629422
Between pen-friends,-0.10185590189009096,-0.06012825145345484,0.0868628274587471,-0.013120604216933549,-0.0792627249732214
Between friends with benefits,-0.10492897341589134,-0.08755119741267653,-0.036834963963519686,-0.11588818667990666,-0.02285401854818136
Between political allies,-0.060045390499769584,0.07608173591305738,-0.027369420479885415,0.043467852574103884,-0.008906353921762181
Between romantic lovers,-0.046371856914378104,-0.13194194341968224,-0.09846693647264865,-0.006085665672327962,-0.066189921341961
Between ex-lovers,-0.10970303992888378,-0.0924436516277046,0.11158761403516944,-0.06764978601910603,0.09089073983113705
Between life-partners,-0.04868203384995359,-0.11883251338900629,-0.09004353151958462,-0.0022606507871540723,-0.060092819853759846
Between soul-mates,-0.04271110973524044,-0.1454768036592404,-0.06800302567146876,0.0035284692859647647,-0.06945812839594885
Between strangers,-0.09713810924986302,0.040662832312131005,0.23710270129051206,-0.025737517603673207,0.037166489199252944
Between neighbors,-0.11117187588208328,-0.00800844771753351,0.013034467491442053,0.07136794627646825,-0.012829619088633852
Between church members,-0.11919312667595106,0.033729535290150506,0.005221390359516294,0.15046297500025219,-0.06952566310342177
Between fans of the same sports team,-0.1347731109100928,0.03727753068567171,0.09571667176875377,0.09737557088562492,-0.06898928396656485
Between fans of opposing sports teams,-0.13151727690012022,0.030828680611653635,0.10332233376498808,0.07758175633268964,0.1621737216444865
Superior and Subordinate,0.07549961547970761,0.06875688769901461,-0.030540757247797593,0.042708169073950406,0.05117236681377475
Aunt and Niece/Nephew,0.0672811910668096,-0.12249497862302132,0.023161461019415477,0.03719887261351165,-0.019146184444034577
Uncle and Niece/Nephew,0.039288078656695154,-0.08488735054214806,0.0297403036555038,0.04152783111458358,-0.07080505075699321
Between frenemies,-0.08857805438854106,-0.04137125504693729,0.050908753968939506,-0.013028930811437741,0.12954133430262127
Between half-siblings,-0.06695143425124558,-0.07920124674292837,-0.021168782747245634,0.04619220060472745,0.0028176409016615056
Between adoptive parents and adopted kids,0.08954726660593716,-0.12002495654174257,-0.06461643886549023,0.040024317995856665,-0.02208974809917415
Mother and Infant,0.14873089044013538,-0.14563847436369842,-0.02990583451806559,0.029724944302813597,-0.026754797374900163
Between alumni,-0.04172725278844123,0.021505175571051464,0.14024962577651484,0.05807426308618693,-0.0425074356856971
