"","full_r","full_p","favee_r","favee_p","hpp_r","hpp_p"
"Climates",0.198,0.156,0.188,0.181,0.182,0.12
"Demographics",0.035,0.395,0.063,0.332,-0.278,0.986
"Disease",-0.014,0.575,-0.027,0.632,-0.052,0.729
"Education",0.123,0.203,0.122,0.207,0.032,0.366
"Gene",-0.139,0.7,-0.23,0.839,-0.065,0.598
"Geography",-0.122,0.776,-0.127,0.79,-0.164,0.891
"Hofstede6D",-0.087,0.7,-0.125,0.773,-0.09,0.728
"Language",0.091,0.369,-0.047,0.573,0.238,0.154
"Personality",0.146,0.188,0.188,0.177,0.05,0.321
"Politics",-0.078,0.716,-0.083,0.73,-0.063,0.691
"Religion",0.317,0.109,0.419,0.048,0.177,0.223
"Subsistence",-0.045,0.614,-0.005,0.502,0.023,0.413
"Urbanization",0.445,0.018,0.326,0.05,0.307,0.044
"Wealth",-0.072,0.693,-0.077,0.708,0.08,0.241
"Object knowledge",0.017,0.439,0.056,0.359,-0.098,0.749
