"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.07142034748323e-17,0.0734648591252446,2.81960705042914e-16,1
"scale(x)Lexical",0.364097583107718,0.096618945325745,3.76838705784032,0.000232545929334759
"scale(x)personality_all",-0.14066401700664,0.0856310914334766,-1.64267457826246,0.102464461662193
"scale(x)Coordinate",-0.0698695421684449,0.0900114323503989,-0.776229644879496,0.438788683676579
"scale(x)Climatic_demands",0.0830148108207189,0.0842237770551303,0.985645784638463,0.325833206705918
"scale(x)subsistence",0.0381534461269695,0.0861479175668829,0.4428829762176,0.658463894078355
"scale(x)disease",-0.00166545215667244,0.0854012943903053,-0.0195014861140266,0.984465971905589
"scale(x)urban",0.0592524117748083,0.0910913582708798,0.650472370810504,0.516343991656471
"scale(x)wealth",0.0391760438511258,0.0902884801818515,0.433898585647036,0.664961555734897
"scale(x)edu",-0.10476260833309,0.0824635122395486,-1.27041167042176,0.205829460048964
"scale(x)Hofstede_6D",-0.223845156705695,0.095039938845319,-2.35527462901687,0.0197532188146461
"scale(x)new_gendist_weighted",-0.129190775167143,0.0971652963122993,-1.32959791273533,0.185591742876729
"scale(x)religion_per",-0.10793467242508,0.115462115568299,-0.934805948200676,0.35133306529385
"scale(x)idealogy",-0.0393893805534961,0.0819254363377981,-0.480795493002739,0.631335465114289
"scale(x)demographics",-0.00334358961108525,0.088118973343824,-0.0379440372964762,0.969780814830038
