,Blacks - Whites,Males - Females,Elderly - young,Ethnic Minorities - Ethnic Majority,Parents - Children,Grandparents - Grandchildren,Paternal relatives - Maternal relatives,Elders - Juniors,Interviewers - Job applicants,Teachers - Students,Doctors - Patients,Customers - Servers,Representatives - Citizens,Celebrities - Fans,Natives - Tourists,Natives - Immigrants (Locals - Non-locals / Residents - Non-residents),Homosexual - Heterosexual,East Asians - Americans,Police officers - Civilians,Rural residents - Urban residents,Rich - Poor,Employees-Managers,Volunteers-Community Residents,Disableds-Non-disableds,Interns and Employees
Valence Evaluation,22.333333333333332,72.76923076923077,74.0,61.90909090909091,92.91666666666667,97.76923076923077,77.18181818181819,78.66666666666667,50.166666666666664,82.9,72.88888888888889,72.53846153846153,74.0,82.18181818181819,63.54545454545455,61.76923076923077,58.45454545454545,31.727272727272727,88.81818181818181,59.54545454545455,27.857142857142858,54.785714285714285,75.5,75.25,31.166666666666668
Equality,49.083333333333336,76.76923076923077,40.09090909090909,68.18181818181819,28.416666666666668,37.07692307692308,82.27272727272727,12.916666666666666,42.666666666666664,29.7,61.0,49.46153846153846,46.30769230769231,44.63636363636363,71.45454545454545,70.84615384615384,70.0909090909091,60.63636363636363,55.72727272727273,64.27272727272727,29.285714285714285,29.214285714285715,77.41666666666667,68.5,30.583333333333332
Activity Intensity,22.666666666666668,66.23076923076923,40.72727272727273,41.09090909090909,93.58333333333333,89.84615384615384,68.0,54.0,30.833333333333332,76.6,45.888888888888886,29.153846153846153,37.46153846153846,57.27272727272727,21.727272727272727,23.615384615384617,68.63636363636364,27.0,45.45454545454545,23.09090909090909,20.142857142857142,54.0,38.0,40.75,38.75
Socioemotional,49.583333333333336,64.61538461538461,67.0,48.18181818181818,91.58333333333333,98.0,71.18181818181819,72.08333333333333,24.083333333333332,32.2,25.22222222222222,31.076923076923077,36.69230769230769,65.0909090909091,19.545454545454547,46.84615384615385,56.81818181818182,28.454545454545453,54.72727272727273,27.727272727272727,27.571428571428573,27.428571428571427,40.583333333333336,65.83333333333333,17.333333333333332
Formality and Regulation,65.41666666666667,49.30769230769231,35.72727272727273,55.72727272727273,13.666666666666666,9.76923076923077,30.09090909090909,24.166666666666668,89.75,78.7,89.33333333333333,79.61538461538461,74.76923076923077,61.27272727272727,53.09090909090909,48.30769230769231,38.81818181818182,68.45454545454545,85.81818181818181,38.54545454545455,63.714285714285715,85.71428571428571,72.08333333333333,47.083333333333336,82.5
Intimacy,18.25,61.92307692307692,53.72727272727273,42.27272727272727,95.16666666666667,98.53846153846153,68.0,60.75,25.583333333333332,69.2,45.44444444444444,29.46153846153846,45.46153846153846,51.63636363636363,20.636363636363637,26.076923076923077,63.63636363636363,18.727272727272727,55.54545454545455,25.181818181818183,14.642857142857142,42.857142857142854,49.25,38.833333333333336,33.416666666666664
Visibility,79.5,51.61538461538461,72.54545454545455,78.72727272727273,18.583333333333332,14.153846153846153,38.72727272727273,44.083333333333336,79.66666666666667,79.9,57.55555555555556,86.15384615384616,80.53846153846153,68.18181818181819,87.0,75.53846153846153,25.181818181818183,78.0,84.0,75.36363636363636,79.28571428571429,79.85714285714286,75.16666666666667,72.08333333333333,77.75
Communal Sharing,30.083333333333332,51.23076923076923,59.18181818181818,50.45454545454545,92.83333333333333,97.07692307692308,62.45454545454545,76.16666666666667,36.833333333333336,64.7,27.555555555555557,22.076923076923077,51.61538461538461,29.272727272727273,27.636363636363637,38.46153846153846,55.0,34.09090909090909,76.0909090909091,28.363636363636363,22.714285714285715,40.142857142857146,54.5,52.0,35.833333333333336
Expected Reciprocity,55.333333333333336,71.46153846153847,42.09090909090909,61.72727272727273,15.0,11.384615384615385,49.81818181818182,30.666666666666668,72.16666666666667,39.5,70.33333333333333,62.69230769230769,65.92307692307692,53.36363636363637,73.9090909090909,58.92307692307692,46.0,75.18181818181819,23.90909090909091,59.09090909090909,56.214285714285715,66.21428571428571,56.5,40.833333333333336,73.25
Strategic,59.25,55.07692307692308,36.45454545454545,53.36363636363637,12.25,2.923076923076923,27.272727272727273,24.083333333333332,78.75,42.8,69.0,69.53846153846153,50.84615384615385,44.09090909090909,76.81818181818181,51.53846153846154,27.0,61.36363636363637,48.63636363636363,69.27272727272727,72.64285714285714,74.78571428571429,52.333333333333336,36.416666666666664,85.91666666666667
