,Employers and Employees,Salespersons and Customers,Owners and Managers,Chiefs and Deputies,Supervisors and Subordinates,Bosses and Secretaries,Managers and Assistants,Lawyers and Clients,Prostitutes and Customers,Dealers and Buyers,Party A-Party B (in Contract),Managers - Investors,Investor-Entrepreneur,Gang Member-Rival Gang Member,"Republic, democratic"
Valence Evaluation,79.0,78.8,76.72727272727273,71.4,81.4,79.27272727272727,84.0909090909091,85.6,72.3,74.71428571428571,83.2,80.66666666666667,83.9,19.818181818181817,10.181818181818182
Equality,32.0,74.9,20.0,20.0,5.6,29.09090909090909,22.363636363636363,73.1,52.6,79.42857142857143,71.6,59.916666666666664,51.1,38.54545454545455,54.90909090909091
Activity Intensity,53.666666666666664,21.6,58.27272727272727,74.8,66.5,66.9090909090909,67.54545454545455,56.9,8.2,23.714285714285715,37.0,57.583333333333336,59.2,49.63636363636363,48.36363636363637
Socioemotional,34.333333333333336,34.7,18.181818181818183,16.6,13.2,25.272727272727273,35.63636363636363,39.7,46.8,36.714285714285715,12.7,17.916666666666668,27.8,57.63636363636363,48.09090909090909
Formality and Regulation,71.0,58.9,86.0909090909091,91.0,89.6,86.0909090909091,83.9090909090909,80.7,23.0,57.42857142857143,86.6,88.25,77.3,24.545454545454547,72.27272727272727
Intimacy,50.111111111111114,11.9,42.09090909090909,50.8,37.4,45.63636363636363,53.27272727272727,37.7,44.2,29.571428571428573,37.6,42.583333333333336,41.4,16.363636363636363,17.636363636363637
Visibility,74.22222222222223,90.2,65.0,78.8,84.0,68.81818181818181,66.72727272727273,64.7,9.2,76.28571428571429,61.9,62.75,55.7,16.181818181818183,65.81818181818181
Communal Sharing,41.333333333333336,10.8,40.18181818181818,46.3,36.1,27.0,45.0,34.8,16.2,12.857142857142858,43.9,26.25,34.0,26.0,25.181818181818183
Expected Reciprocity,76.33333333333333,48.9,61.81818181818182,55.7,59.1,69.0,61.18181818181818,69.9,75.3,68.71428571428571,86.0,86.08333333333333,79.3,53.63636363636363,28.636363636363637
Strategic,62.666666666666664,43.0,72.54545454545455,78.0,74.6,69.0909090909091,54.81818181818182,71.8,40.5,79.42857142857143,78.5,87.58333333333333,82.6,68.63636363636364,81.9090909090909
Concreteness,72.88888888888889,79.9,50.72727272727273,49.0,51.9,67.54545454545455,41.54545454545455,50.3,76.9,77.0,61.2,76.66666666666667,57.4,48.90909090909091,51.45454545454545
Uniqueness,39.0,21.1,29.0,30.2,21.0,43.36363636363637,33.63636363636363,31.0,29.7,21.714285714285715,48.8,30.916666666666668,52.5,74.45454545454545,49.18181818181818
Love Expression,31.22222222222222,19.7,21.90909090909091,14.5,19.0,20.636363636363637,18.636363636363637,26.1,12.0,16.857142857142858,14.5,19.666666666666668,23.6,5.181818181818182,11.636363636363637
Information Exchange,60.44444444444444,49.5,81.54545454545455,79.8,81.8,81.18181818181819,74.27272727272727,84.5,25.3,65.28571428571429,83.3,80.75,85.4,47.0,62.0
Money Exchange,81.44444444444444,90.1,73.45454545454545,42.4,59.2,60.81818181818182,62.36363636363637,80.3,86.0,89.28571428571429,84.2,90.08333333333333,85.0,71.72727272727273,51.27272727272727
Goods Exchange,50.22222222222222,90.9,48.63636363636363,32.5,46.2,37.45454545454545,33.09090909090909,36.1,55.7,97.71428571428571,68.8,68.91666666666667,51.7,49.72727272727273,43.45454545454545
Service Exchange,75.44444444444444,86.3,68.72727272727273,61.7,80.0,72.0,63.63636363636363,77.0,84.2,87.42857142857143,57.4,67.41666666666667,44.6,25.636363636363637,39.63636363636363
Attachment,32.888888888888886,15.3,32.45454545454545,21.3,19.8,36.45454545454545,36.54545454545455,31.9,14.0,32.142857142857146,22.9,35.75,29.9,22.272727272727273,12.818181818181818
Mating,20.77777777777778,7.5,13.0,9.0,7.6,12.454545454545455,5.181818181818182,18.5,67.8,13.857142857142858,1.7,7.833333333333333,17.6,14.909090909090908,14.727272727272727
Conflict,31.11111111111111,22.6,31.0,29.0,33.6,17.90909090909091,20.636363636363637,28.5,24.1,39.0,29.1,28.666666666666668,41.1,93.45454545454545,87.72727272727273
Negotiation,48.55555555555556,67.3,59.0,54.2,51.1,46.72727272727273,50.36363636363637,76.8,51.4,88.42857142857143,89.9,71.66666666666667,78.0,44.18181818181818,49.09090909090909
Coercion,35.55555555555556,10.8,20.636363636363637,15.6,35.3,22.272727272727273,12.636363636363637,18.6,22.3,18.0,16.4,23.0,18.9,84.63636363636364,58.81818181818182
Importance for society,60.77777777777778,71.0,59.54545454545455,63.5,68.0,67.18181818181819,65.0,76.6,9.1,68.14285714285714,71.9,67.33333333333333,76.1,13.909090909090908,80.36363636363636
Importance for individuals,54.22222222222222,51.1,61.27272727272727,46.0,55.1,66.9090909090909,54.90909090909091,82.4,24.5,59.142857142857146,78.3,69.58333333333333,62.3,22.181818181818183,39.63636363636363
Affiliation Coalition,70.55555555555556,42.0,81.36363636363636,87.2,80.4,82.45454545454545,78.27272727272727,79.0,42.4,35.714285714285715,73.2,80.58333333333333,88.6,45.90909090909091,36.36363636363637
Occupational,81.44444444444444,72.9,91.0,92.1,95.9,90.0909090909091,85.45454545454545,74.5,45.9,61.857142857142854,76.7,85.91666666666667,74.5,30.90909090909091,71.81818181818181
Activeness,50.666666666666664,58.8,74.9090909090909,71.3,65.9,76.81818181818181,73.81818181818181,72.7,66.0,50.142857142857146,81.7,77.91666666666667,77.3,53.81818181818182,56.63636363636363
Endurance,63.0,17.2,68.18181818181819,47.4,55.9,58.18181818181818,68.72727272727273,47.0,16.9,34.142857142857146,52.5,56.0,63.9,37.54545454545455,53.72727272727273
Synchronicity,48.666666666666664,53.2,68.9090909090909,71.8,59.5,77.54545454545455,75.0909090909091,84.8,80.6,63.857142857142854,72.4,68.16666666666667,62.0,53.81818181818182,44.72727272727273
Spatial Distance,70.11111111111111,57.8,75.81818181818181,83.1,82.3,83.0909090909091,78.81818181818181,77.4,75.8,52.57142857142857,69.3,66.66666666666667,55.1,69.36363636363636,59.27272727272727
Morality,65.11111111111111,70.0,70.27272727272727,60.6,66.8,66.0,72.72727272727273,82.0,7.8,60.142857142857146,67.3,69.0,72.7,15.636363636363637,50.72727272727273
Trust,65.88888888888889,65.6,69.9090909090909,68.9,69.6,80.45454545454545,80.27272727272727,83.8,29.1,47.714285714285715,75.5,78.91666666666667,75.3,23.181818181818183,27.636363636363637
Generation Gap,37.44444444444444,20.9,46.45454545454545,40.2,53.9,42.36363636363637,47.18181818181818,25.7,15.2,11.428571428571429,19.9,29.666666666666668,37.5,30.636363636363637,31.363636363636363
