,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals involved,Affiliation/Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Professor and Graduate student,0.763857289,-0.712497433,0.43125552,-0.55900664,1.052556204,-0.4526275,0.885374665,0.273638916,0.298086437,0.079205487,0.14023301,0.04615626,-0.134074512,1.331959555,-0.84751589,-0.512044517,0.794056437,0.015619925,-0.380468072,-0.901869012,-0.269355722,-0.473228308,0.629801917,0.095253325,0.603680704,1.075746285,0.585308585,-0.054400653,0.932412232,0.686987228,0.719151863,0.733176928,1.742362001
Master and Servant,-0.523605989,-1.382304511,-0.089450624,-0.828188053,0.85710641,-0.424448336,-1.033164894,-0.789297516,-0.556452716,0.103383854,0.891867152,-0.042222891,-0.708603395,-0.904193064,1.038158883,0.638428937,1.432124329,-0.392399454,-0.378019113,-0.281863643,-0.695455202,0.897162484,-1.437495885,-1.091237124,-1.107128508,0.439927851,-0.568983603,-0.165215049,-0.303948198,0.593327245,-1.181180011,-0.448790497,0.402054219
Between Close Friends,1.277145115,1.86984682,1.695559379,1.809608282,-1.498655516,1.606588913,-0.853334148,1.788078524,1.270625573,-1.648446113,-1.062374103,1.331971438,1.6512623,0.985054878,-0.516539936,0.080424418,-0.786230691,1.720963577,0.633903338,-1.12468916,0.069466979,-1.027061996,0.386790621,1.743801855,1.482412332,-1.059841988,1.426979913,1.831598092,1.485322037,1.217641005,1.089200934,1.437179275,-1.421652693
Between casual acquaintances,-0.201839331,1.013458116,-0.810154686,0.279633213,-0.74081497,-0.069614714,-0.417184078,0.123587872,0.085600063,-0.803957545,-0.980461301,-0.870666465,-0.20011665,-1.353825826,-0.787392025,-0.439336439,-1.005273822,-0.511243007,0.092228592,-0.875505224,-1.03517995,-0.80605066,-0.897844154,-1.0933136,-0.608787479,-1.026763332,-1.118236316,-0.686668014,-1.407279771,-0.881194518,-0.349161883,-0.891339539,-0.588980379
Between teammates in sports,0.444400863,1.362431606,0.816929513,-0.245434844,0.124293633,-0.079187467,1.687410832,0.565134116,2.167210948,1.293646117,0.405404664,-0.627997278,-0.158829837,0.929323612,-0.533367514,-0.005428641,0.051608769,0.15648782,-0.417402599,0.244081644,1.105257004,-0.46601797,0.367211016,0.357391452,1.650533546,0.976415663,1.339294889,-0.316757964,2.239719221,0.762839805,0.581414836,0.667449464,-1.550882792
Between second cousins,0.238788443,1.237481519,-0.395736812,0.971095372,-1.055686789,0.005933404,0.087076411,0.889822566,0.372348692,-0.90759898,-0.617086543,0.277942759,0.224151333,-0.697023507,-1.047085278,-0.566000101,-1.001732132,-0.05197403,-0.113757678,-0.493956594,-0.576836825,-0.961838823,-0.992249091,-0.794634059,-0.432543966,-1.219303245,-0.842136548,0.950008633,-0.767984243,-1.574269211,0.22836288,-0.341355621,-0.780063829
Parent and Infant,1.261670171,-0.931416517,2.173147675,1.975627543,-1.302271765,2.141291529,-0.094367898,2.041943237,-0.527710405,-1.556434161,-0.533692815,2.045574618,2.228739568,1.195711933,-0.789741405,-0.380915142,-0.164123855,2.192263862,2.133576884,-0.970118742,-1.002518536,-0.64070358,1.648029346,1.969454095,1.329315813,-1.058318272,1.711112043,2.091195353,1.373749059,1.876673731,1.232786351,1.607488374,1.721496364
Grandparent and Grandchild,1.254817953,-0.718805479,1.446209289,1.811471844,-1.242245396,1.673027217,0.088144253,1.862915592,-0.638482315,-1.585161619,-0.593875473,1.806135148,2.010533066,0.969399561,-0.811843787,-0.189085163,-0.438540872,1.861909919,1.514148644,-1.085095079,-0.819758538,-0.898997841,1.086927979,1.439436134,0.889697674,-1.189091441,1.079329681,1.94483301,0.553214745,0.703539201,1.063117048,1.309192361,2.731016545
Step-parent and Step-child,-0.014702635,-1.077812965,0.648462774,0.983345204,-0.944252693,0.844310097,-0.361070642,1.187813907,-0.914572716,-1.03354843,-0.88869884,0.874848503,0.99467371,0.048447393,-0.734066182,-0.174921293,-0.626159153,0.91166898,0.299524679,-0.079899034,-0.764862768,-0.159940195,0.452147522,0.629957173,0.241260683,-1.151676505,0.282675634,1.090443996,0.176624104,0.824100946,0.490588039,0.411768058,1.423706469
Foster-parent and Foster-child,0.256958397,-0.994125931,1.094300055,1.149151553,-0.979496899,0.871456393,-0.332184753,1.298873417,-0.911574318,-1.243505842,-1.010265788,0.835436184,1.104542299,0.273269635,-0.595338688,-0.341682114,-0.390170216,1.117945775,0.207849947,-0.467243705,-0.682698355,-0.328336933,0.641335965,0.904976257,0.306584275,-0.929466705,0.709967114,1.066598958,0.285845895,1.121884141,0.622795633,0.592044544,1.557930176
Godparent and Godchild,0.529872495,-0.700016866,0.185817688,0.984185003,-0.910525273,0.521916669,-0.182272297,0.968760644,-0.713493709,-1.158633193,-1.100076066,0.542164985,0.918203518,-0.057691303,-0.806134962,-0.353479348,-0.76334193,0.665757794,0.049999489,-1.10088586,-0.827220648,-0.803042826,-0.577374939,-0.144326545,0.090142618,-1.06020063,-0.202194055,0.979992932,-0.513127243,-0.288556063,0.49601564,0.380837603,1.45103435
Step-grandparent and Step-grandchild,-0.139820489,-0.993504608,0.088910763,0.84696255,-0.88719733,0.637841054,-0.372840794,0.928422509,-0.90985491,-1.242401202,-1.016366293,0.542144815,0.788050333,-0.297132962,-0.936231051,-0.511985841,-0.894610416,0.699997772,0.152442264,-0.845360997,-0.906180941,-0.614063148,-0.276015315,-0.070236141,-0.083828319,-1.215633826,-0.410890117,0.762988803,-0.479027126,-0.301851064,0.402082093,0.17665577,2.518592629
Ancestor and Descendant,0.48784679,-1.054366393,-0.34338637,0.626346581,-0.342757617,-0.16837352,0.074685877,0.645029626,-0.979937745,-1.249238263,-1.23514118,0.699477192,0.556153635,-0.490067661,-0.915075419,-0.905284109,-1.037110564,0.217035279,1.248045168,-0.699569469,-1.334251647,-0.628158464,0.397952019,0.267658795,0.369126847,-0.962719503,-1.180839471,1.415520288,-1.796410583,-1.060974287,0.679093389,0.2258675,2.774855821
Bride and Groom,1.136922269,1.697709507,1.970464874,1.714394261,-1.365119074,2.590419991,0.151709765,1.9461199,1.412143611,-1.281633133,-0.116033528,2.068493848,2.183308537,1.597964665,-0.088016928,0.499285269,-0.365181488,2.154487467,3.660100263,-0.321556956,1.216635555,-0.571260662,0.582469972,1.924878163,1.307973909,-0.918993498,1.968763105,1.283941552,1.688018344,1.639822199,1.14568732,1.308214266,-1.338095306
Man and His Mistress,0.033844976,0.05142878,0.538752496,1.072012855,-1.278855935,2.097287284,-3.166675393,-0.241315279,0.431461861,-0.317160051,0.221793423,0.965915926,1.29704671,0.130827907,0.446290134,0.949303332,-0.014364895,1.049950161,3.029395497,0.104499466,0.766811442,0.008301754,-2.03769743,-0.460326272,-0.230853656,-1.059375801,0.769565703,-0.482616171,0.101655254,0.127770656,-2.509111586,-0.447185122,-1.123510118
Man Wife and Man Mistress,-1.54058215,-0.493685586,-0.895667104,0.298213787,-0.709010688,-0.147846244,-2.45102049,-0.809873616,-1.244027955,0.09491114,-0.681671341,0.746619911,0.120146733,-1.355632046,-0.673542655,-0.236499119,-1.098503643,-0.438871558,0.825816901,1.747227124,-0.820565307,0.774541369,-1.982422676,-1.357051039,-1.263596258,-1.185861174,-1.225933071,-0.873715313,-1.506813796,-0.98238582,-2.117710354,-1.333646429,-1.025340058
Brother and Sister,0.433733034,1.016199395,1.393411475,1.400736466,-1.415415092,0.712230235,0.634585996,1.363818571,0.84933496,-1.329115036,-0.626050726,1.850126453,1.663160417,1.062629072,-0.666733126,0.031635625,-0.752084981,1.595692366,-0.25542272,-0.066522675,0.097218478,-0.431751172,0.723109298,1.646398126,0.996959112,-0.898051795,0.897605119,1.943556003,0.751529699,1.011404106,1.15074809,1.102000133,-0.668248068
Between step-siblings,-0.728605908,0.35321601,-0.065137619,0.53576986,-0.969865434,-0.048209975,-0.044803316,0.579086962,0.035697986,-0.954191127,-0.887239842,0.806667435,0.70263997,-0.077850846,-0.959808263,-0.471018959,-1.028265486,0.468952098,-0.333850311,0.287474736,-0.479154127,-0.392207142,-0.429619957,0.18222363,-0.248330645,-1.079167279,-0.509976323,0.718780263,-0.548384901,0.070660941,0.481938546,0.016699915,-0.556931223
Between distant relatives,-0.534226905,0.323480792,-1.464484715,0.008832966,-0.208969771,-0.552449661,-0.193796885,-0.300849937,-0.378930437,-0.496112932,-0.774489055,-0.190071525,0.097588188,-1.377084713,-1.009087377,-0.678140272,-1.201451254,-0.366565795,-0.143978063,-0.223790564,-1.030946429,-0.681392528,-1.186506664,-1.078326269,-0.857757001,-1.028401916,-1.536741758,0.627893064,-1.687256344,-1.730344293,0.288395079,-0.551862661,0.771418327
Between close relatives,0.645400969,0.734024485,1.159260161,1.382995782,-1.16518385,0.496779367,0.316469796,1.240966097,0.798556814,-1.050096198,-0.349485664,1.325963475,1.463109335,0.720970623,-0.654853717,-0.07158263,-0.728968571,1.256168591,0.006321012,-0.244340448,-0.124943505,-0.651632222,0.491517806,1.314390118,0.735445285,-0.960682342,0.672504116,1.716188868,0.352707813,0.515862262,0.964392049,0.813903979,0.519813991
Between twins,0.650689115,1.878187738,1.938208181,1.648681396,-1.61436585,1.686351982,-0.357862073,1.864446071,0.752171192,-1.750998906,-1.24997578,2.306710667,1.839256242,1.176478882,-1.270492749,-0.906438872,-1.354087861,2.057161796,-0.100798546,-0.422847676,-0.253334615,-0.920878614,-1.01209116,1.48755048,1.16829509,-1.298444748,1.204080752,2.023245116,1.300938942,1.560448701,0.988979538,1.390015816,-1.684643255
Between a person and their family friends,1.022668986,0.884070151,1.047033683,1.46047021,-1.161623682,1.14924129,-0.0579004,1.505937472,0.853621641,-1.34418436,-0.89201089,0.274402946,1.384135765,0.601389944,-1.014067713,-0.816881129,-1.076446365,1.345029967,0.207547275,-0.399714069,-0.337844909,-0.74772479,-0.1407267,1.147907456,0.685121025,-1.192624982,1.071456904,1.257027376,0.247202537,0.573825048,0.71491807,0.937353205,0.019980148
Between a person and their deceased spouse,0.404351439,0.719069784,0.594513959,1.311731194,-1.443416312,1.575234201,-1.688157769,1.3626116,-0.543968945,-1.750694232,-1.742702275,1.441994951,1.770040197,-1.207203527,-1.117853653,-1.514203678,-1.530594382,1.68697139,1.799154058,-1.130987123,-1.683499819,-1.140883975,-1.213142869,0.736147813,0.105281986,-1.389139386,-1.087172382,1.045840636,-1.346955413,-1.197021943,0.515524328,0.598918656,-1.390418816
Manager and Staff,-0.188090825,-1.215647307,-0.506631692,-1.156854532,1.327799337,-0.718633105,1.044426371,-1.06889735,0.479364305,1.5369074,1.554896157,-1.447910182,-0.860460006,0.731185019,1.784724157,0.809878123,1.272264693,-0.819451136,-0.455687185,0.616609269,1.140405872,0.572766774,0.512446858,-0.629377621,-0.097006509,1.428633431,-0.056882805,-0.276675009,-0.142631907,-0.237871914,-0.00617837,-0.106175769,0.404702852
Foreman and Laborer,-0.436601982,-1.168714337,-0.748990632,-1.175467127,1.098103186,-0.815827438,0.936796344,-1.170516794,0.178788171,1.460031052,1.464458551,-1.128272721,-0.955840026,0.419154879,1.812346474,0.692781532,1.506524006,-0.837114533,-0.597869895,0.706166206,0.883253392,0.845634318,0.226122855,-0.908427097,-0.212220453,1.347195855,-0.277420669,-0.556065421,-0.263846522,-0.263188894,-0.211307892,-0.214110948,0.160749957
Owner and Manager,-0.188330856,-1.048108732,-0.611867036,-1.163136588,1.248462091,-0.805495761,0.583118539,-1.08762203,0.454850582,1.56693889,1.566559653,-0.734455909,-0.952699396,0.736025715,1.908375684,0.873868262,1.371546102,-0.831759594,-0.493294343,0.484843351,1.332580408,0.501747457,0.353645315,-0.712437388,0.040788615,1.40585828,-0.134970326,-0.176816228,-0.213833792,-0.298294054,-0.137195503,0.069965347,0.10661109
Union leader and union member,0.002705355,-0.470680751,-0.795219512,-0.825682247,0.773867509,-0.79840777,0.798093622,-0.537649575,-0.018029656,1.067773198,0.754007869,-1.026229735,-0.830136092,0.184035008,0.613339975,-0.133477472,0.820462776,-0.855153344,-0.568736217,0.124170942,1.27878687,0.147866262,0.497581458,-1.110773331,0.255060119,0.889095361,-0.499881953,-0.306607713,-0.652302701,-0.88301143,0.080302499,0.00213616,0.156621857
Manager and Assistant,-0.08661621,-1.098547091,-0.531511225,-1.168892073,1.096366922,-0.762214908,0.722677859,-1.053034265,0.377122328,1.381151621,1.499556401,-0.658049734,-0.839616495,0.830640856,1.690492498,0.625138992,1.435099564,-0.643011809,-0.316105726,0.27613656,1.002825771,0.359670475,0.054305175,-0.683079726,0.19637104,1.403144932,-0.033564379,-0.242883011,-0.051825586,0.031478179,-0.081803436,0.264336102,0.076685943
Chief and Deputy,0.510302621,-0.913485095,0.5714839,-0.957551833,1.347963,-0.971844881,1.161016191,-0.367212054,1.101757125,1.251804244,1.314843701,0.310384471,-0.644821639,0.995540356,0.890298574,0.190549282,0.891136274,-0.299724461,-0.49582851,-0.00575548,0.266975786,-0.250127591,0.702029231,0.123248936,1.084846738,1.530077321,0.965515669,0.363812774,1.094074365,0.690007365,0.572587178,0.685004006,0.134247169
Supervisor and Subordinate,0.379435938,-1.308926513,0.032417898,-1.177444221,1.446343945,-1.013405901,1.25226605,-0.826827488,0.658365239,1.244962031,1.353183713,-0.562867271,-0.711728648,0.896164859,1.041797178,0.334211058,0.95310418,-0.394020878,-0.381115135,0.28200451,0.042900811,0.409133893,0.368162484,0.352928951,0.689304874,1.552873827,0.807299498,0.386636431,0.786437554,0.485848169,0.328664926,0.370200168,0.645933532
Boss and Secretary,0.755070773,-1.323751643,0.584300252,-0.956831763,1.283865154,-0.664831758,0.71476707,-0.678779887,0.543761264,0.867497372,1.364476598,0.204936264,-0.596739587,0.965772701,1.321494068,0.460123454,1.264297964,-0.124507174,-0.31358277,-0.208269242,-0.117776555,-0.117564161,-0.101020606,0.059933714,0.722701555,1.54531473,0.952770037,0.442844369,0.69146286,0.776649492,0.406025755,0.678701186,0.515167114
Entrepreneur and Investor,0.575561321,0.32890272,-0.176732827,-0.92258613,1.191929523,-0.896668289,0.30943811,-0.743274576,2.036127782,1.794792007,2.059485899,-0.296408244,-0.639508848,0.796606691,2.411929163,1.895563635,1.136023069,-0.41524101,-0.4789568,0.054431863,2.396059427,-0.140274781,0.995326134,0.151102046,0.625933451,1.242367347,0.292301961,0.206192229,0.001350876,-0.953957403,0.334833972,0.366616519,-0.112557468
Intern and Employee,0.403839144,-0.567754652,-0.328642038,-0.915854874,0.907915739,-0.81513179,1.26793825,-0.37527417,0.485827563,0.499858026,0.506784693,-0.8297907,-0.670948631,0.511893514,0.34497424,0.090741507,0.663702071,-0.488707747,-0.507851629,-0.157334678,-0.378433166,-0.149518752,-0.332016332,-0.648339335,0.195701733,1.35504905,0.332280436,-0.661896493,0.075880228,0.184768077,0.244485396,-0.076689353,0.912028954
Lawyer and Client,0.971817249,0.048643725,0.208105966,-0.788918758,1.372925156,-0.624787699,-0.125605605,-0.712899714,1.217957976,1.230106342,1.808142822,-0.256681543,-0.637374219,1.055176216,1.929421623,0.590002436,1.755999186,-0.316736834,-0.552203101,-0.463208394,1.780667478,-0.454795945,1.14939722,0.611779673,0.844332002,1.300197236,1.106716408,-0.704350842,0.521094959,0.201322758,0.436853014,0.852578022,-0.002879284
Judge and Lawyer,-0.657730158,-0.652604958,-0.848567744,-1.211679069,1.722130165,-1.104704844,0.896701825,-0.780713797,0.023559725,1.076766473,0.665568031,-0.516533538,-0.897027765,0.253315983,-0.438816336,-0.71961824,-0.059755959,-1.047384118,-0.523290689,0.403871803,1.443831446,-0.089073565,1.412899945,-0.2067927,-0.334309964,1.344111447,-0.040936299,-0.424271416,0.101194024,-0.155587366,0.464688099,0.082639441,0.467720779
Victim and Criminal,-2.649459808,-1.025896596,-1.693665713,-0.742565389,-0.68914179,-1.014714022,-0.787110819,-1.419118485,-2.636148044,-0.56888212,-0.451724428,-0.350120604,-1.181436479,-2.441877402,-0.261181107,-0.496877389,-1.838546793,-1.41253697,-0.544952236,2.81122826,-2.132456659,3.985395922,-0.408254798,-1.511282272,-2.461865761,-1.312651335,-2.789201097,-1.620476233,-1.637294346,-0.587555705,-3.092413191,-2.438876939,-0.198734549
Drug dealer and Addict,-0.479713044,-1.110320518,-0.200195254,-0.791355724,-0.912298724,-0.424650976,-2.866353942,-1.236047876,0.210291237,0.813683052,2.360949686,-0.676901141,-1.167886338,-0.926872342,2.332588945,3.99029188,1.371191338,-0.44069413,-0.593438145,0.238185224,1.447419353,1.055906868,-1.770781054,-0.888777103,0.166008174,-0.181526166,0.106755369,0.084333385,0.325481598,0.143631117,-3.155452193,-1.030514109,-0.820114014
Victim and Witness,-0.382543284,0.270745187,-1.146990378,-0.320252039,-0.185349682,-0.412425711,-0.40345865,0.060400016,-1.537238831,-0.613751976,-1.142946267,0.349873388,-0.750381262,-0.73944258,-1.069228962,-1.383983532,-1.134396393,-1.018769221,-0.552524391,-0.19873908,-1.228386916,0.001774949,0.74608629,-0.282568897,-0.622258568,-1.059191113,-1.460223427,-1.618907972,-0.06488777,-0.390950665,-0.272174393,-0.567634889,-0.341542152
Criminal and Police officer,-2.519328568,-1.472379053,-0.922429267,-1.220666644,0.655566891,-1.018910532,0.242371983,-1.030681712,-2.521004722,0.572172727,-0.409068892,-0.78630786,-1.24080028,-1.281798609,-0.820616672,-1.40628274,-0.896650318,-1.48944624,-0.639234805,2.310332686,-1.023245024,2.32354517,1.602815198,-0.376188377,-2.072592857,0.42652377,-1.066307854,-1.061553476,-1.063697425,-0.908587103,-0.886980142,-1.975343149,0.048582131
Criminal and Prosecutor,-2.296430554,-1.466659303,-1.166272041,-1.225241287,1.042631516,-0.902165709,0.546296749,-1.055519322,-2.518223815,0.673587896,-0.428827762,-0.499352742,-1.210980974,-0.898116084,-0.538556112,-1.754466588,-0.472820641,-1.36149458,-0.603633346,1.628330816,-0.470399545,1.372617238,1.148023685,-0.599409258,-1.876099128,0.461493464,-1.187907196,-1.10816294,-1.000271849,-0.991548197,-0.757744518,-1.63962797,0.211516956
Criminal and Hostage,-2.30665773,-1.678938726,-1.123745781,-0.903819876,-0.746488049,-0.71465666,-1.648664708,-1.205892462,-2.35542305,0.588144713,0.124874117,0.16199609,-1.236056547,-1.782452379,0.08140785,-0.441265082,-1.490524424,-1.32069165,-0.48552303,2.285187912,-0.5361299,3.715016295,-0.934877869,-1.092890474,-2.10598696,-1.085615006,-2.118531205,-1.597762845,-0.503236163,-0.202053967,-2.700605367,-2.159244993,-0.24486839
Defendant and Plaintiff,-2.543639072,-0.4608285,-0.847995115,-0.910738281,0.491168751,-0.756431174,0.131600038,-0.944608195,-2.156826887,0.584471407,-0.140474777,-0.073114451,-1.11449598,-0.938056877,-0.247196011,-1.295160969,-1.089581087,-1.316781627,-0.530438206,1.717797079,-0.021510982,0.956349389,0.689225879,-0.385007931,-1.803800899,-0.357569067,-0.9988529,-1.119337215,-0.866134015,-0.881819314,-0.95885075,-1.667744923,-0.315925487
Police officer and Offender,-2.184476278,-1.198552076,-1.237809256,-1.199034203,0.811840063,-0.933572886,0.455416957,-0.953614966,-2.235686857,0.057154047,-0.06039662,-0.883989889,-1.250504417,-0.868718179,-0.110442799,-1.088053043,-0.349903577,-1.48635099,-0.65577958,1.760587808,-0.750510317,1.48874193,1.190297105,-0.538213687,-1.872506171,0.612882154,-1.146414722,-1.45994274,-0.413883443,-0.666614697,-0.732202829,-1.647261617,-0.06830391
Police officer and Civilian,0.125878097,-0.174088413,-1.026534336,-0.640832113,0.538784173,-0.341713691,1.110615071,0.112785015,-0.520145027,-0.394394451,-0.753867607,-1.591114353,-0.546964628,-0.396223099,-0.80212494,-1.325193263,0.519122463,-0.852341375,-0.518264817,-0.586776045,-0.892340482,-0.11566316,1.777316136,0.384846925,0.272427727,0.654053778,-0.76850777,-0.337349825,-1.318244418,-0.764244043,0.478432377,0.277624056,0.090112428
Parole officer and Parolee,-1.095357429,-1.600569068,-0.842710951,-1.247057099,1.15788934,-0.903260291,-0.467301055,-1.154470998,-1.612803731,0.406110659,-0.171074092,-0.225364595,-1.084895045,-0.098845522,-0.814979738,-1.218681382,-0.072962069,-0.962824454,-0.834991079,0.907821623,-0.770019016,1.799728274,0.973718959,-0.315489499,-1.127685941,0.869864273,-0.674360286,-0.654361242,0.169762203,-0.308243372,-0.269591719,-1.113377582,-0.163614496
Consultant and Client,0.300653342,-0.021678484,-0.645200149,-1.020142136,1.212100877,-0.786375567,-0.362149276,-0.899244469,0.479009851,1.234420286,1.377005544,-0.729339624,-0.961089164,1.005470671,2.101386102,1.152416368,1.833995934,-0.906614875,-0.688671593,-0.471893597,2.042946626,-0.535569177,0.410465398,-0.128639486,-0.077110245,1.170330167,0.310644989,-0.945651263,-0.201738248,-0.390151779,0.087675172,-0.056970426,-0.281058168
Chef and Customer,0.248975486,-0.037620306,-1.252357312,-0.935530466,0.61883215,-0.769730841,0.460109689,-1.130446589,0.089686054,0.237791846,1.833663011,-1.360532738,-0.779203836,-1.049488283,1.469074437,2.695481701,1.612874905,-1.073755067,-0.673326573,-0.888232047,-0.318147724,-0.964310544,-0.028742869,-0.861197533,-0.747601826,1.019708827,-1.499790688,-1.536594427,-0.887180141,-0.595253288,0.302515209,-0.058936198,-0.043019811
Customer and Server,0.322135675,-0.104724583,-0.864131734,-0.821267431,0.617445851,-0.688807123,1.019023141,-0.964203851,0.271013001,0.418198376,1.701455531,-1.702750387,-0.850985352,-0.461047916,1.772045786,2.765438394,2.011830474,-0.971622573,-0.796218928,-0.652564611,-0.052617746,-0.652587039,0.114066157,-0.673478537,-0.463233567,0.95419925,-0.189716607,-1.535695413,-0.209773358,0.368362674,0.162499953,-0.183474364,-0.263467506
Customer and Businessman,-0.108995745,-0.047565815,-0.828113724,-0.995974206,0.965503856,-0.704443616,0.036288849,-1.008471372,0.821806947,1.320069983,1.901786757,-0.951097124,-0.913367614,0.197150438,2.334185686,3.183936918,1.649849842,-0.902514542,-0.625602328,-0.427191614,2.344860554,-0.543711024,0.638787605,-0.136008538,-0.184605133,1.113913189,-0.138333077,-0.702084674,-0.575592167,-0.594105115,-0.020769505,-0.110553562,-0.063966337
Doctor and Patient,0.866488717,-0.45336193,0.127465028,-0.30155078,1.024324002,0.005093689,-0.983804059,-0.629572431,-0.446738708,-0.097761286,0.838406905,-0.444774731,-0.084702527,1.277208514,0.620885005,0.024281906,1.610573699,0.138882657,-0.702404926,-0.829595177,-0.69953893,-0.671385687,1.821256008,0.943693846,0.377467019,1.209446113,0.684728012,-0.041289936,0.671991094,0.968216325,0.944000513,1.075526324,0.196040397
Doctor and Nurse,0.613392695,-0.515459907,0.732086919,-0.377023866,0.721634325,-0.162677222,-0.339887906,-0.062994934,0.186496132,-0.239157199,0.125613864,-0.441506119,-0.390033026,1.053598019,-0.622507227,-0.620399075,0.21402323,-0.260427378,-0.523120125,-0.993928753,-1.131199282,-0.812490168,1.33752255,0.433313527,1.073264292,1.257968806,0.569547412,0.565164183,0.987439972,1.018464363,0.772095102,0.958724368,-0.058456016
Patient and Caretaker,0.718507993,-0.0278775,0.565797313,0.318735945,0.182879,0.363456084,-0.592458903,-0.16963109,-0.327048452,-0.363644398,0.371186413,-0.190824692,0.159518106,0.359524072,0.3857935,-0.074292346,1.474649283,0.526014698,-0.542809358,-0.810678256,-0.543243652,-0.687501059,0.966783309,0.848313658,0.180870178,0.781199673,0.705490437,0.186349209,0.77920531,1.128246726,1.002702778,1.082743673,0.455094422
Driver and Passenger,0.856596245,0.410159421,-1.697845895,-1.052293997,0.264716887,-0.876552246,0.844388699,-0.805096358,0.284443812,0.005176789,2.152574007,-1.465026318,-0.917663544,-1.368991427,1.829183781,0.974604888,2.076659467,-1.2634051,-0.631828391,-0.781789619,0.527739508,-0.976468845,0.258241875,-0.933492773,-0.762512774,0.575977251,-1.310607899,-1.830547925,0.468185984,0.795440332,0.348871256,-0.140601477,0.077434706
Coach and athlete,0.941241546,-0.729762453,1.097508096,-0.207147414,0.267293111,0.106300953,0.548607384,0.211849165,0.592886568,0.711454931,0.287313242,0.586632847,-0.138022783,1.3963807,0.714478254,-0.447459487,1.374765778,0.705555847,-0.601535769,-0.389968374,0.471016927,-0.021730628,-0.23756468,0.54248604,1.159309431,1.29735372,1.279964086,0.457311042,1.011703966,1.209577012,0.689828068,1.063760754,1.147419961
Team Captain and Team Members,0.687685512,-0.421224231,0.856391994,-0.356241469,0.097449067,0.02585201,0.697169365,0.400996943,1.055858945,0.70990166,-0.202825631,-0.010965892,-0.152389132,1.114653489,-0.203944102,-0.47775556,0.433493638,0.503711162,-0.658063999,-0.102442667,0.506631435,0.065658976,-0.38066161,0.136472825,1.100280117,0.893029348,0.950975032,0.254410987,1.119155328,0.83301311,0.511728769,0.83251369,-0.435400535
Club Member and Club President,0.397690243,-0.706074172,-0.524398267,-0.696432444,0.54059187,-0.672257467,0.629590374,-0.305379914,0.068183067,0.359025185,0.255339014,-0.43319273,-0.658453132,-0.020954468,0.442912293,-0.326254009,0.17233149,-0.472162485,-0.680619987,-0.503005052,0.58529279,-0.301663073,-0.924617055,-0.58866744,0.680667316,0.542255126,-0.224575973,-0.130258966,-0.355645765,-0.284172689,0.099554324,0.128551562,0.527178201
Politician and Supporter,0.073703742,-0.730838937,-1.100620089,-0.92569754,0.932132171,-0.899369186,1.037036004,-0.920930472,-0.580612571,0.710280618,-1.484093098,-1.252598817,-0.664885799,-0.589693023,0.323968099,-0.128507678,0.392263559,-0.486617575,-0.624990454,0.023375343,0.349162055,0.222347248,1.04555488,-0.287245201,0.510166564,0.402646184,-0.872665556,-0.201990277,-0.932718478,-1.390907337,-0.33257604,-0.032219613,0.614729264
Leader and Follower,0.330290592,-1.211111897,-0.510444287,-0.437981341,0.41815642,-0.56078143,0.404530225,-0.263008592,-0.987058603,0.227994255,-1.427575545,-0.712835024,-0.36357793,-0.210731704,-0.594152587,-0.722717501,-0.145188917,-0.0934677,-0.626756784,-0.491279752,-0.301737222,0.234728058,0.495043363,0.168277974,0.474635363,0.206817298,-0.360826689,0.109476453,-0.258622328,-0.773492688,-0.013343471,0.314359347,0.572373638
Representative and Citizen,0.111987134,-0.378147352,-1.065738105,-0.787065573,0.775245102,-0.848594011,1.12477919,-0.462726011,-0.651883836,0.301623519,-1.014635347,-1.303879985,-0.643989599,-0.674716517,-0.420366871,-0.602368214,0.449879399,-0.648818387,-0.695234546,0.126921331,0.318319857,-0.2209145,1.398645035,0.002618931,0.301247245,0.340102351,-0.803240633,-0.137990983,-1.124052406,-1.216819288,0.126194362,-0.094410788,0.292495563
Officer and Soldier,-0.06434342,-1.194098753,0.10023287,-0.886707148,1.368453959,-0.770790688,0.223549879,-0.209289886,-0.537508167,0.589475253,-0.079420558,0.053084521,-0.684244811,0.213172773,-0.948706941,-0.750691866,0.141402608,-0.286859251,-0.688100545,-0.131329506,-1.188298667,1.740831811,0.841137758,0.362902635,0.804517413,1.327242348,0.473528907,0.41546563,0.693237507,0.709600058,0.446048858,0.849943419,0.85603955
Babysitter and Infant,0.933554229,-1.272877847,0.931157381,0.422586267,-0.491384419,0.948209241,-0.148557079,-0.025784485,-1.042731608,-0.953214786,0.575010996,0.178042837,1.107998378,-0.142600177,0.538552671,-0.192385551,1.626629868,1.267607636,-0.138338614,-0.909202204,-0.602999436,-0.644741641,0.693088097,0.916235816,0.188978512,0.850980009,0.488450788,-0.283420628,0.447943026,1.480467727,0.845684017,1.046047382,2.087568567
