,Age,Gender,Race,Race_alternative,Highest education,First language,Highest education_label,Gender_label
0,26,1,1,,8,English,Master or equivalent,female
1,35,1,4,,9,english,Doctoral or equivalent,female
2,22,2,1,,7,English,Bachelor or equivalent,male
4,20,2,1,,4,English,Upper secondary education,male
5,30,1,1,,7,English,Bachelor or equivalent,female
6,59,2,1,,6,English,Short-cycle tertiary education,male
8,43,2,1,,6,english,Short-cycle tertiary education,male
9,40,1,1,,5,English,Post-secondary non-tertiary education,female
10,66,1,1,,5,English,Post-secondary non-tertiary education,female
11,63,1,1,,4,English,Upper secondary education,female
12,35,1,4,,6,English,Short-cycle tertiary education,female
13,39,2,4,,7,English,Bachelor or equivalent,male
14,54,1,1,,8,English,Master or equivalent,female
15,23,1,1,,8,English ,Master or equivalent,female
16,51,1,1,,5,english,Post-secondary non-tertiary education,female
17,67,1,1,,5,english,Post-secondary non-tertiary education,female
18,19,1,6,Mixed East Asian/White,4,English,Upper secondary education,female
19,24,1,4,,7,English,Bachelor or equivalent,female
20,31,1,1,,7,English,Bachelor or equivalent,female
21,30,2,1,,8,English,Master or equivalent,male
22,42,2,4,,6,English,Short-cycle tertiary education,male
23,28,1,1,,7,English,Bachelor or equivalent,female
24,22,1,1,,7,English,Bachelor or equivalent,female
25,32,2,1,,6,English,Short-cycle tertiary education,male
27,33,2,3,,6,English,Short-cycle tertiary education,male
29,34,2,1,,8,English,Master or equivalent,male
30,58,1,4,,7,English,Bachelor or equivalent,female
32,43,2,1,,7,english,Bachelor or equivalent,male
33,54,2,1,,9,English,Doctoral or equivalent,male
34,48,2,1,,4,English ,Upper secondary education,male
35,30,1,1,,8,english,Master or equivalent,female
36,33,2,4,,7,English,Bachelor or equivalent,male
37,24,1,5,,4,english,Upper secondary education,female
38,35,1,1,,7,English ,Bachelor or equivalent,female
39,28,1,1,,7,English,Bachelor or equivalent,female
40,31,2,1,,8,English,Master or equivalent,male
41,13,1,4,,5,English,Post-secondary non-tertiary education,female
42,44,1,6,Pacific Islander,7,English,Bachelor or equivalent,female
43,47,1,1,,8,English,Master or equivalent,female
44,31,2,1,,8,English,Master or equivalent,male
45,68,1,1,,9,english,Doctoral or equivalent,female
46,24,2,4,,4,English,Upper secondary education,male
48,25,1,1,,7,english,Bachelor or equivalent,female
49,31,1,1,,6,English,Short-cycle tertiary education,female
50,39,2,4,,7,Korean,Bachelor or equivalent,male
51,45,2,1,,4,English,Upper secondary education,male
53,72,1,1,,6,English,Short-cycle tertiary education,female
54,34,1,4,,7,English,Bachelor or equivalent,female
55,21,1,1,,7,English,Bachelor or equivalent,female
56,48,1,1,,7,English ,Bachelor or equivalent,female
57,40,1,4,,7,Mandarin,Bachelor or equivalent,female
58,33,1,1,,7,English,Bachelor or equivalent,female
59,60,1,1,,7,english,Bachelor or equivalent,female
60,40,2,1,,9,English,Doctoral or equivalent,male
61,27,2,1,,7,English,Bachelor or equivalent,male
62,23,1,1,,4,english,Upper secondary education,female
63,31,1,1,,7,english,Bachelor or equivalent,female
64,39,1,1,,6,English,Short-cycle tertiary education,female
