,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Race_label,Highest education_label
0,33,2,7,Mestizo,8,Espa?ol,male,Other (write in),Master or equivalent
1,25,1,7,Mexicana,8,Espa?ol,female,Other (write in),Master or equivalent
2,24,1,7,Mestizo,8,Espa?ol,female,Other (write in),Master or equivalent
3,28,2,2,,8,Espa?ol,male,White,Master or equivalent
5,22,2,7,latino,7,espa?ol,male,Other (write in),Bachelor or equivalent
6,47,2,7,Hispanic,8,Spanish,male,Other (write in),Master or equivalent
7,21,2,7,Hispano,6,Espa?ol,male,Other (write in),Short-cycle tertiary education
8,38,2,2,,8,Espa?ol,male,White,Master or equivalent
9,21,2,2,,7,Espa?ol,male,White,Bachelor or equivalent
10,20,1,7,latíno,7,espa?ol,female,Other (write in),Bachelor or equivalent
11,26,2,7,Latino,7,Espa?ol,male,Other (write in),Bachelor or equivalent
12,31,1,7,latino,8,espa?ol,female,Other (write in),Master or equivalent
13,35,1,2,,8,Espa?ol,female,White,Master or equivalent
14,26,2,7,Hispano ,8,Espanol,male,Other (write in),Master or equivalent
15,20,1,2,,7,Espa?ol,female,White,Bachelor or equivalent
16,30,2,7,Chontal,8,Espa?ol ,male,Other (write in),Master or equivalent
17,26,2,2,,8,espa?ol,male,White,Master or equivalent
18,22,2,7,Mexicano,7,Espa?ol,male,Other (write in),Bachelor or equivalent
20,22,1,7,Latina/Hispano,8,Espa?ol,female,Other (write in),Master or equivalent
21,25,2,7,Latino ,7,Espa?ol,male,Other (write in),Bachelor or equivalent
22,25,1,7,Hispano/Latino,4,Espa?ol,female,Other (write in),Upper secondary education
23,26,1,2,,8,Espa?ol,female,White,Master or equivalent
24,21,1,2,,7,Espa?ol,female,White,Bachelor or equivalent
25,45,1,7,Latino/hispano,6,Espa?ol,female,Other (write in),Short-cycle tertiary education
26,37,1,7,hispano,8,espa?ol,female,Other (write in),Master or equivalent
27,20,2,2,,7,Espa?ol ,male,White,Bachelor or equivalent
28,23,2,2,,5,espa?ol,male,White,Post-secondary non-tertiary education
29,26,2,7,Mestizo,7,Espa?ol,male,Other (write in),Bachelor or equivalent
30,22,1,7,Latina,7,espa?ol,female,Other (write in),Bachelor or equivalent
31,25,2,2,,8,Espa?ol,male,White,Master or equivalent
32,33,1,7,Latino blanco,8,Espa?ol,female,Other (write in),Master or equivalent
33,23,2,7,latino,7,espa?ol,male,Other (write in),Bachelor or equivalent
34,33,2,2,,8,Spanish,male,White,Master or equivalent
35,21,2,7,Latinoamericano,8,Espa?ol,male,Other (write in),Master or equivalent
36,24,2,7,latino,7,espanol,male,Other (write in),Bachelor or equivalent
37,22,1,7,LATINO,7,ESPA?OL,female,Other (write in),Bachelor or equivalent
38,26,2,7,Latino,8,Espa?ol,male,Other (write in),Master or equivalent
39,20,2,7,Mestizo,5,Espa?ol,male,Other (write in),Post-secondary non-tertiary education
40,32,2,7,Latino,7,Espa?ol,male,Other (write in),Bachelor or equivalent
42,21,1,7,Latino,6,Espa?ol,female,Other (write in),Short-cycle tertiary education
43,35,2,2,,7,espa?ol,male,White,Bachelor or equivalent
44,19,1,7,Latina,4,Espa?ol,female,Other (write in),Upper secondary education
45,32,2,2,,8,Espa?ol,male,White,Master or equivalent
46,40,2,7,Latin,8,spanish,male,Other (write in),Master or equivalent
47,23,1,7,Latina,8,Espa?ol,female,Other (write in),Master or equivalent
48,41,1,2,,6,Espa?ol,female,White,Short-cycle tertiary education
49,29,2,2,,8,Espa?ol,male,White,Master or equivalent
50,31,2,2,,8,Espa?ol,male,White,Master or equivalent
51,22,2,7,LATINO,7,ESPA?OL,male,Other (write in),Bachelor or equivalent
52,22,1,7,Latino,8,Espa?ol castellano,female,Other (write in),Master or equivalent
53,28,2,2,,6,espa?ol,male,White,Short-cycle tertiary education
54,33,2,7,Mexicana,7,Espa?ol,male,Other (write in),Bachelor or equivalent
55,21,1,7,hispanp/latino,5,espa?ol,female,Other (write in),Post-secondary non-tertiary education
57,20,1,7,Hispano/Latino,7,Espa?ol,female,Other (write in),Bachelor or equivalent
59,44,2,7,Latino,8,Espa?ol,male,Other (write in),Master or equivalent
60,27,2,7,mestizo,4,espa?ol,male,Other (write in),Upper secondary education
61,25,2,7,Latino,7,Espa?ol,male,Other (write in),Bachelor or equivalent
62,23,1,7,hispana,6,espa?ol,female,Other (write in),Short-cycle tertiary education
63,36,1,7,latina,6,espa?ol,female,Other (write in),Short-cycle tertiary education
64,19,2,7,Latino,7,Espa?ol,male,Other (write in),Bachelor or equivalent
65,30,2,2,,8,Espa?ol,male,White,Master or equivalent
66,30,2,2,,8,espa?ol,male,White,Master or equivalent
67,20,2,2,,5,Espa?ol,male,White,Post-secondary non-tertiary education
68,19,1,2,,7,espa?ol,female,White,Bachelor or equivalent
69,24,2,2,,8,espa?ol,male,White,Master or equivalent
70,25,2,7,Latin,8,Spanish,male,Other (write in),Master or equivalent
71,25,2,2,,7,Espa?ol,male,White,Bachelor or equivalent
72,26,1,2,,8,espa?ol,female,White,Master or equivalent
73,30,2,2,,5,Espa?ol,male,White,Post-secondary non-tertiary education
74,25,2,2,,8,Espa?ol,male,White,Master or equivalent
75,28,2,2,,7,Espa?ol,male,White,Bachelor or equivalent
77,25,1,7,Latina,8,Espa?ol,female,Other (write in),Master or equivalent
79,27,1,2,,7,Espa?ol ,female,White,Bachelor or equivalent
80,25,2,2,,5,Espa?ol,male,White,Post-secondary non-tertiary education
81,24,2,7,Latino,7,Espa?ol,male,Other (write in),Bachelor or equivalent
82,22,2,2,,7,Espa?ol,male,White,Bachelor or equivalent
83,26,2,7,Latino,8,Espa?ol,male,Other (write in),Master or equivalent
84,25,1,7,Mexicano/Latino,8,espa?ol,female,Other (write in),Master or equivalent
85,31,2,7,latino,7,espa?ol,male,Other (write in),Bachelor or equivalent
86,24,2,7,Latino,8,Espa?ol,male,Other (write in),Master or equivalent
88,31,1,2,,7,espa?ol,female,White,Bachelor or equivalent
89,21,1,2,,7,Espa?ol,female,White,Bachelor or equivalent
90,29,2,7,hispano,8,Espa?ol,male,Other (write in),Master or equivalent
91,28,2,3,,7,Espa?ol,male,Black,Bachelor or equivalent
92,25,1,2,,8,Espa?ol,female,White,Master or equivalent
93,26,1,7,Latina,6,Espa?ol,female,Other (write in),Short-cycle tertiary education
94,22,2,2,,7,Espa?ol,male,White,Bachelor or equivalent
95,33,1,7,Latina,8,espa?ol,female,Other (write in),Master or equivalent
97,30,1,7,hispana,8,espa?ol,female,Other (write in),Master or equivalent
98,25,1,2,,8,espa?ol,female,White,Master or equivalent
99,24,2,2,,8,Espa?ol,male,White,Master or equivalent
100,24,1,7,Latino,8,Espa?ol,female,Other (write in),Master or equivalent
102,40,2,7,Latino,7,espa?ol,male,Other (write in),Bachelor or equivalent
103,36,2,2,,8,espa?ol,male,White,Master or equivalent
105,22,1,7,Latin,6,Spanish ,female,Other (write in),Short-cycle tertiary education
106,23,1,7,Latino,8,Espa?ol,female,Other (write in),Master or equivalent
107,25,1,7,Mestizo,8,Espa?ol,female,Other (write in),Master or equivalent
108,24,1,7,latino,8,Espa?ol,female,Other (write in),Master or equivalent
109,22,2,7,HISPANO,7,Espa?ol,male,Other (write in),Bachelor or equivalent
110,23,1,7,Latina,8,Espa?ol,female,Other (write in),Master or equivalent
111,21,2,7,Latino,7,Espa?ol,male,Other (write in),Bachelor or equivalent
112,27,1,7,latina,8,espa?ol,female,Other (write in),Master or equivalent
113,24,1,2,,8,Spanish,female,White,Master or equivalent
115,30,2,2,,7,Espa?ol,male,White,Bachelor or equivalent
116,22,1,2,,4,Espa?ol,female,White,Upper secondary education
117,28,1,7,Hispano,8,Espa?ol,female,Other (write in),Master or equivalent
118,21,2,2,,7,Espa?ol,male,White,Bachelor or equivalent
119,26,2,7,Hispana,7,Espa?ol,male,Other (write in),Bachelor or equivalent
120,25,1,7,Latino/Hispano,8,Espa?ol,female,Other (write in),Master or equivalent
121,46,1,7,Latina,8,Espa?ol,female,Other (write in),Master or equivalent
122,34,2,7,Latino,8,Espa?ol,male,Other (write in),Master or equivalent
123,32,1,7,latino,8,spanish,female,Other (write in),Master or equivalent
124,24,1,7,Hispana,5,Espa?ol,female,Other (write in),Post-secondary non-tertiary education
125,27,2,7,Latino,8,Espa?ol,male,Other (write in),Master or equivalent
126,36,2,7,Latino,8,Espa?ol,male,Other (write in),Master or equivalent
127,30,2,7,Mexicano,8,Espa?ol ,male,Other (write in),Master or equivalent
128,28,1,7,Mexicana,8,Espa?ol,female,Other (write in),Master or equivalent
129,24,2,7,Mestizo Latino,8,Espa?ol,male,Other (write in),Master or equivalent
130,25,2,7,amerindio ,7,espa?ol,male,Other (write in),Bachelor or equivalent
131,27,1,7,Hispana,5,Espa?ol,female,Other (write in),Post-secondary non-tertiary education
132,26,2,7,latino,7,espa?ol,male,Other (write in),Bachelor or equivalent
133,20,1,2,,7,Espa?ol,female,White,Bachelor or equivalent
134,32,2,7,Latino,8,Espa?ol,male,Other (write in),Master or equivalent
135,23,2,7,Mexicano,7,Espa?ol,male,Other (write in),Bachelor or equivalent
136,29,2,7,Hispano,7,Espa?ol,male,Other (write in),Bachelor or equivalent
137,27,1,7,Mexicana mestiza,8,Espa?ol,female,Other (write in),Master or equivalent
138,23,2,2,,8,Espa?ol,male,White,Master or equivalent
139,21,2,7,Latino,6,Espa?ol,male,Other (write in),Short-cycle tertiary education
140,28,2,7,Hispana,8,Espa?ol,male,Other (write in),Master or equivalent
141,21,2,7,latino,4,Espa?ol,male,Other (write in),Upper secondary education
142,19,2,7,Latina,4,Espa?ol,male,Other (write in),Upper secondary education
143,20,2,2,,4,Espa?ol,male,White,Upper secondary education
144,29,1,2,,8,Espa?ol,female,White,Master or equivalent
145,23,2,2,,8,espa;ol,male,White,Master or equivalent
147,25,2,2,,8,Espa?ol,male,White,Master or equivalent
148,51,1,2,,8,Espa?ol,female,White,Master or equivalent
149,26,2,7,Latino,7,Espa?ol,male,Other (write in),Bachelor or equivalent
150,20,1,7,Latina,7,Espa?ol,female,Other (write in),Bachelor or equivalent
151,31,1,7,latinoamericano ,6,espanol ,female,Other (write in),Short-cycle tertiary education
152,35,2,2,,7,Espa?ol,male,White,Bachelor or equivalent
153,19,2,2,,6,Espa?ol,male,White,Short-cycle tertiary education
154,23,1,7,Latina,7,Espa?ol,female,Other (write in),Bachelor or equivalent
155,20,2,2,,7,Spanish,male,White,Bachelor or equivalent
156,47,1,2,,7,Espa?ol,female,White,Bachelor or equivalent
157,39,2,7,Hispano,8,Espa?ol,male,Other (write in),Master or equivalent
158,23,1,2,,8,Espa?ol,female,White,Master or equivalent
159,20,2,7,latino,4,Espa?ol,male,Other (write in),Upper secondary education
160,26,1,2,,8,Espa?ol,female,White,Master or equivalent
161,26,1,2,,4,espa?ol,female,White,Upper secondary education
162,28,2,7,Latino,5,Espa?ol,male,Other (write in),Post-secondary non-tertiary education
163,24,1,7,Hispano,6,Espa?ol,female,Other (write in),Short-cycle tertiary education
164,38,2,7,Latino,8,espa?ol,male,Other (write in),Master or equivalent
165,26,2,7,Latino con ascendencia filipina,7,Espa?ol,male,Other (write in),Bachelor or equivalent
166,40,2,1,,8,Spanish,male,Asian,Master or equivalent
167,27,2,7,Latino,8,Espa?ol,male,Other (write in),Master or equivalent
168,36,2,7,Latino,6,Espa?ol,male,Other (write in),Short-cycle tertiary education
169,24,1,7,Latino,8,Espa?ol,female,Other (write in),Master or equivalent
170,27,1,7,Hispano,8,Espa?ol,female,Other (write in),Master or equivalent
171,26,2,7,Latino,8,Espa?ol,male,Other (write in),Master or equivalent
