,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Race_label,Highest education_label
0,29,2,2,,6,ISIZULU,male,Black,Short-cycle tertiary education
1,37,2,2,,7,isiXhosa,male,Black,Bachelor or equivalent
2,31,2,2,,7,Zulu,male,Black,Bachelor or equivalent
3,29,1,2,,8,IsiZulu,female,Black,Master or equivalent
4,25,1,2,,7,IsiZulu,female,Black,Bachelor or equivalent
5,38,1,2,,6,Ndebele,female,Black,Short-cycle tertiary education
6,29,1,2,,6,English,female,Black,Short-cycle tertiary education
7,41,1,2,,8,Shona,female,Black,Master or equivalent
8,24,2,2,,8,Venda,male,Black,Master or equivalent
9,33,1,6,Coloured,4,English,female,Other (write in),Upper secondary education
10,26,2,2,,7,Zulu ,male,Black,Bachelor or equivalent
11,26,1,2,,7,IsiZulu,female,Black,Bachelor or equivalent
13,25,2,2,,7,Sesotho,male,Black,Bachelor or equivalent
14,30,2,2,,5,Sotho,male,Black,Post-secondary non-tertiary education
15,39,1,1,,7,English,female,White,Bachelor or equivalent
16,27,1,2,,7,IsiXhosa,female,Black,Bachelor or equivalent
17,31,2,2,,7,tsonga,male,Black,Bachelor or equivalent
18,46,1,2,,6,English,female,Black,Short-cycle tertiary education
19,24,1,2,,7,English ,female,Black,Bachelor or equivalent
21,22,1,2,,7,English ,female,Black,Bachelor or equivalent
22,43,1,2,,5,Zulu ,female,Black,Post-secondary non-tertiary education
23,19,2,2,,7,Zulu,male,Black,Bachelor or equivalent
25,24,1,2,,7,English,female,Black,Bachelor or equivalent
26,30,2,2,,4,Zulu,male,Black,Upper secondary education
27,26,1,2,,6,IsiXhosa,female,Black,Short-cycle tertiary education
28,27,1,2,,7,English ,female,Black,Bachelor or equivalent
29,30,1,2,,5,English ,female,Black,Post-secondary non-tertiary education
30,43,2,2,,5,English,male,Black,Post-secondary non-tertiary education
31,32,1,2,,7,English ,female,Black,Bachelor or equivalent
32,22,2,2,,6,english,male,Black,Short-cycle tertiary education
33,27,1,2,,7,English ,female,Black,Bachelor or equivalent
34,23,1,2,,6,Setswana ,female,Black,Short-cycle tertiary education
35,24,1,2,,6,Sesotho ,female,Black,Short-cycle tertiary education
36,25,1,2,,7,English ,female,Black,Bachelor or equivalent
37,42,1,2,,7,Xhosa,female,Black,Bachelor or equivalent
38,23,2,2,,7,IsiZulu,male,Black,Bachelor or equivalent
39,26,2,2,,7,English,male,Black,Bachelor or equivalent
40,33,1,3,,4,English,female,"South Asian Indian, Pakistani, etc.",Upper secondary education
41,27,1,2,,7,English ,female,Black,Bachelor or equivalent
42,25,1,2,,7,Sepedi,female,Black,Bachelor or equivalent
43,27,2,2,,7,Zulu,male,Black,Bachelor or equivalent
44,40,1,2,,7,Isizulu,female,Black,Bachelor or equivalent
45,22,1,2,,7,Tswana ,female,Black,Bachelor or equivalent
46,29,1,2,,7,Zulu,female,Black,Bachelor or equivalent
47,36,1,6,indian,7,english,female,Other (write in),Bachelor or equivalent
49,23,1,2,,7,English ,female,Black,Bachelor or equivalent
50,45,2,2,,6,Xhosa,male,Black,Short-cycle tertiary education
51,23,1,2,,4,English ,female,Black,Upper secondary education
52,33,1,2,,7,Isizulu ,female,Black,Bachelor or equivalent
53,25,1,2,,7,English,female,Black,Bachelor or equivalent
54,30,2,2,,7,Zulu,male,Black,Bachelor or equivalent
55,32,2,2,,5,english,male,Black,Post-secondary non-tertiary education
56,27,2,2,,6,English,male,Black,Short-cycle tertiary education
57,20,1,2,,4,IsiZulu ,female,Black,Upper secondary education
58,23,2,2,,5,English,male,Black,Post-secondary non-tertiary education
59,20,2,2,,6,Akan,male,Black,Short-cycle tertiary education
60,22,2,2,,5,XHOSA,male,Black,Post-secondary non-tertiary education
61,24,1,2,,7,English,female,Black,Bachelor or equivalent
62,45,2,3,,6,English,male,"South Asian Indian, Pakistani, etc.",Short-cycle tertiary education
63,58,2,1,,7,English,male,White,Bachelor or equivalent
64,26,1,2,,7,IsiZulu,female,Black,Bachelor or equivalent
65,36,1,2,,7,English,female,Black,Bachelor or equivalent
66,35,2,2,,6,Tsonga ,male,Black,Short-cycle tertiary education
67,26,1,2,,7,IsiZulu,female,Black,Bachelor or equivalent
68,28,2,2,,6,Zulu,male,Black,Short-cycle tertiary education
69,32,2,2,,6,Tswana,male,Black,Short-cycle tertiary education
70,24,1,2,,7,Xhosa ,female,Black,Bachelor or equivalent
71,28,1,2,,7,English,female,Black,Bachelor or equivalent
72,23 years old.,1,2,,5,English,female,Black,Post-secondary non-tertiary education
73,46,2,2,,4,English ,male,Black,Upper secondary education
74,31,2,2,,7,Zulu,male,Black,Bachelor or equivalent
75,30,1,2,,7,English ,female,Black,Bachelor or equivalent
76,25,1,2,,7,Setswana,female,Black,Bachelor or equivalent
77,26,1,2,,7,English,female,Black,Bachelor or equivalent
78,28,1,2,,7,English ,female,Black,Bachelor or equivalent
79,36,1,2,,7,english,female,Black,Bachelor or equivalent
80,25,1,3,,4,English,female,"South Asian Indian, Pakistani, etc.",Upper secondary education
81,30,1,2,,8,Zulu,female,Black,Master or equivalent
82,21,2,2,,7,siswati,male,Black,Bachelor or equivalent
83,49,1,3,,7,English,female,"South Asian Indian, Pakistani, etc.",Bachelor or equivalent
84,47,2,6,Coloured,4,English,male,Other (write in),Upper secondary education
85,20,2,2,,4,English,male,Black,Upper secondary education
86,43,2,1,,4,Afrikaans,male,White,Upper secondary education
87,33,1,2,,5,Shona,female,Black,Post-secondary non-tertiary education
88,22,2,2,,7,English,male,Black,Bachelor or equivalent
89,19,1,2,,6,French ,female,Black,Short-cycle tertiary education
90,20,1,2,,4,Shona,female,Black,Upper secondary education
91,19,1,2,,6,Tshivenda,female,Black,Short-cycle tertiary education
92,47,1,2,,7,Setswana,female,Black,Bachelor or equivalent
94,31,1,2,,7,Isixhosa ,female,Black,Bachelor or equivalent
95,46,2,6,Coloured ,7,English,male,Other (write in),Bachelor or equivalent
96,24,1,2,,7,IsiXhosa ,female,Black,Bachelor or equivalent
98,30,1,2,,7,Setswana,female,Black,Bachelor or equivalent
99,30,2,6,Mixed,4,English,male,Other (write in),Upper secondary education
100,19,1,2,,4,English,female,Black,Upper secondary education
101,30,2,2,,7,English,male,Black,Bachelor or equivalent
102,27,1,2,,7,shona,female,Black,Bachelor or equivalent
103,28,1,1,,3,english,female,White,Lower secondary education
104,31,1,2,,7,English,female,Black,Bachelor or equivalent
105,33,1,2,,7,english,female,Black,Bachelor or equivalent
106,28,1,2,,7,English,female,Black,Bachelor or equivalent
107,21,1,2,,4,English,female,Black,Upper secondary education
108,29,1,2,,7,English,female,Black,Bachelor or equivalent
109,34,1,2,,8,Sesotho,female,Black,Master or equivalent
111,25,1,2,,5,English and ISIZULU ,female,Black,Post-secondary non-tertiary education
112,20,2,2,,4,English,male,Black,Upper secondary education
113,27,2,2,,5,English ,male,Black,Post-secondary non-tertiary education
114,21,1,2,,4,IsiZulu ,female,Black,Upper secondary education
115,25,2,2,,7,English ,male,Black,Bachelor or equivalent
116,28,1,2,,7,Zulu,female,Black,Bachelor or equivalent
117,34,2,2,,6,English ,male,Black,Short-cycle tertiary education
118,30,1,2,,8,english,female,Black,Master or equivalent
119,44,1,2,,7,IsiZulu,female,Black,Bachelor or equivalent
120,21,1,2,,4,English,female,Black,Upper secondary education
121,23,1,2,,7,IsiZulu,female,Black,Bachelor or equivalent
122,24,2,2,,7,Xitsonga,male,Black,Bachelor or equivalent
123,30,2,2,,7,IsiXhosa,male,Black,Bachelor or equivalent
124,23,2,2,,7,English,male,Black,Bachelor or equivalent
125,43,1,2,,7,Xhosa,female,Black,Bachelor or equivalent
126,21,1,2,,5,English,female,Black,Post-secondary non-tertiary education
127,29,2,2,,6,Sepedi ,male,Black,Short-cycle tertiary education
128,44,2,1,,4,Afrikaans,male,White,Upper secondary education
129,29,2,1,,7,English,male,White,Bachelor or equivalent
130,26,1,2,,7,IsiZulu,female,Black,Bachelor or equivalent
131,32,2,2,,7,Xhosa,male,Black,Bachelor or equivalent
132,25,1,3,,6,English,female,"South Asian Indian, Pakistani, etc.",Short-cycle tertiary education
133,48,2,2,,9,Zulu,male,Black,Doctoral or equivalent
134,28,1,2,,7,English ,female,Black,Bachelor or equivalent
135,23,2,2,,7,isiZulu,male,Black,Bachelor or equivalent
136,27,1,2,,7,English,female,Black,Bachelor or equivalent
137,27,1,6,Colored,7,English,female,Other (write in),Bachelor or equivalent
138,30,2,1,,6,Afrikaans,male,White,Short-cycle tertiary education
