,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Race_label,Highest education_label
0,3,1,1,,8,English,female,White,Master or equivalent
2,4,2,1,,7,English,male,White,Bachelor or equivalent
4,3,2,1,,7,English,male,White,Bachelor or equivalent
5,6,2,1,,7,English,male,White,Bachelor or equivalent
8,6,2,1,,7,ENGLISH,male,White,Bachelor or equivalent
9,3,2,1,,7,English,male,White,Bachelor or equivalent
10,4,2,1,,7,English,male,White,Bachelor or equivalent
13,4,1,1,,7,English,female,White,Bachelor or equivalent
18,4,2,1,,7,English,male,White,Bachelor or equivalent
19,3,2,1,,7,ENGLISH,male,White,Bachelor or equivalent
21,3,2,1,,4,ENGLISH,male,White,Upper secondary education
24,4,2,1,,2,ENGLISH,male,White,Primary education
25,3,1,1,,7,ENGLISH,female,White,Bachelor or equivalent
26,5,2,1,,7,English,male,White,Bachelor or equivalent
27,5,1,1,,8,English,female,White,Master or equivalent
29,3,2,1,,4,ENGLISH,male,White,Upper secondary education
30,3,2,1,,7,English,male,White,Bachelor or equivalent
32,5,1,1,,8,english,female,White,Master or equivalent
33,4,2,1,,4,ENGLISH,male,White,Upper secondary education
34,6,1,1,,7,english,female,White,Bachelor or equivalent
35,3,1,1,,7,EN,female,White,Bachelor or equivalent
36,4,2,1,,7,english,male,White,Bachelor or equivalent
37,5,1,1,,8,english,female,White,Master or equivalent
38,4,1,2,,7,English,female,Black,Bachelor or equivalent
39,3,2,1,,4,ENGLISH,male,White,Upper secondary education
40,3,1,1,,8,English,female,White,Master or equivalent
41,2,1,1,,7,English,female,White,Bachelor or equivalent
42,4,2,1,,4,ENGLISH,male,White,Upper secondary education
43,4,2,1,,2,ENGLISH,male,White,Primary education
46,4,2,1,,7,ENGLISH,male,White,Bachelor or equivalent
47,4,2,2,,7,English,male,Black,Bachelor or equivalent
48,4,1,2,,7,English,female,Black,Bachelor or equivalent
49,3,2,1,,4,ENGLISH,male,White,Upper secondary education
51,4,2,1,,4,ENGLISH,male,White,Upper secondary education
53,4,2,2,,8,English,male,Black,Master or equivalent
56,4,2,2,,7,English,male,Black,Bachelor or equivalent
58,3,1,1,,7,english,female,White,Bachelor or equivalent
59,3,2,1,,8,English,male,White,Master or equivalent
60,4,2,1,,4,English,male,White,Upper secondary education
61,4,2,2,,7,ENGLISH,male,Black,Bachelor or equivalent
62,3,2,1,,4,ENGLISH,male,White,Upper secondary education
63,4,1,1,,7,English,female,White,Bachelor or equivalent
64,5,1,1,,8,english,female,White,Master or equivalent
66,4,1,2,,7,English,female,Black,Bachelor or equivalent
69,3,2,1,,8,English,male,White,Master or equivalent
70,4,2,1,,7,English,male,White,Bachelor or equivalent
71,5,2,1,,7,englsh,male,White,Bachelor or equivalent
72,5,2,1,,8,ENGLISH,male,White,Master or equivalent
76,3,1,1,,7,ENGLISH,female,White,Bachelor or equivalent
77,3,2,1,,4,ENGLISH,male,White,Upper secondary education
78,4,2,1,,4,English,male,White,Upper secondary education
79,4,2,1,,2,ENGLISH,male,White,Primary education
80,4,1,2,,7,English,female,Black,Bachelor or equivalent
81,5,1,1,,8,english,female,White,Master or equivalent
82,3,2,1,,7,ENGLISH,male,White,Bachelor or equivalent
84,2,2,1,,7,english,male,White,Bachelor or equivalent
86,4,1,2,,8,English,female,Black,Master or equivalent
87,4,1,2,,7,English,female,Black,Bachelor or equivalent
88,4,2,2,,7,English,male,Black,Bachelor or equivalent
89,3,2,1,,8,ENGLISH,male,White,Master or equivalent
92,4,2,2,,7,English,male,Black,Bachelor or equivalent
93,3,1,1,,7,ENGLISH,female,White,Bachelor or equivalent
94,3,2,1,,7,English,male,White,Bachelor or equivalent
95,4,1,1,,7,English,female,White,Bachelor or equivalent
96,5,2,1,,7,English,male,White,Bachelor or equivalent
97,3,2,1,,4,English,male,White,Upper secondary education
98,4,2,1,,5,english,male,White,Post-secondary non-tertiary education
99,3,2,1,,7,English,male,White,Bachelor or equivalent
100,3,2,1,,7,English,male,White,Bachelor or equivalent
101,3,1,3,,9,English,female,"South Asian Indian, Pakistani, etc.",Doctoral or equivalent
102,3,2,1,,5,English,male,White,Post-secondary non-tertiary education
103,4,2,2,,8,English,male,Black,Master or equivalent
104,3,2,1,,7,English,male,White,Bachelor or equivalent
106,4,1,1,,7,English,female,White,Bachelor or equivalent
107,3,1,6,Mixed White and Black African,8,English,female,Other (write in),Master or equivalent
108,4,2,1,,7,English,male,White,Bachelor or equivalent
109,3,2,1,,8,English,male,White,Master or equivalent
110,3,2,1,,7,English,male,White,Bachelor or equivalent
111,3,2,3,,7,English,male,"South Asian Indian, Pakistani, etc.",Bachelor or equivalent
112,2,2,1,,7,English,male,White,Bachelor or equivalent
113,3,2,1,,8,English,male,White,Master or equivalent
114,2,2,1,,5,English,male,White,Post-secondary non-tertiary education
115,3,2,1,,7,English,male,White,Bachelor or equivalent
116,3,2,3,,7,English,male,"South Asian Indian, Pakistani, etc.",Bachelor or equivalent
117,3,1,3,,6,English,female,"South Asian Indian, Pakistani, etc.",Short-cycle tertiary education
118,4,1,1,,7,English,female,White,Bachelor or equivalent
119,3,2,1,,8,English,male,White,Master or equivalent
120,3,1,1,,6,English,female,White,Short-cycle tertiary education
121,4,2,1,,8,English,male,White,Master or equivalent
122,6,2,1,,6,English,male,White,Short-cycle tertiary education
123,4,2,1,,6,English,male,White,Short-cycle tertiary education
124,2,2,1,,6,English,male,White,Short-cycle tertiary education
125,5,1,1,,7,English,female,White,Bachelor or equivalent
126,7,1,1,,8,English,female,White,Master or equivalent
127,4,2,2,,8,English,male,Black,Master or equivalent
128,3,2,3,,8,English,male,"South Asian Indian, Pakistani, etc.",Master or equivalent
129,4,2,1,,7,English,male,White,Bachelor or equivalent
130,4,1,2,,7,English,female,Black,Bachelor or equivalent
131,2,1,1,,5,English,female,White,Post-secondary non-tertiary education
132,2,2,1,,4,English,male,White,Upper secondary education
133,4,2,1,,5,English ,male,White,Post-secondary non-tertiary education
134,4,2,1,,6,English,male,White,Short-cycle tertiary education
135,4,2,1,,7,English,male,White,Bachelor or equivalent
136,4,2,1,,4,English,male,White,Upper secondary education
137,3,1,3,,8,English ,female,"South Asian Indian, Pakistani, etc.",Master or equivalent
138,3,1,4,,9,English,female,"East Asian Chinese, Japanese, etc.",Doctoral or equivalent
139,2,2,1,,7,English,male,White,Bachelor or equivalent
140,4,2,1,,7,English,male,White,Bachelor or equivalent
141,4,2,1,,7,English,male,White,Bachelor or equivalent
142,6,1,1,,4,English,female,White,Upper secondary education
143,4,1,1,,7,english,female,White,Bachelor or equivalent
144,4,1,1,,8,English,female,White,Master or equivalent
145,3,1,1,,5,English,female,White,Post-secondary non-tertiary education
146,3,2,1,,5,English,male,White,Post-secondary non-tertiary education
147,4,2,1,,7,English,male,White,Bachelor or equivalent
148,3,1,1,,8,English,female,White,Master or equivalent
149,3,1,1,,8,English,female,White,Master or equivalent
150,4,2,1,,7,English,male,White,Bachelor or equivalent
151,3,1,6,mixed,7,english,female,Other (write in),Bachelor or equivalent
152,5,1,1,,8,English,female,White,Master or equivalent
153,4,2,1,,6,english,male,White,Short-cycle tertiary education
154,3,2,1,,4,English,male,White,Upper secondary education
155,4,1,1,,6,English,female,White,Short-cycle tertiary education
156,3,1,1,,7,English,female,White,Bachelor or equivalent
157,3,1,1,,7,English,female,White,Bachelor or equivalent
158,5,2,1,,8,English,male,White,Master or equivalent
159,5,1,1,,7,English,female,White,Bachelor or equivalent
160,4,2,2,,7,English,male,Black,Bachelor or equivalent
161,4,1,1,,7,English,female,White,Bachelor or equivalent
162,3,2,1,,8,English,male,White,Master or equivalent
163,3,2,1,,7,English ,male,White,Bachelor or equivalent
164,2,1,1,,5,English,female,White,Post-secondary non-tertiary education
165,3,1,1,,7,english,female,White,Bachelor or equivalent
166,2,2,1,,8,English,male,White,Master or equivalent
167,2,2,1,,5,English,male,White,Post-secondary non-tertiary education
168,3,2,1,,8,English,male,White,Master or equivalent
169,5,1,2,,8,English,female,Black,Master or equivalent
170,3,2,1,,4,English,male,White,Upper secondary education
171,3,1,1,,7,English,female,White,Bachelor or equivalent
172,3,1,1,,7,English,female,White,Bachelor or equivalent
173,3,2,4,,7,English,male,"East Asian Chinese, Japanese, etc.",Bachelor or equivalent
174,3,2,1,,7,British English,male,White,Bachelor or equivalent
175,5,2,1,,8,English,male,White,Master or equivalent
176,3,1,1,,7,English,female,White,Bachelor or equivalent
177,3,2,1,,7,English,male,White,Bachelor or equivalent
178,5,2,1,,8,English,male,White,Master or equivalent
179,4,1,1,,8,English,female,White,Master or equivalent
180,4,1,1,,7,English,female,White,Bachelor or equivalent
181,2,2,1,,7,English,male,White,Bachelor or equivalent
182,3,1,3,,6,English,female,"South Asian Indian, Pakistani, etc.",Short-cycle tertiary education
183,2,1,2,,7,English,female,Black,Bachelor or equivalent
184,2,2,1,,7,English,male,White,Bachelor or equivalent
185,3,2,6,"mixed race, if you study your own ancestry you will find out most of UK is actually mixed, just like american.",5,english and portuguese,male,Other (write in),Post-secondary non-tertiary education
186,5,2,1,,5,English,male,White,Post-secondary non-tertiary education
187,3,1,2,,8,English,female,Black,Master or equivalent
188,3,2,1,,7,English,male,White,Bachelor or equivalent
189,4,1,1,,4,english,female,White,Upper secondary education
190,4,1,1,,7,English,female,White,Bachelor or equivalent
191,3,2,1,,5,English,male,White,Post-secondary non-tertiary education
192,2,2,1,,5,English ,male,White,Post-secondary non-tertiary education
193,4,2,3,,8,English,male,"South Asian Indian, Pakistani, etc.",Master or equivalent
194,4,1,1,,4,English,female,White,Upper secondary education
195,4,2,1,,7,ENGLISH,male,White,Bachelor or equivalent
196,6,2,1,,6,English,male,White,Short-cycle tertiary education
197,4,2,1,,8,English ,male,White,Master or equivalent
199,3,1,1,,5,English,female,White,Post-secondary non-tertiary education
200,3,1,5,,5,English,female,"Arabic, Central Asian",Post-secondary non-tertiary education
201,4,2,1,,7,English,male,White,Bachelor or equivalent
202,4,2,2,,7,English,male,Black,Bachelor or equivalent
204,4,1,1,,7,English,female,White,Bachelor or equivalent
205,4,1,3,,7,Bengali/English,female,"South Asian Indian, Pakistani, etc.",Bachelor or equivalent
206,4,1,3,,7,English/Bengali,female,"South Asian Indian, Pakistani, etc.",Bachelor or equivalent
