,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label
0,49,Female,White,,Short-cycle tertiary education,english,Female
1,41,Male,White,,Bachelor or equivalent,English,Male
2,68,Male,"East Asian Chinese, Japanese, etc.",,Master or equivalent,Chinese,Male
3,38,Female,White,,Primary education,English ,Female
4,41,Male,"East Asian Chinese, Japanese, etc.",,Bachelor or equivalent,English,Male
5,68,Female,White,,Bachelor or equivalent,English,Female
6,21,Female,White,,Bachelor or equivalent,English,Female
7,53,Female,White,,Bachelor or equivalent,English,Female
8,59,Female,White,,Short-cycle tertiary education,English,Female
9,38,Male,White,,Bachelor or equivalent,English,Male
11,69,Female,White,,Master or equivalent,english,Female
12,28,Female,White,,Master or equivalent,English,Female
13,37,Male,White,,Bachelor or equivalent,English,Male
14,50,Female,White,,Upper secondary education,English,Female
15,49,Female,Black,,Bachelor or equivalent,English,Female
16,31,Female,White,,Bachelor or equivalent,english,Female
17,52,Male,Black,,Short-cycle tertiary education,English,Male
19,26,Female,White,,Upper secondary education,english,Female
20,44,Female,White,,Short-cycle tertiary education,english,Female
21,46,Female,White,,Upper secondary education,English,Female
22,41,Male,White,,Short-cycle tertiary education,english,Male
24,31,Male,"South Asian Indian, Pakistani, etc.",,Doctoral or equivalent,English,Male
26,46,Male,White,,Bachelor or equivalent,English,Male
27,36,Female,White,,Bachelor or equivalent,English,Female
28,63,Female,White,,Bachelor or equivalent,English,Female
29,35,Female,White,,Bachelor or equivalent,English,Female
30,63,Female,White,,Short-cycle tertiary education,english,Female
31,66,Female,White,,Doctoral or equivalent,English,Female
32,59,Female,White,,Short-cycle tertiary education,English,Female
33,37,Female,"Arabic, Central Asian",,Bachelor or equivalent,english,Female
34,59,Female,White,,Short-cycle tertiary education,English,Female
36,4,Male,White,,Lower secondary education,American English,Male
37,36,Male,White,,Upper secondary education,English,Male
38,44,Female,White,,Post-secondary non-tertiary education,English,Female
40,21,Female,Black,,Upper secondary education,english,Female
41,35,Male,White,,Short-cycle tertiary education,Portuguese ,Male
42,43,Female,White,,Bachelor or equivalent,English,Female
43,26,Female,White,,Bachelor or equivalent,Bilingual: American Sign Language (ASL) & English,Female
44,41,Male,White,,Short-cycle tertiary education,English ,Male
45,49,Female,White,,Master or equivalent,English,Female
46,35,Male,Black,,Master or equivalent,English,Male
47,22,Female,White,,Bachelor or equivalent,English,Female
48,40,Female,White,,Bachelor or equivalent,English,Female
49,35,Male,White,,Bachelor or equivalent,English,Male
50,50,Female,White,,Post-secondary non-tertiary education,English,Female
51,56,Female,White,,Upper secondary education,english,Female
52,40,Female,"East Asian Chinese, Japanese, etc.",,Short-cycle tertiary education,korean,Female
53,33,Female,White,,Short-cycle tertiary education,English,Female
54,26,Female,White,,Upper secondary education,English,Female
55,56,Male,Black,,Short-cycle tertiary education,English,Male
56,22,Female,White,,Bachelor or equivalent,English,Female
57,28,Female,White,,Bachelor or equivalent,english,Female
58,27,Female,"East Asian Chinese, Japanese, etc.",,Bachelor or equivalent,English,Female
59,34,Female,White,,Bachelor or equivalent,English,Female
61,56,Female,White,,Upper secondary education,English,Female
62,34,Male,Other (write in),Other,Don't know/No answer,American English,Male
63,48,Female,"South Asian Indian, Pakistani, etc.",,Bachelor or equivalent,bengali,Female
64,28,Female,White,,Don't know/No answer,English,Female
65,21,Male,Other (write in),White and Black,Upper secondary education,English,Male
66,53,Female,White,,Bachelor or equivalent,English,Female
67,62,Male,White,,Don't know/No answer,english,Male
68,60,Male,White,,Master or equivalent,English,Male
70,32,Male,"East Asian Chinese, Japanese, etc.",,Bachelor or equivalent,English ,Male
72,52,Female,White,,Short-cycle tertiary education,English,Female
73,64,Female,White,,Short-cycle tertiary education,English,Female
74,38,Female,White,,Short-cycle tertiary education,English,Female
75,26,Female,White,,Upper secondary education,English,Female
76,64,Female,Black,,Short-cycle tertiary education,English,Female
77,32,Female,White,,Bachelor or equivalent,ENGLISH,Female
78,67,Female,White,,Bachelor or equivalent,English,Female
79,48,Female,White,,Bachelor or equivalent,English,Female
80,33,Male,White,,Master or equivalent,English,Male
81,24,Female,Black,,Master or equivalent,English,Female
82,33,Male,White,,Doctoral or equivalent,English,Male
83,49,Female,White,,Lower secondary education,English,Female
84,27,Female,White,,Short-cycle tertiary education,English,Female
85,42,Female,White,,Upper secondary education,English,Female
86,34,Male,White,,Primary education,English,Male
87,61,Female,White,,Lower secondary education,English,Female
88,27,Female,White,,Bachelor or equivalent,english,Female
89,36,Female,White,,Short-cycle tertiary education,English,Female
