,Australia,Brazil,Chile,CHN,Egypt,France,Germany,Hong Kong,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South Africa,Spain,United Kingdom,United States
Australia,0.0,0.29514764801899224,0.36498432853814194,0.23350232902914073,0.9599582979380649,0.8015326868939685,0.5192203363558862,0.06397712395784368,0.6226349525059854,1.6553604305339182,0.44530154277700773,0.5878182530356465,0.223481344434165,0.9957711114047829,0.4063768115942144,0.2644632968068752,0.4487577639751546,0.2250036597862633,0.46014492753623043
Brazil,0.29514764801899224,0.0,0.6601319765571283,0.5286499770481271,0.6648106499190694,1.096680334912956,0.2240726883368935,0.2311705240611659,0.9177826005249758,1.3602127825149253,0.7404491907959952,0.8829659010546412,0.07166630358481191,0.70062346338579,0.7015244596131961,0.030684351212086857,0.7439054119941526,0.07014398823275383,0.16499727951724308
Chile,0.36498432853813706,0.6601319765571283,0.0,0.13148199950902362,1.3249426264761976,0.43654835835582,0.8842046648940196,0.42896145249595874,0.25765062396785093,2.020344759072051,0.08031721423887454,0.22283392449752012,0.5884656729722993,1.3607554399429158,0.04139248305608529,0.6294476253450128,0.08377343543704828,0.5899879883244026,0.8251292560743635
CHN,0.23350232902913312,0.5286499770481271,0.13148199950902362,0.0,1.1934606269671935,0.5680303578648417,0.7527226653850161,0.29747945298696915,0.38913262347685174,1.888862759563049,0.21179921374788122,0.3543159240065294,0.45698367346329843,1.2292734404339136,0.1728744825650819,0.49796562583600956,0.21525543494604932,0.4585059888154029,0.693647256565363
Egypt,0.9599582979380649,0.6648106499190694,1.324942626476199,1.193460626967192,0.0,1.7614909848320266,0.44073796158217493,0.8959811739802349,1.5825932504440476,0.6954021325958526,1.4052598407150645,1.547776550973711,0.736476953503898,0.0358128134667175,1.3663351095322653,0.6954950011311796,1.4087160619132209,0.7349546381517953,0.499813370401827
France,0.8015326868939663,1.096680334912956,0.43654835835582,0.5680303578648417,1.7614909848320275,0.0,1.3207530232498486,0.8655098108517933,0.1788977343879933,2.4568931174278816,0.3562311441169655,0.2137144338583292,1.0250140313281275,1.7973037982987479,0.39515587529976726,1.065995983700846,0.3527749229188073,1.0265363466802315,1.2616776144301927
Germany,0.5192203363558862,0.2240726883368935,0.8842046648940196,0.7527226653850161,0.44073796158217493,1.3207530232498486,0.0,0.455243212398052,1.1418552888618714,1.1361400941780317,0.9645218791328871,1.1070385893915322,0.2957389919217162,0.47655077504889753,0.925597147950089,0.254757039549005,0.9679781003310423,0.29421667656961725,0.05907540881966448
Hong Kong,0.06397712395784368,0.2311705240611659,0.42896145249595874,0.29747945298696915,0.8959811739802349,0.8655098108517933,0.455243212398052,0.0,0.6866120764638144,1.5913833065760892,0.5092786667348383,0.6517953769934726,0.1595042204763291,0.9317939874469522,0.47035393555202765,0.20048617284905765,0.5127348879329958,0.1610265358284351,0.39616780357840337
India,0.6226349525059827,0.9177826005249758,0.25765062396785093,0.38913262347685174,1.5825932504440487,0.1788977343879933,1.1418552888618714,0.6866120764638144,0.0,2.2779953830399036,0.1773334097289745,0.034816699470248576,0.8461162969401541,1.6184060639107685,0.21625814091178636,0.8870982493128645,0.17387718853082348,0.8476386122922572,1.082779880042216
Israel,1.6553604305339178,1.3602127825149246,2.0203447590720507,1.8888627595630485,0.6954021325958514,2.456893117427881,1.136140094178031,1.5913833065760885,2.277995383039903,0.0,2.1006619733109178,2.243178683569562,1.4318790860997526,0.659589319129132,2.06173724212812,1.3908971337270362,2.1041181945090743,1.430356770747648,1.195215502997684
