ISO_1	LangName_1	ISO_2	LangName_2	Similarity	Robustness
abe	Western Abnaki	afr	Afrikaans	0.177	Low
abe	Western Abnaki	arb	Standard Arabic	0.094	Low
abe	Western Abnaki	bam	Bambara	0.522	Low
abe	Western Abnaki	bel	Belarusian	0.194	Low
abe	Western Abnaki	ben	Bengali	0.107	Low
abe	Western Abnaki	bul	Bulgarian	0.119	Low
abe	Western Abnaki	cat	Catalan	0.067	Low
abe	Western Abnaki	ces	Czech	0.092	Low
abe	Western Abnaki	cym	Welsh	0.167	Low
abe	Western Abnaki	dan	Danish	0.120	Low
abe	Western Abnaki	deu	German	0.074	Low
abe	Western Abnaki	ell	Modern Greek	0.061	Low
abe	Western Abnaki	eng	English	0.096	Low
abe	Western Abnaki	epo	Esperanto	0.104	Low
abe	Western Abnaki	eus	Basque	0.090	Low
abe	Western Abnaki	fin	Finnish	0.074	Low
abe	Western Abnaki	fra	French	0.119	Low
abe	Western Abnaki	gla	Scottish Gaelic	0.103	Low
abe	Western Abnaki	gle	Irish	0.222	Low
abe	Western Abnaki	glg	Galician	0.096	Low
abe	Western Abnaki	guj	Gujarati	0.087	Low
abe	Western Abnaki	hat	Haitian	0.382	Low
abe	Western Abnaki	heb	Hebrew	0.083	Low
abe	Western Abnaki	hin	Hindi	0.079	Low
abe	Western Abnaki	hrv	Croatian	0.191	Low
abe	Western Abnaki	hun	Hungarian	0.138	Low
abe	Western Abnaki	hye	Armenian	0.161	Low
abe	Western Abnaki	ind	Indonesian	0.049	Low
abe	Western Abnaki	isl	Icelandic	0.088	Low
abe	Western Abnaki	ita	Italian	0.077	Low
abe	Western Abnaki	jpn	Japanese	0.084	Low
abe	Western Abnaki	kan	Kannada	0.190	Low
abe	Western Abnaki	kas	Kashmiri	0.136	Low
abe	Western Abnaki	kat	Georgian	0.166	Low
abe	Western Abnaki	kaz	Kazakh	0.146	Low
abe	Western Abnaki	kmr	Northern Kurdish	0.437	Low
abe	Western Abnaki	kok	Konkani	0.246	Low
abe	Western Abnaki	kor	Korean	0.113	Low
abe	Western Abnaki	lim	Limburgan	1.276	Low
abe	Western Abnaki	lit	Lithuanian	0.122	Low
abe	Western Abnaki	mal	Malayalam	0.108	Low
abe	Western Abnaki	mhr	Eastern Mari	0.258	Low
abe	Western Abnaki	mkd	Macedonian	0.154	Low
abe	Western Abnaki	mlt	Maltese	0.298	Low
