"","V1","V2","V3","V4","V5","R2","F"
"Valence.Evaluation",0.639939839584818,-0.577100922898186,NA,NA,NA,0.0459002439963365,3.75245775841127
"Equality",0.381303456095318,0.681362369142262,NA,NA,NA,0.0343862081998523,2.77763663108863
"Activity.Intensity",1.11523014979558,0.558421951033733,NA,NA,NA,0.102822459738851,8.93931412649483
"Socioemotional",1.82826300190593,1.14633224481174,NA,NA,NA,0.301222621093627,33.6235332661663
"Formality.and.Regulation",-1.50421636109272,-0.882502637810319,NA,NA,NA,0.198117386784997,19.2710951884505
"Intimacy",0.701508203014301,0.692610678915856,NA,NA,NA,0.0593134611453398,4.91816325443486
"Visibility",-1.58240651783982,-0.13612972079021,NA,NA,NA,0.175157190184279,16.5634720601203
"Communal.Sharing",1.69916764591329,0.603587142668227,NA,NA,NA,0.219889653904438,21.9858550657462
"Expected.Reciprocity",1.00129938800026,0.642377312291715,NA,NA,NA,0.0913187457084371,7.83868065024771
"Strategic",-2.07126660855756,-0.684578440055535,NA,NA,NA,0.322940418303303,37.2040412817638
"Concreteness",-1.07846725721856,-1.0241481376262,NA,NA,NA,0.135746544758372,12.2513024702838
"Uniqueness",1.31258955803345,-0.254719372952609,NA,NA,NA,0.12324293183935,10.9642100788949
"Love.Expression",1.84388469742111,0.377288981882427,NA,NA,NA,0.243952709043087,25.1681495760365
"Information.Exchange",-0.48575596330981,-1.17787537873828,NA,NA,NA,0.0889497585303412,7.6154759085234
"Money.Exchange",-1.92876752381741,-1.01649355882697,NA,NA,NA,0.312808033035375,35.5054013284402
"Goods.Exchange",-1.2435550846869,-0.975652033688373,NA,NA,NA,0.157342502702274,14.5642983657466
"Service.Exchange",-1.54960026621783,-0.97735285321335,NA,NA,NA,0.216981463992131,21.6145000572708
"Attachment",1.82004143442469,0.407693394138613,NA,NA,NA,0.239123434854093,24.513342601165
"Mating",0.791693616579735,0.243080702235259,NA,NA,NA,0.0466903305324381,3.82021277888034
"Conflict",-0.631177760373872,0.802651552563192,NA,NA,NA,0.0613958453005205,5.10212522442316
"Negotiation",-1.55188683167718,-0.801742949913609,NA,NA,NA,0.201140485562208,19.6391951154184
"Coercion",-0.736197484762824,0.342841061354425,NA,NA,NA,0.0438478549485703,3.57697538377067
"Importance.for.society",-0.913595691492809,-0.708732777265623,NA,NA,NA,0.0843232440657132,7.18289832574678
"Importance.for.individuals",1.28861509705352,0.342511538639024,NA,NA,NA,0.121646025544463,10.8024671925116
"Affiliation.Coalition",0.656702648730108,-0.588718245954131,NA,NA,NA,0.0481203296640882,3.94313045100999
"Occupational",-2.06004464606524,-0.663668622583111,NA,NA,NA,0.318241430500075,36.4100030267512
"Activeness",0.100342764576806,-0.295178141623686,NA,NA,NA,0.00525575414210646,0.412114797136377
"Endurance",2.17837499249543,-0.294271638020317,NA,NA,NA,0.334629460263932,39.2279133833311
"Synchronicity",-0.258485524270356,-0.74436988325499,NA,NA,NA,0.0336166496030073,2.7133110974619
"Spatial.Distance",-0.772969305680416,0.0534020206477938,NA,NA,NA,0.041712149715402,3.39516740907766
