,问卷呈现,对应的现代人际关系,古代人際關係名稱_文言,query
0,暧昧对象之间,暧昧对象之间,曖昧者之間,曖昧者之間
1,暗恋对象-暗恋者,暗恋对象-暗恋者,暗戀者與被暗戀者,暗戀者與被暗戀者之間
2,报案人-受害者,报案人-受害者,報案者與受害者,報案者與受害者之間
3,报案人-罪犯,报案人-罪犯,報案者與罪犯,報案者與罪犯之間
4,文选(诗集)的编者-作者,编辑-作者,文選之編者與作者,文選之編者與作者之間
5,表兄弟姐妹之间,表兄弟姐妹之间,表兄弟姐妹之間,表兄弟姐妹之間
6,厨子-食客,厨师-顾客,庖人與食客,庖人與食客之間
7,敌人之间,敌人之间,仇敵之間,仇敵之間
8,施恩者-受恩者,恩人-受助者,施恩者與受恩者,施恩者與受恩者之間
9,青梅竹马之间,青梅竹马之间,青梅竹馬之間,青梅竹馬之間
10,情敌之间,情敌之间,情敵之間,情敵之間
12,人神之间,人 - 上帝,人神之間,人神之間
13,泛泛之交之间,认识但不熟的人之间,泛泛之交之間,泛泛之交之間
14,店主-顾客,商家-客户,店主與顧客,店主與顧客之間
15,官场的上下级之间,上级-下级,官場之上下級,官場之上下級之間
16,生意合伙人之间,生意伙伴之间,買賣之夥伴,買賣之夥伴之間
17,生意竞争对手之间,生意竞争对手之间,買賣之競爭對手,買賣之競爭對手之間
19,师傅-学徒,师父-徒弟,師傅與學徒,師傅與學徒之間
20,掌柜-客人,收银员-顾客,掌櫃與客人,掌櫃與客人之間
21,首领-反贼,首领-反贼,首領與反賊,首領與反賊之間
22,叔侄,叔叔婶婶-侄子侄女,叔侄,叔侄之間
23,双胞胎之间,双胞胎之间,雙胞胎之間,雙胞胎之間
24,政治谈判中对立的双方,谈判中对立的双方,政治談判中對立之雙方,政治談判中對立之雙方之間
25,堂兄弟姐妹之间,堂兄弟姐妹之间,堂兄弟姐妹之間,堂兄弟姐妹之間
26,同父异母(或同母异父)的子女之间,同父异母(或同母异父)的子女之间,同父異母與同母異父之子女,同父異母與同母異父之子女之間
27,继子女之间,继子女之间,繼子女之間,繼子女之間
28,同僚之间,同事之间,同僚之間,同僚之間
29,同窗之间,同学之间,同窗之間,同窗之間
30,搭讪的人-被搭讪的人,搭讪的人-被搭讪的人,搭訕者與被搭訕者,搭訕者與被搭訕者之間
31,刑案中的施害者-受害者,施害者-受害者,刑案中之施害者與受害者,刑案中之施害者與受害者之間
32,刑案中的受害者-旁观（目击）者,受害者-旁观者,刑案中之受害者與旁觀者,刑案中之受害者與旁觀者之間
33,房东-租户,房东-租户,屋主與承租者,屋主與承租者之間
34,夫妻之间,夫妻之间,夫婦之間,夫婦之間
35,伙计-顾客,服务员-顾客,夥計與顧客,夥計與顧客之間
36,父母-子女,子女-父母,父母與子女,父母與子女之間
37,义父母-义子女,义父义母-义子义女,義父母與義子女,義父母與義子女之間
39,婆婆-儿媳,公公婆婆-媳妇,婆婆與兒媳,婆婆與兒媳之間
40,主人-家丁,雇主-保镖,主人與家丁,主人與家丁之間
42,店主-伙计,雇主-雇员,店主與夥計,店主與夥計之間
43,官员-行贿者,官员-行贿者,官員與行賄者,官員與行賄者之間
44,状元-榜眼-探花,冠军-亚军,狀元與榜眼與探花,狀元與榜眼與探花之間
45,绿林好汉的头领-属下(喽啰),黑帮老大-小弟,綠林好漢之首領與屬下,綠林好漢之首領與屬下之間
