,人的性别,被试编号,年龄,性别,民族,教育水平,成长环境,所在地区,中文是母语,Dynasty,Group
0,男性,12.0,23,女,汉族,2022级硕士,城市,北京市,是,元明清,G1
1,男性,22.0,22,女,汉族,2023级硕士,城市,江苏省,是,唐宋,G1
2,男性,32.0,23,女,汉族,2022硕士,城市,山东省,是,春秋战国（先秦）,G1
3,男性,38.0,30,男,汉族,2014级硕士,农村,山东省,是,春秋战国（先秦）,G1
4,男性,25.0,25,女,汉族,2021级硕士,城市,北京市,是,唐宋,G1
5,男性,34.0,25,女,汉族,2020硕士,城市,广东省,是,春秋战国（先秦）,G1
6,女性,26.0,29,男,汉族,2022级博士,农村,湖南省,是,元明清,G1
7,男性,46.0,23,女,汉族,2022级硕士,城市,河北省,是,唐宋,G1
8,男性,48.0,26,女,汉族,2022级硕士,农村,内蒙古自治区,是,秦汉,G1
9,男性,42.0,21,女,汉族,2020级本科,城市,广东省,是,元明清,G2
10,男性,20.0,20,女,汉族,2023级硕士,城市,福建省,是,唐宋,G2
11,男性,39.0,23,女,汉族,2022级硕士,城市,湖南省,是,唐宋,G2
12,男性,17.0,28,女,汉族,2022级博士,城市,北京市,是,春秋战国（先秦）,G2
13,女性,29.0,24,女,汉族,2023级硕士,城市,北京市,是,春秋战国（先秦）,G2
14,男性,41.0,27,女,汉族,2021级博士,城市,新疆维吾尔自治区,是,元明清,G2
15,男性,45.0,23,女,汉族,2022级硕士,城市,北京市,是,秦汉,G2
16,女性,37.0,30,女,汉族,2020级博士,城市,四川省,是,春秋战国（先秦）,G2
17,男性,16.0,26,女,汉族,2022级博士,城市,山东省,是,元明清,G3
18,男性,1.0,22,女,汉族,2023级硕士,城市,广东省,是,秦汉,G3
19,男性,10.0,25,男,汉族,2023级博士,城市,陕西省,是,唐宋,G3
20,男性,5.0,24,女,汉族,2022级硕士,农村,内蒙古自治区,是,春秋战国（先秦）,G3
21,男性,31.0,28,女,汉族,2021级博士,城市,福建省,是,唐宋,G3
22,男性,40.0,27,男,汉族,2021级博士,城市,河北省,是,春秋战国（先秦）,G3
23,男性,4.0,25,女,汉族,2022级硕士,城市,山东省,是,春秋战国（先秦）,G3
24,男性,47.0,23,男,汉族,2022级硕士,城市,北京市,是,元明清,G3
25,男性,8.0,24,女,汉族,2022级硕士,农村,河南省,是,唐宋,G3
26,男性,27.0,23,女,汉族,2022级硕士,城市,北京市,是,元明清,G3
27,男性,7.0,24,女,汉族,2022级硕士,城市,江苏省,是,春秋战国（先秦）,G4
28,男性,18.0,27,女,汉族,23级博士,城市,吉林省,是,唐宋,G4
29,男性,11.0,22,女,汉族,2023级硕士,城市,北京市,是,唐宋,G4
30,男性,24.0,23,女,汉族,2022级硕士,城市,山东省,是,春秋战国（先秦）,G4
31,男性,30.0,26,女,汉族,2022级博士,城市,四川省,是,元明清,G4
32,男性,43.0,23,女,汉族,2022级硕士,城市,北京市,是,唐宋,G4
33,男性,36.0,23,女,汉族,2023级硕士,城市,北京市,是,元明清,G4
34,男性,13.0,22,男,汉族,2020级本科,农村,湖北省,是,元明清,G4
36,男性,33.0,22,女,汉族,23硕,城市,江西省,是,唐宋,G5
37,男性,23.0,24,女,汉族,2021级硕士,城市,广东省,是,春秋战国（先秦）,G5
38,男性,49.0,24,女,汉族,2021级硕士,城市,山西省,是,春秋战国（先秦）,G5
39,男性,21.0,27,男,汉族,2021级博士,农村,浙江省,是,秦汉,G5
40,男性,2.0,25,女,汉族,2023级博士,城市,江西省,是,元明清,G5
41,男性,14.0,27,男,汉族,2021级博士,农村,山西省,是,秦汉,G5
42,男性,44.0,24,女,汉族,22硕,城市,北京市,是,唐宋,G5
43,男性,28.0,24,女,汉族,2022级硕士,城市,湖北省,是,元明清,G5
44,男性,9.0,26,女,汉族,2023级博士,城市,广东省,是,元明清,G5
