"","FA1","FA2","FA3","FA4","FA5"
"Valence.Evaluation",0.18964667362801,0.390502304558938,0.13837826888967,0.83158540042889,-0.0601231406582458
"Equality",0.315130399913943,-0.122269529572506,-0.287184237319316,0.132851099797762,0.662153575412242
"Activity.Intensity",0.554866184224374,0.725694548020618,-0.247056741148981,0.14497778753845,0.0318497864551868
"Socioemotional",0.816862000657262,0.0207547102892071,-0.420533059699276,0.268878851113274,0.187024891128672
"Formality.and.Regulation",-0.814639112579186,0.125497407384807,0.418561124605248,-0.140570627930038,-0.226607461264415
"Intimacy",0.809915032839413,0.334965564130274,-0.0850201316494271,0.235807209781231,0.115451304905942
"Visibility",-0.719710842076861,-0.0522775398340295,-0.0947408413788234,-0.0408297014237774,0.0246033563627015
"Communal.Sharing",0.581861085650801,0.274196355860723,-0.587236505721864,0.360886103964509,0.210234052321156
"Expected.Reciprocity",0.275552806039462,0.487529708906018,0.015707695719186,0.417134062511616,0.602555757956788
"Strategic",-0.770918203473711,0.0537203459864738,0.540828214858248,-0.196700587952899,0.0281460596994645
"Concreteness",-0.312978488443597,0.12304142868076,0.800183452101213,-0.120108738301483,-0.0741582610103858
"Uniqueness",0.646070126788778,0.456899562975879,-0.154465696310817,-0.0183684494597083,0.0507649656394854
"Love.Expression",0.694250140335964,0.320441134860622,-0.364265405817808,0.452131493088019,0.0983373045586332
"Information.Exchange",-0.238112238789779,0.714992316351515,0.140189685872476,0.394587044585071,-0.0181214286206127
"Money.Exchange",-0.32472501543387,0.0594317086071207,0.839798173670403,-0.0162972455564178,-0.0435588098330016
"Goods.Exchange",0.104099169347771,0.0704154132122967,0.745310539980043,0.198609484108453,0.162098898173994
"Service.Exchange",-0.520218184801957,0.208791905820596,0.669962142204329,0.0889844355395633,-0.328203668600792
"Attachment",0.659187146622156,0.510135646120475,-0.276463046673165,0.411023007528131,0.0589913750348628
"Mating",0.736228220310375,0.14724918850475,0.0305484598404064,0.0861911972574414,0.119193033066008
"Conflict",-0.138973044850698,-0.0867265918482139,-0.0561043086159389,-0.942096928909757,0.0130917784179633
"Negotiation",-0.0247622819652394,0.301411198992569,0.451133614540966,0.0093138935255364,0.575214055389234
"Coercion",-0.17422825766907,0.0236608853112219,0.0251196130853238,-0.857067471453574,-0.21236066301108
"Importance.for.society",-0.351103510917246,0.498751580285197,-0.00918898106631556,0.118524639979512,-0.264483355651373
"Importance.for.individuals",0.455839291950218,0.697248661063955,-0.234696984122604,0.366936605755277,-0.0150520752594878
"Affiliation_Coalition",0.176930233091249,0.492266896728557,-0.250334802773281,0.686230092319945,0.157487631727715
"Occupational",-0.813063772733138,0.162468468063944,0.434589543559064,-0.0817566930443738,-0.236196542187016
"Activeness",0.269196614795849,0.812288333572938,0.120833638610815,0.095901787184844,0.11762671681765
"Endurance",0.565606231051176,0.437095564477627,-0.39763456299569,0.295969267469976,0.102105181537339
"Synchronicity",0.0127535852437553,0.618618508413087,0.192553129857831,0.0198878334220727,0.115227321794749
"Spatial.Distance",0.0981467331263886,0.624144143131949,0.182382191999487,0.0328183786672055,-0.00758075554753466
