,"Drug Manufacturer, Drug Dealer, Drug User","Sex Worker, Pimp, Client","Criminal, Cellmate, Prison Guard","Parent, Babysitter, Infant","Casino Owner, Gambler, Dealer","Lender, Debt Collector, Borrower","Cheater, Mistress, Spouse","King, Prime Minister, Public","Athlete, Coach, Referee","police officer, prosecutor, judge","ticket scalper, organizer, audience","parent, home tutor, child"
Valence Evaluation,47.44444444444444,58.75,46.375,75.75,48.6,30.0,27.3,61.857142857142854,73.6,75.8,55.8,89.75
Equality,13.333333333333334,42.125,24.0,54.166666666666664,26.0,31.22222222222222,51.7,31.571428571428573,51.6,60.6,53.9,48.5
Activity Intensity,34.0,39.5,39.375,69.75,28.8,39.22222222222222,41.6,43.0,52.3,52.3,31.7,86.0
Socioemotional,21.333333333333332,26.125,23.25,58.583333333333336,33.7,34.666666666666664,72.7,46.42857142857143,31.3,38.0,30.7,70.5
Formality and Regulation,38.111111111111114,37.375,80.75,52.583333333333336,65.9,47.77777777777778,24.7,79.42857142857143,80.7,86.4,48.5,67.25
Intimacy,16.444444444444443,40.625,16.375,65.33333333333333,28.9,18.77777777777778,47.9,34.57142857142857,52.8,47.2,25.8,64.5
Visibility,17.555555555555557,33.5,64.375,51.166666666666664,44.0,48.22222222222222,18.7,80.0,74.6,82.9,56.6,77.0
Communal Sharing,16.88888888888889,29.125,40.625,58.0,25.3,37.0,37.5,55.0,64.0,69.3,39.0,54.75
Expected Reciprocity,65.33333333333333,59.0,33.875,53.25,65.5,57.0,34.6,57.0,58.6,49.0,49.5,42.5
Strategic,85.55555555555556,74.25,58.75,44.5,79.9,83.66666666666667,52.6,58.857142857142854,53.2,40.7,75.8,57.25
Concreteness,83.77777777777777,71.375,50.5,63.916666666666664,71.1,80.44444444444444,50.9,44.714285714285715,49.0,33.2,66.2,63.875
Uniqueness,41.44444444444444,36.125,28.0,65.08333333333333,37.3,27.88888888888889,65.7,29.857142857142858,36.3,43.8,31.2,74.375
Love Expression,8.88888888888889,26.875,30.5,76.41666666666667,13.9,18.555555555555557,61.2,25.428571428571427,51.2,35.5,20.1,80.125
Information Exchange,59.0,51.5,46.375,71.41666666666667,59.3,51.333333333333336,36.9,51.142857142857146,72.8,73.1,70.1,83.25
Money Exchange,94.33333333333333,77.375,42.375,57.583333333333336,88.3,85.44444444444444,51.5,44.57142857142857,41.9,31.0,87.1,49.75
Goods Exchange,88.33333333333333,57.875,34.875,44.666666666666664,75.9,67.11111111111111,41.3,35.857142857142854,42.5,30.7,79.4,49.5
Service Exchange,75.66666666666667,71.375,49.875,65.91666666666667,70.2,59.44444444444444,36.5,52.857142857142854,45.4,42.2,66.5,60.125
Attachment,24.77777777777778,29.125,21.125,68.66666666666667,27.6,19.22222222222222,55.6,41.57142857142857,52.9,37.7,35.5,75.875
Mating,8.0,39.375,16.625,55.666666666666664,16.0,20.77777777777778,56.2,19.428571428571427,22.0,20.8,17.3,40.125
Conflict,55.666666666666664,55.0,52.125,29.25,60.0,72.55555555555556,85.8,48.42857142857143,28.3,36.7,52.4,22.5
Negotiation,35.22222222222222,52.875,34.0,50.666666666666664,52.5,61.333333333333336,37.1,58.857142857142854,59.1,55.2,65.1,73.25
Coercion,63.888888888888886,57.75,71.625,26.666666666666668,59.0,71.66666666666667,46.2,46.285714285714285,29.7,26.3,49.9,26.375
Importance for society,15.88888888888889,31.5,64.75,63.583333333333336,30.7,44.22222222222222,13.6,79.85714285714286,68.3,83.5,25.5,70.375
Importance for individuals,46.888888888888886,41.625,48.375,76.66666666666667,40.1,40.666666666666664,42.4,61.285714285714285,66.5,72.7,39.0,74.375
Affiliation Coalition,49.77777777777778,44.875,37.375,73.91666666666667,48.6,24.0,17.7,62.285714285714285,55.7,65.7,46.0,73.25
Occupational,64.55555555555556,58.625,80.125,49.666666666666664,68.9,66.88888888888889,17.1,69.28571428571429,82.7,83.2,50.4,64.375
Activeness,63.0,40.625,25.875,68.58333333333333,51.1,35.0,35.5,44.142857142857146,57.9,57.2,48.7,75.5
Endurance,27.0,34.5,58.625,62.0,31.9,31.77777777777778,35.3,78.71428571428571,48.8,65.1,22.7,72.5
Synchronicity,34.22222222222222,43.375,45.875,55.083333333333336,63.0,41.22222222222222,30.4,43.57142857142857,59.5,59.2,41.3,42.875
Spatial Distance,36.0,52.0,61.5,78.75,52.2,38.111111111111114,53.1,28.571428571428573,70.5,60.7,48.3,83.5
Morality,6.777777777777778,26.0,43.625,76.41666666666667,16.8,31.11111111111111,9.5,75.71428571428571,75.1,82.7,29.5,84.0
Trust,31.0,38.25,43.125,75.5,27.3,33.22222222222222,23.3,63.857142857142854,75.9,74.2,45.6,79.875
Generation Gap,38.0,30.0,39.75,61.416666666666664,39.3,36.0,23.3,64.71428571428571,46.3,47.0,34.3,79.375
