,"Father, mother, child","Husband, wife, in-law","Parents, firstborn, secondborn",Trio of friends,The three individuals in a love triangle,"Doctor, nurse, patient","Writer, editor, reader","Tourist, tour guide, native","Landlord, tenant, real estate agent","Lawyer, litigant, judge","Middleman, seller, buyer","Plaintiff, defendant, mediator","Therapist, patient's family, mental patient","employee, employer, client","supplier, retailer, consumer","Manager, employee, union representative","Teacher, student, parent","Volunteers, organizers, service recipients","Parents, children, grandparents","Director, screenwriter, actor","Lawyers, prosecutors, judges","Guests, moderators, audience","Drug Manufacturer, Drug Dealer, Drug User","Sex Worker, Pimp, Client","Criminal, Cellmate, Prison Guard","Parent, Babysitter, Infant","Casino Owner, Gambler, Dealer","Lender, Debt Collector, Borrower","Cheater, Mistress, Spouse","King, Prime Minister, Public","Athlete, Coach, Referee","police officer, prosecutor, judge","ticket scalper, organizer, audience","parent, home tutor, child"
Valence Evaluation,81.0909090909091,90.44444444444444,91.72727272727272,95.9,35.7,79.9090909090909,82.8,80.625,71.1,60.77777777777778,75.125,54.81818181818182,32.27272727272727,90.8,73.55555555555556,72.2,53.66666666666666,79.72727272727273,70.45454545454545,81.22222222222223,88.0,84.27272727272727,47.44444444444444,58.75,46.375,75.75,48.6,30.0,27.3,61.85714285714285,73.6,75.8,55.8,89.75
Equality,44.63636363636363,75.0,74.54545454545455,92.6,81.1,68.0909090909091,65.8,57.25,53.6,32.888888888888886,24.125,55.0,44.90909090909091,71.1,12.555555555555555,71.9,14.555555555555555,57.36363636363637,51.45454545454545,33.111111111111114,74.0,65.45454545454545,13.333333333333334,42.125,24.0,54.16666666666666,26.0,31.22222222222222,51.7,31.571428571428573,51.6,60.6,53.9,48.5
Activity Intensity,94.27272727272728,93.11111111111111,91.54545454545456,91.0,81.5,40.09090909090909,65.6,29.0,27.2,35.0,51.25,27.363636363636363,38.45454545454545,50.9,41.44444444444444,18.2,38.888888888888886,60.90909090909091,46.54545454545455,18.444444444444443,90.75,55.63636363636363,34.0,39.5,39.375,69.75,28.8,39.22222222222222,41.6,43.0,52.3,52.3,31.7,86.0
Socioemotional,88.27272727272727,83.88888888888889,82.54545454545455,88.4,86.2,37.45454545454545,49.9,20.25,18.0,31.77777777777778,26.375,17.636363636363637,19.727272727272727,46.2,11.77777777777778,16.2,21.33333333333333,57.0,33.63636363636363,17.444444444444443,94.41666666666669,59.45454545454545,21.33333333333333,26.125,23.25,58.583333333333336,33.7,34.666666666666664,72.7,46.42857142857143,31.3,38.0,30.7,70.5
Formality and Regulation,11.181818181818182,45.11111111111112,22.727272727272727,22.5,11.2,85.0909090909091,66.8,64.5,93.4,87.55555555555556,72.875,72.27272727272727,93.1818181818182,70.9,93.0,86.6,74.44444444444444,72.36363636363636,91.0,90.33333333333331,30.5,65.45454545454545,38.11111111111112,37.375,80.75,52.583333333333336,65.9,47.77777777777778,24.7,79.42857142857143,80.7,86.4,48.5,67.25
Intimacy,93.45454545454544,91.22222222222224,92.9090909090909,90.0,67.5,45.36363636363637,45.3,36.0,17.0,24.11111111111111,36.625,21.09090909090909,13.818181818181818,45.2,26.88888888888889,13.4,36.888888888888886,51.54545454545455,39.27272727272727,22.666666666666668,93.5,48.63636363636363,16.444444444444443,40.625,16.375,65.33333333333333,28.9,18.77777777777778,47.9,34.57142857142857,52.8,47.2,25.8,64.5
Visibility,40.45454545454545,57.11111111111112,52.0,39.9,9.1,76.63636363636364,73.2,86.5,78.0,87.66666666666667,75.125,58.0,87.18181818181819,40.5,87.66666666666667,80.5,74.77777777777777,82.81818181818181,85.81818181818181,93.44444444444444,42.833333333333336,88.9090909090909,17.555555555555557,33.5,64.375,51.16666666666666,44.0,48.22222222222222,18.7,80.0,74.6,82.9,56.6,77.0
Communal Sharing,91.72727272727272,89.55555555555556,90.1818181818182,91.7,73.5,36.54545454545455,28.8,28.875,13.2,34.0,35.875,18.363636363636363,17.545454545454547,31.4,11.555555555555555,6.7,31.55555555555556,44.36363636363637,47.0,14.333333333333334,90.91666666666669,68.27272727272727,16.88888888888889,29.125,40.625,58.0,25.3,37.0,37.5,55.0,64.0,69.3,39.0,54.75
Expected Reciprocity,12.272727272727272,26.11111111111111,23.818181818181817,36.8,24.6,57.45454545454545,63.5,67.75,93.0,59.66666666666666,79.375,81.9090909090909,46.36363636363637,62.8,93.0,68.3,68.88888888888889,68.45454545454545,63.0,68.33333333333333,33.916666666666664,38.45454545454545,65.33333333333333,59.0,33.875,53.25,65.5,57.0,34.6,57.0,58.6,49.0,49.5,42.5
Strategic,10.181818181818182,19.88888888888889,16.0,15.5,37.3,56.09090909090909,60.8,85.625,88.6,92.22222222222224,78.25,89.72727272727273,90.0909090909091,59.6,87.66666666666667,90.2,76.88888888888889,40.54545454545455,74.45454545454545,76.33333333333333,19.166666666666668,35.0,85.55555555555556,74.25,58.75,44.5,79.9,83.66666666666667,52.6,58.85714285714285,53.2,40.7,75.8,57.25
