"","Gemeinschaft","Gesellschaft"
"Trust",0.919819249908974,0.0587151708938482
"Affiliation.Coalition",0.860238628978426,0.10032759001522
"Valence.Evaluation",0.816066509042168,0.0900968284120154
"Information.Exchange",0.782758229946003,0.27037591251674
"Activeness",0.767703732995109,0.124880091098211
"Importance.for.individuals",0.745853236881168,-0.0593716089296193
"Activity.Intensity",0.707086496669083,-0.265452093143736
"Attachment",0.691365270501455,-0.403021869341419
"Spatial.Distance",0.670098701929713,0.0887736932501943
"Morality",0.669559894836058,0.0686107217625014
"Synchronicity",0.642962309490862,0.191047658050093
"Endurance",0.630882372599108,-0.321209189195234
"Love.Expression",0.603370464228157,-0.527476883068088
"Communal.Sharing",0.59753711604613,-0.515255817728449
"Conflict",-0.503212665437206,-0.0247031398775431
"Expected.Reciprocity",0.500787484650309,0.18308174552972
"Intimacy",0.492013650021766,-0.444665536542553
"Importance.for.society",0.436810390076548,0.394887360196884
"Coercion",-0.384252699863269,0.0728980386765113
"Occupational",0.161152510307259,0.895689600949461
"Formality.and.Regulation",-0.0827273527911022,0.803472038463342
"Service.Exchange",0.307055213834013,0.756936017568833
"Strategic",-0.221987394048859,0.698658163901385
"Socioemotional",0.448113246151717,-0.670702948476975
"Money.Exchange",0.136101683414434,0.648560068875012
"Concreteness",0.136765140107976,0.640466663398126
"Uniqueness",0.423845987557035,-0.438325368282882
"Negotiation",0.284616101040933,0.433439477747307
"Visibility",0.150958251162718,0.372262806298239
"Goods.Exchange",0.111518231423139,0.327620212760636
"Mating",0.29795450377075,-0.325923027079862
"Equality",0.258442745776887,-0.29023983558134
"Generation.Gap",0.145327064979589,0.200402217184224
