"","Activeness","Exchange","Valence","Formality"
"Importance.for.individuals",0.831274723012697,-0.0153435762446243,0.0171630641960444,0.183632188763493
"Endurance",0.79028043456931,-0.192930496452943,-0.0141521919076088,0.0383226970588672
"Attachment",0.781358364703907,-0.104789887767015,0.0391887380016434,-0.196078159548142
"Activity.Intensity",0.763168123286277,0.0301420389293212,0.0187921246057331,-0.180564410863434
"Love.Expression",0.746529562659672,-0.187323557149577,-0.00377571427615646,-0.266077039906145
"Uniqueness",0.73278138637984,-0.163973743930693,-0.264761217595266,-0.140218637967639
"Spatial.Distance",0.703944466988763,0.13924674098215,-0.00893083830295016,0.158734785347899
"Activeness",0.699485637614192,0.220920075211986,0.097407230373286,0.0822771278055963
"Trust",0.698316434435396,0.0494625549571629,0.425912914385075,0.152914654729801
"Affiliation.Coalition",0.632621505716217,0.155630861582197,0.361753365230296,0.0644650881856946
"Communal.Sharing",0.607127298444792,-0.204023324056918,0.183268145689471,-0.301452366769304
"Information.Exchange",0.591067154036728,0.288418255038112,0.230566804327912,0.139837105964057
"Synchronicity",0.577411344817691,0.232886402996073,0.0680165048434788,0.126667618931803
"Intimacy",0.567350959525641,-0.00893106755156703,-0.0191107405235222,-0.434256171050615
"Socioemotional",0.545088450987245,-0.248153768613411,0.0647284388434284,-0.459901518206178
"Importance.for.society",0.47976201688983,0.205233465022179,-0.0829475975370738,0.454021878061958
"Mating",0.474874207242185,0.0995740865718407,-0.242260030094125,-0.400256848228533
"Money.Exchange",-0.0283710096160172,0.794090099855953,-0.150410868078465,-0.0590112716383647
"Concreteness",-0.0961842296591544,0.697676572272739,-0.0156436740452369,-0.011054265682439
"Service.Exchange",0.0346404594544033,0.676652216052054,0.0705893488032828,0.186474992182265
"Negotiation",0.145422568010716,0.671679199586273,-0.0990928658581987,-0.169710223793352
"Strategic",-0.365314353953256,0.553477908364879,-0.12565419565917,0.176259668672602
"Occupational",-0.051693268586693,0.536965117138469,0.0386967783510661,0.530929633194088
"Goods.Exchange",-0.00681863796705408,0.530656271276866,-0.0905983690285678,-0.193679505094692
"Expected.Reciprocity",0.1378641910882,0.511189003627271,0.327012505326411,-0.397102985169044
"Coercion",0.130645854914531,0.140995376553963,-0.863529967475672,0.113399391121243
"Conflict",-0.0314584186590481,0.0727635142413326,-0.791835515787857,-0.00718458194455573
"Valence.Evaluation",0.418277213088221,0.204257585710769,0.577261503079334,-0.105618626784093
"Morality",0.453546650313888,-0.1079644847109,0.475309678751843,0.289692804669898
"Equality",0.0672468941870145,0.139279703679018,0.229598029948583,-0.610106371176416
"Formality.and.Regulation",-0.269795407520672,0.411026983547882,0.0311231607851578,0.500702660173464
"Generation.Gap",0.248449045528499,-0.0768294451941799,-0.068878947094928,0.468502364405125
"Visibility",-0.0358966934013588,0.121768204612225,0.217501161699092,0.312071262249457
