,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Qatar,Russia,Israel,Japan,China,Hong Kong
United States,0.0,0.31843366656181316,0.2679552201394853,0.46065171225124074,0.24228082879171428,0.3224903099319419,0.828190799272728,0.49769468552517215,0.7353230582539896,0.6877499545619759,0.5450688029964657,0.6905794668247818,0.9815294188153506,0.8549268974596601,0.8666602563865496,0.8213403679352428,0.7051241025521678,0.5107837115648853,0.5358171329847525
United Kingdom,0.31843366656181316,0.0,0.24248711305964285,0.6437390775772431,0.27766886753829634,0.4538722287164086,0.8531705573916624,0.7389857914736927,0.9189668111526118,0.8708616422830896,0.7188184749990779,0.8792610533851707,0.9732420048477152,0.8657366805212773,0.907028114227999,0.8692525524840292,0.76249590162833,0.5618718715152059,0.5893216439263027
Germany,0.2679552201394853,0.24248711305964285,0.0,0.42,0.11180339887498954,0.5215361924162119,0.8626123115281858,0.5459853477887479,0.708025423272357,0.649307323229917,0.5229722745997154,0.6618912297349164,0.9738583059151881,0.8416056083463324,0.8922443611477744,0.8683317338436964,0.7613146524269713,0.5472659317004852,0.5663038053907108
France,0.46065171225124074,0.6437390775772431,0.42,0.0,0.41218927691049884,0.7321202087089249,0.9496841580230765,0.29240383034426876,0.3905124837953328,0.29495762407505227,0.3195309061734091,0.32140317359976406,1.0318914671611545,0.8726396736339691,0.9973464794142505,0.9433981132056604,0.8602325267042626,0.6950539547402057,0.6920260110718381
Australia,0.24228082879171428,0.27766886753829634,0.11180339887498954,0.41218927691049884,0.0,0.5160426338976267,0.8401190391843288,0.5479051012721089,0.731983606373804,0.6646051459325303,0.5560575509783137,0.6777905281132216,0.99,0.8603487664894977,0.8736131867136622,0.8609878047916822,0.7109852319141376,0.46861498055439926,0.5188448708429139
South Africa,0.3224903099319419,0.4538722287164086,0.5215361924162119,0.7321202087089249,0.5160426338976267,0.0,0.8510581648747634,0.6756478372643547,0.9369631796394137,0.9157510578754468,0.7315052973150639,0.9086803618434812,1.012324058787501,0.9110982383914481,0.927523584605804,0.8885943956609224,0.7865112840894274,0.652916533716217,0.6594694837519018
India,0.828190799272728,0.8531705573916625,0.8626123115281858,0.9496841580230765,0.840119039184329,0.8510581648747634,0.0,1.0126203632161461,1.1476933388322859,1.101771301132862,1.0238163897887158,1.111215550647128,1.0521881960942159,0.9544631999192007,1.0707007051459339,1.0221056696839128,0.9621330469326994,0.8937561188601731,0.8916277250063503
Chile,0.49769468552517215,0.7389857914736927,0.5459853477887479,0.29240383034426876,0.5479051012721089,0.6756478372643547,1.0126203632161461,0.0,0.3036445290137798,0.2896549671592045,0.19999999999999982,0.27276363393971675,1.1543396380615196,0.997296345125159,1.0550829351287982,1.0279591431569641,0.9409038208021052,0.8229216244576394,0.7884161337770809
Mexico,0.7353230582539896,0.9189668111526119,0.708025423272357,0.3905124837953328,0.731983606373804,0.9369631796394137,1.1476933388322859,0.3036445290137798,0.0,0.11874342087037872,0.2336664289109584,0.08124038404636127,1.2782409788455384,1.1129240764760193,1.2051555916146264,1.1646029366269004,1.0981347822558032,1.0231324449942931,0.96031244915392
Spain,0.6877499545619759,0.8708616422830896,0.649307323229917,0.29495762407505227,0.6646051459325303,0.9157510578754468,1.101771301132862,0.2896549671592045,0.11874342087037872,0.0,0.24556058315617332,0.053851648071344134,1.214742771124817,1.0508567932882196,1.1442464769445435,1.1131936040060597,1.0437432634513144,0.9475758544834286,0.8988325761786785
Brazil,0.5450688029964657,0.7188184749990779,0.5229722745997154,0.3195309061734091,0.5560575509783137,0.7315052973150639,1.0238163897887158,0.19999999999999982,0.2336664289109584,0.24556058315617332,0.0,0.22538855339169306,1.1670903992407786,1.005087060905671,1.085080642164443,1.043216180856106,0.96317184344228,0.8777243302996676,0.8152300288875526
Portugal,0.6905794668247818,0.8792610533851707,0.6618912297349164,0.32140317359976406,0.6777905281132216,0.9086803618434812,1.111215550647128,0.27276363393971675,0.08124038404636127,0.053851648071344134,0.22538855339169306,0.0,1.2439051410778879,1.0785175010170212,1.1674759098157015,1.1254776763667949,1.0471389592599445,0.9605206921248495,0.9076342875850382
Egypt,0.9815294188153506,0.9732420048477152,0.9738583059151881,1.0318914671611545,0.99,1.012324058787501,1.0521881960942159,1.1543396380615196,1.2782409788455384,1.214742771124817,1.1670903992407786,1.2439051410778879,0.0,0.19000000000000006,1.048951857808546,1.009058967553433,1.1019074371289088,1.0265963179361204,1.0325211862233143
Qatar,0.8549268974596601,0.8657366805212773,0.8416056083463324,0.8726396736339691,0.8603487664894975,0.9110982383914481,0.9544631999192007,0.997296345125159,1.1129240764760193,1.0508567932882196,1.005087060905671,1.0785175010170212,0.19000000000000006,0.0,1.0439348638684312,0.938562730988185,1.0056341282991546,0.9290855719469548,0.9269304181005175
Russia,0.8666602563865496,0.907028114227999,0.8922443611477744,0.9973464794142505,0.8736131867136622,0.9275235846058039,1.0707007051459339,1.0550829351287982,1.2051555916146264,1.1442464769445435,1.085080642164443,1.1674759098157015,1.048951857808546,1.0439348638684312,0.0,1.072054103112338,1.0132620588969075,0.9349866309204641,0.9410632284814873
Israel,0.8213403679352427,0.8692525524840292,0.8683317338436964,0.9433981132056604,0.8609878047916822,0.8885943956609224,1.0221056696839128,1.0279591431569641,1.1646029366269004,1.1131936040060597,1.043216180856106,1.1254776763667949,1.009058967553433,0.938562730988185,1.072054103112338,0.0,0.9729337079164233,0.8902246907382427,0.8964931678490361
Japan,0.7051241025521677,0.7624959016283301,0.7613146524269713,0.8602325267042626,0.7109852319141376,0.7865112840894274,0.9621330469326994,0.9409038208021052,1.0981347822558032,1.0437432634513144,0.96317184344228,1.0471389592599447,1.1019074371289088,1.0056341282991543,1.0132620588969075,0.9729337079164233,0.0,0.6279331174575841,0.6453681120105021
China,0.5107837115648853,0.5618718715152059,0.5472659317004852,0.6950539547402057,0.46861498055439926,0.652916533716217,0.8937561188601731,0.8229216244576394,1.0231324449942931,0.9475758544834286,0.8777243302996676,0.9605206921248495,1.0265963179361204,0.9290855719469548,0.9349866309204641,0.8902246907382427,0.6279331174575841,0.0,0.24248711305964296
Hong Kong,0.5358171329847525,0.5893216439263027,0.5663038053907108,0.6920260110718381,0.5188448708429139,0.6594694837519018,0.8916277250063503,0.7884161337770809,0.96031244915392,0.8988325761786785,0.8152300288875526,0.9076342875850382,1.0325211862233143,0.9269304181005175,0.9410632284814873,0.896493167849036,0.6453681120105021,0.24248711305964296,0.0
