,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Qatar,Russia,Israel,Japan,China,Hong Kong
United States,0,0.698041201,0.698601961,0.708826005,0.705991387,0.678560436,0.95627445,0.629626215,0.608758628,0.632583976,0.617755294,0.629734814,0.810747802,0.823870361,0.774689198,0.837308824,0.979489267,0.946157217,0.946157217
United Kingdom,0.698041201,0,0.725976646,0.739445388,0.709563017,0.712824523,0.957279325,0.684050858,0.658649266,0.674703598,0.676448405,0.672994316,0.816533387,0.829380095,0.78025651,0.846799254,0.979872882,0.942671299,0.942671299
Germany,0.698601961,0.725976646,0,0.706105471,0.723195553,0.727176487,0.961531579,0.662276447,0.627526999,0.642091036,0.641184509,0.643350363,0.819284976,0.828859985,0.782697976,0.851911902,0.97892493,0.931993067,0.931993067
France,0.708826005,0.739445388,0.706105471,0,0.721969306,0.749273956,0.959322214,0.588767111,0.532520771,0.544333935,0.566642821,0.552104115,0.810597897,0.813236952,0.791843534,0.848120749,0.977354288,0.933191121,0.933191121
Australia,0.705991387,0.709563017,0.723195553,0.721969306,0,0.730398953,0.957586527,0.669189334,0.640768886,0.656461179,0.65723592,0.655920029,0.830003262,0.839745879,0.785049081,0.855885148,0.972355902,0.933945656,0.933945656
South Africa,0.678560436,0.712824523,0.727176487,0.749273956,0.730398953,0,0.949098408,0.670873582,0.659567595,0.682412326,0.664147973,0.67913866,0.81498003,0.829701364,0.793556988,0.848976374,0.98448652,0.957649291,0.957649291
India,0.95627445,0.957279325,0.961531579,0.959322214,0.957586527,0.949098408,0,0.957624853,0.95596385,0.957678437,0.9568277,0.956953704,0.930778265,0.92127043,0.964304566,0.961106837,0.918778539,0.940687835,0.940687835
Chile,0.629626215,0.684050858,0.662276447,0.588767111,0.669189334,0.670873582,0.957624853,0,0.424999297,0.460241705,0.451800376,0.462785542,0.809982777,0.8155756,0.767595649,0.837817729,0.983267367,0.948574185,0.948574185
Mexico,0.608758628,0.658649266,0.627526999,0.532520771,0.640768886,0.659567595,0.95596385,0.424999297,0,0.345994145,0.369963944,0.355176657,0.794731796,0.799486279,0.762712061,0.826268196,0.986270487,0.962429583,0.962429583
Spain,0.632583976,0.674703598,0.642091036,0.544333935,0.656461179,0.682412326,0.957678437,0.460241705,0.345994145,0,0.414839864,0.387817353,0.801094353,0.804587305,0.766703665,0.832113743,0.984382093,0.954421818,0.954421818
Brazil,0.617755294,0.676448405,0.641184509,0.566642821,0.65723592,0.664147973,0.9568277,0.451800376,0.369963944,0.414839864,0,0.418384939,0.805904984,0.810807586,0.774173498,0.834923267,0.985472918,0.962095857,0.962095857
Portugal,0.629734814,0.672994316,0.643350363,0.552104115,0.655920029,0.67913866,0.956953704,0.462785542,0.355176657,0.387817353,0.418384939,0,0.803908408,0.807746828,0.767240047,0.833200276,0.982763708,0.954648077,0.954648077
Egypt,0.810747802,0.816533387,0.819284976,0.810597897,0.830003262,0.81498003,0.930778265,0.809982777,0.794731796,0.801094353,0.805904984,0.803908408,0,0.471725941,0.823908508,0.762817442,0.992411852,0.975539207,0.975539207
Qatar,0.823870361,0.829380095,0.828859985,0.813236952,0.839745879,0.829701364,0.92127043,0.8155756,0.799486279,0.804587305,0.810807586,0.807746828,0.471725941,0,0.848141849,0.777462006,0.984031022,0.968842804,0.968842804
Russia,0.774689198,0.78025651,0.782697976,0.791843534,0.785049081,0.793556988,0.964304566,0.767595649,0.762712061,0.766703665,0.774173498,0.767240047,0.823908508,0.848141849,0,0.870656133,0.974427402,0.913993657,0.913993657
Israel,0.837308824,0.846799254,0.851911902,0.848120749,0.855885148,0.848976374,0.961106837,0.837817729,0.826268196,0.832113743,0.834923267,0.833200276,0.762817442,0.777462006,0.870656133,0,0.989162922,0.969784439,0.969784439
Japan,0.979489267,0.979872882,0.97892493,0.977354288,0.972355902,0.98448652,0.918778539,0.983267367,0.986270487,0.984382093,0.985472918,0.982763708,0.992411852,0.984031022,0.974427402,0.989162922,0,0.887620807,0.887620807
China,0.946157217,0.942671299,0.931993067,0.933191121,0.933945656,0.957649291,0.940687835,0.948574185,0.962429583,0.954421818,0.962095857,0.954648077,0.975539207,0.968842804,0.913993657,0.969784439,0.887620807,0,0
Hong Kong,0.946157217,0.942671299,0.931993067,0.933191121,0.933945656,0.957649291,0.940687835,0.948574185,0.962429583,0.954421818,0.962095857,0.954648077,0.975539207,0.968842804,0.913993657,0.969784439,0.887620807,0,0
