,cl_h3,cl_h4,cl_h5,cl_h6,cl_h7,cl_h8
Boss_x,0,0,0,3,3,1
Coach/leader,0,0,0,3,3,1
Healthcare,1,1,1,0,6,6
Police /soldier,0,3,3,1,1,0
Religion_x,2,2,2,2,2,2
Sports,0,0,0,3,3,1
Spouses,0,0,0,5,5,5
siblings,0,0,4,4,4,4
bare minimum relations,0,0,0,3,3,1
famiy,2,2,2,2,2,2
friendly like,0,0,4,4,4,4
negatie,0,0,0,3,3,1
outer relations,0,0,0,3,3,1
religious,0,0,0,3,3,1
school relations,0,0,0,3,3,1
work related,1,1,1,0,0,7
business_x,1,1,1,0,6,6
care,0,0,0,3,3,1
friendship_x,0,0,4,4,4,4
love,2,2,2,2,2,2
negative relationships_x,0,3,3,1,1,0
professional relationships,1,1,1,0,0,3
spiritual relationships,0,0,0,3,3,1
unhealthy relationships,0,0,0,3,3,1
Romantic_x,0,0,0,5,5,5
Friendship_x,0,0,4,4,4,4
Familial,2,2,2,2,2,2
Above Below,1,1,1,0,0,3
Opposites,0,3,3,1,1,0
Provider-Receiver,1,1,1,0,6,6
Mentor-Mentee,0,0,0,3,3,1
Boss-employee,1,1,1,0,0,3
Involved together,0,0,0,5,5,5
Work against,0,3,3,1,1,0
family like,2,2,2,2,2,2
rivals,0,3,3,1,1,0
service provider_x,1,1,1,0,6,6
stangers,0,0,0,3,3,1
work together,0,0,0,3,3,1
Close Non-Romantic Personal Relationships,0,0,4,4,4,4
Collaborators,0,0,0,3,3,1
Non-Familial Acquaintances,0,0,0,3,3,1
Non-Romantic Family,2,2,2,2,2,2
Opponents,0,3,3,1,1,0
Professional Caregivers,0,0,0,3,3,1
Professional Hierarchy,1,1,1,0,0,7
Romantic Partners_x,0,0,0,5,5,5
DISTANT RELATIONSHIPS,0,0,0,3,3,1
SERVICE,1,1,1,0,6,6
FAMILY,2,2,2,2,2,2
FRIENDS,0,0,4,4,4,4
COLLABORATIVE,0,0,0,3,3,1
ROMANTIC RELATIONSHIPS,0,0,0,5,5,5
HIERARCHICAL RELATIONSHIPS,1,1,1,0,0,7
OPPOSITIONAL ,0,3,3,1,1,0
Caretaker,0,0,0,3,3,1
worker vs boss,1,1,1,0,6,6
Forced Relationships,0,0,0,3,3,1
Enemies_x,0,3,3,1,1,0
companions,0,0,0,5,5,5
Mentor - Mentee,1,1,1,0,0,3
Peers_x,0,0,4,4,4,4
educational relationship,0,0,0,3,3,1
family relationship,2,2,2,2,2,2
law relationship,0,3,3,1,1,0
medical relationship,0,0,0,3,3,1
randomized,0,3,3,1,1,0
romatic relationship,0,0,0,5,5,5
rweligious relationship,0,0,0,3,3,1
work relationships,1,1,1,0,0,3
Co-workers,1,1,1,0,0,3
Family_x,2,2,2,2,2,2
Friends_x,0,0,4,4,4,4
Religious Relationships,0,0,0,3,3,1
Enemies_y,0,3,3,1,1,0
Neutral Relationships,1,1,1,0,6,6
Romantic Partners_y,0,0,0,5,5,5
Community_x,0,3,3,1,1,0
Family_y,2,2,2,2,2,2
Leaders/Directors,1,1,1,0,0,3
Medical,0,0,0,3,3,1
Workers,1,1,1,0,6,6
law/Military,0,3,3,1,1,0
Close Friends/Family,2,2,2,2,2,2
Equal (Negative),0,3,3,1,1,0
Equal (Positive),0,0,4,4,4,4
Equals (Neutral),0,0,0,3,3,1
Unequal (Negative),0,3,3,1,1,0
Unequal (Neutral),1,1,1,0,0,7
Unequal (Positive),0,0,0,3,3,1
Enemies_x,0,3,3,1,1,0
Family_x,2,2,2,2,2,2
Friends_y,0,0,4,4,4,4
Romantic_y,0,0,0,5,5,5
Sexual,0,0,0,3,3,1
Strangers_x,0,0,0,3,3,1
