"","Activeness","Formality","Exchange","Valence","Equality"
"Importance.for.individuals",0.771343209619467,0.146821328212154,-0.0961125652840263,-0.0218301469658485,0.0244043388732498
"Importance.for.society",0.69218058666558,-0.305216965391398,0.032009884980306,-0.159789468300669,-0.0731383963168254
"Activeness",0.651999947383316,0.0949524277564055,0.124148904119944,0.0538188067838645,0.112897417978093
"Trust",0.630689639641354,0.133685008330703,0.0472345589200212,0.436146773807691,-0.0126779679068197
"Spatial.Distance",0.611555478043936,0.175185161855982,0.122457952802519,0.0170144651295247,-0.051120366194216
"Synchronicity",0.607386305774752,-0.0321322601048131,0.0985963655055701,-0.00404380744888173,0.123603656847261
"Affiliation.Coalition",0.60428179307725,0.0603423224197846,0.0731669284145501,0.311032126371328,0.132055657696381
"Information.Exchange",0.598812230420043,-0.00558740592489401,0.200715557659878,0.198955144817094,0.0706113372112314
"Morality",0.592898560528489,-0.19155867343312,-0.220463815145282,0.387115833201136,0.0293189403101913
"Endurance",0.591079186004437,0.37515902185688,-0.170611937665999,0.00376328071774487,-0.0158710597349548
"Activity.Intensity",0.525293983448244,0.4120889030404,0.0031491896466588,-0.00186363419179879,0.190833820510211
"Formality.and.Regulation",0.180751782187272,-0.746901798407438,0.204680541558653,-0.0633946232120947,-0.0891015721955974
"Intimacy",0.146395913544347,0.689188937974603,0.116281551392301,0.0575765348365317,0.155271074164283
"Mating",0.0648092602872948,0.665701272322817,0.237033507277817,-0.140315555560542,0.0908028909664324
"Love.Expression",0.356869599349009,0.664811363203902,-0.0712076125102308,0.0660603464040657,0.0685385781798166
"Socioemotional",0.148623450722158,0.663167091777084,-0.156136002528709,0.0866412979309377,0.225308066096306
"Occupational",0.345415905302756,-0.663161591349118,0.346330262552726,-0.0265743064362483,-0.112128264136903
"Attachment",0.421345047703213,0.616503320414605,0.00764819117373876,0.117976888025489,0.0314516673667291
"Strategic",-0.018771472533858,-0.603444709526601,0.326488890458435,-0.252529915637589,0.135219572702068
"Uniqueness",0.391586846480091,0.592757233366017,-0.0678777299868043,-0.187746025462673,-0.0215332633156306
"Visibility",0.329250677514437,-0.586375105415299,-0.131390945267919,0.0474552814837222,0.124821922859588
"Communal.Sharing",0.341019689868249,0.460326419128911,-0.197750648485957,0.149271834158424,0.241883292053359
"Money.Exchange",-0.089921326878672,0.0339243036006165,0.873570997659337,-0.0458843630880073,-0.0328243050473591
"Service.Exchange",0.0711280731902746,-0.108348448724567,0.767930611443304,0.202142721624381,-0.19412175366402
"Concreteness",0.0193812422404002,-0.241038659052594,0.587833631367297,-0.0394774457199091,0.125848542798878
"Goods.Exchange",-0.124165365339142,0.13689588737804,0.583717873140303,-0.0191409319303209,0.0647599080393807
"Negotiation",0.153328247566975,-0.0605916719635776,0.530867094154674,-0.16007975436535,0.282083443697728
"Conflict",0.0477811850101509,-0.046535148108505,-0.0623519296263481,-0.948236497979988,0.0805169009334865
"Coercion",0.0638169769528959,0.110917953860302,0.143782642903505,-0.789112608591185,-0.172584357665296
"Valence.Evaluation",0.315457078294317,0.150765005754093,0.2162473522623,0.585408762430112,0.142800186444902
"Equality",-0.0450385714607878,0.0533090590354677,-0.0816631391246656,0.000624681711607067,0.865670359707123
"Expected.Reciprocity",0.139191270016219,-0.0626258576202543,0.304732031143349,0.161324147655244,0.585727424481273
"Generation.Gap",0.269274261226286,0.036277342668063,0.0778013948252797,0.0995135086433259,-0.549270581745722
