"","rel_loocv_df_avg"
"Between brothers-in-arms",0.375756403039685
"Guest and Host",0.477941176470588
"Between alumni",0.499982409231635
"Victim and Witness",0.523079088094568
"Between church members",0.524433577258655
"Between religious followers",0.528831269349845
"Predecessor and Successor",0.5329475091472
"Student and Dorm Resident assistant",0.53738038277512
"Patient and Caretaker",0.543079791725303
"Director and Performer",0.543906557838446
"Between neighbors",0.547653391500141
"Between casual acquaintances",0.550186462144666
"Leader and Follower",0.560441880101323
"Religious leader and Congregant",0.56105755699409
"Between a person and their social media follower",0.57398677174219
"Between a person and their in-laws",0.576044891640867
"Between step-siblings",0.583820011258092
"Club Member and Club President",0.585790177314945
"Between cohabitants",0.586089220377146
"Between pen-friends",0.590733183225443
"Performer and Audience",0.592668167745567
"Between confidants",0.594286518435125
"Between companions",0.59692513368984
"Celebrity and Fans",0.60132282578103
"University student and Administrator",0.604471573318323
"Team Captain and Team Members",0.604964114832536
"Between distant relatives",0.605351111736561
"Athlete and Referee",0.61133197298058
"Police officer and Civilian",0.61354840979454
"Volunteer and Organizer",0.616028708133971
"Native and Tourist",0.616609203490008
"Between peers",0.617101745004222
"Psychologist and Client",0.619933858710949
"Between friends with benefits",0.620760624824092
"Between criminal and their accomplice",0.621728117084154
"Reader and Writer",0.621745707852519
"Intern and Employee",0.622836335491134
"Master and Servant",0.626231353785533
"Man Wife and Man Mistress",0.628834787503518
"Between sorority sisters",0.629450464396285
"Professor and Teaching Assistant",0.630963270475654
"Athletic trainer and Trainee",0.631631719673515
"Judge and Contestant",0.641693639178159
"Television host and Guest",0.643751759076836
"Parole officer and Parolee",0.647797635800732
"Therapist and Patient",0.648167041936392
"Representative and Citizen",0.64867717421897
"Between Facebook Friends",0.653250773993808
"Nurse and Patient",0.654798761609907
"Principal and Teacher",0.656293976920912
"Between playmates",0.660973121305939
"Coach and athlete",0.661729524345623
"Between second cousins",0.662116521249648
"Professor and Graduate student",0.663594145792288
"Landlord and Housekeeper",0.663752462707571
"Chief and Deputy",0.666267942583732
"Mentor and Mentee",0.667727976358007
"Union leader and union member",0.670349000844357
"Researcher and Research Subject",0.670683225443287
"Between fans of the same sports team",0.672072896144104
"Between Business Partners",0.674623557556994
"Politician and Supporter",0.675432732901773
"Between fraternity brothers",0.675784548269068
"Between frenemies",0.676224317478187
"Supervisor and Subordinate",0.679091612721644
"Boss and Secretary",0.680270194202083
"Ancestor and Descendant",0.680516464959189
"Reviewer and Writer",0.680885871094849
"Between romantic rivals",0.684632704756544
"Between classmates",0.686039966225725
"Defendant and Plaintiff",0.686620461581762
"Between sports rivals",0.687781452293836
"Teacher and Student",0.689259076836476
"Babysitter and Infant",0.689874753729243
"Between cousins",0.691334787503518
"Between diplomats",0.692443005910498
"Judge and Lawyer",0.696312974950746
"Between teammates in sports",0.697931325640304
"Man and God",0.698599774838165
"Doctor and Patient",0.699180270194202
"Bully and Victim",0.69972558401351
"Doctor and Nurse",0.702522516183507
"Between roommates",0.705565719110611
"Between a monarch and their minister",0.706585983675767
"Foster-parent and Foster-child",0.708327469743878
"Officer and Soldier",0.709629186602871
"Manager and Assistant",0.710244863495638
"Step-grandparent and Step-grandchild",0.711845623416831
"Between close relatives",0.711933577258655
"Between Co-workers",0.722030678300028
"Step-parent and Step-child",0.722857444413172
"Interviewer and Job applicant",0.723015761328455
"Godparent and Godchild",0.726111736560653
"Landlord and Tenant",0.726481142696313
"Superior and Subordinate",0.727184773430903
"Between competitors in sports",0.730597382493667
"Between half-siblings",0.732039825499578
"Celebrity and Haters",0.732409231635238
"Between fans of opposing sports teams",0.734643259217563
"Driver and Passenger",0.735944976076555
"Sugar-daddy and Sugar-baby",0.735944976076555
"Between a person and their family friends",0.73666619757951
"Between ex-lovers",0.737352237545736
"Between a person and their crush",0.738108640585421
"Criminal and Police officer",0.741697157331832
"Criminal and Prosecutor",0.742752603433718
"Drug dealer and Addict",0.743509006473403
"Man and His Mistress",0.74408950182944
"Between a person and their deceased spouse",0.744212637207993
"Chef and Customer",0.744230227976358
"Between political allies",0.747941880101323
"Customer and Businessman",0.749736138474529
"Foreman and Laborer",0.752568252181255
"Owner and Manager",0.75332465522094
"Groom and Groomsman",0.755277230509429
"Police officer and Offender",0.757194624261188
"Between divorced spouses",0.757616802701942
"Employer and Employee",0.75886574725584
"Between enemies",0.760624824092316
"Brother and Sister",0.761047002533071
"Lawyer and Client",0.761064593301435
"Between Siblings",0.763087531663383
"Bride and Bridesmaid",0.763615254714326
"Victim and Criminal",0.766113143822122
"Entrepreneur and Investor",0.76739726991275
"Manager and Staff",0.768083309878976
"Parent and Teenager",0.768962848297214
"Salesperson and Customer",0.768980439065578
"Between friends",0.770897832817337
"Between soul-mates",0.77441598649029
"Criminal and Hostage",0.777406417112299
"Customer and Server",0.778215592457078
"Guard and Prisoner",0.780344075429215
"Dealer and Buyer",0.780555164649592
"Between opposing negotiators",0.785621305938643
"Consultant and Client",0.788171967351534
"Guide and Tourist",0.795947086968759
"Between life-partners",0.797160849985927
"Slave and Master",0.800608640585421
"Between Close Friends",0.801030819026175
"Bride and Groom",0.801892766676048
"Between childhood friends",0.8051118772868
"Between strangers",0.805797917253026
"Between political opponents",0.808665212496482
"Between long-distance lovers",0.810459470869688
"Between romantic lovers",0.811426963129749
"Between adoptive parents and adopted kids",0.818304953560371
"Between a person and their significant other",0.818674359696032
"Aunt and Niece/Nephew",0.819219673515339
"Uncle and Niece/Nephew",0.820732479594709
"Wife and Husband",0.823828454826907
"Between business rivals",0.826695750070363
"Fiance and Fiancee",0.828577962285393
"Parent and Child",0.831462848297214
"Prostitute and Customer",0.841489586265128
"Mother and Infant",0.841806220095694
"Parent and Infant",0.843477343090346
"Between twins",0.850443287362792
"Grandparent and Grandchild",0.871657754010695
