,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Parent and Child,89.1617165242165,29.6889201847535,91.9521130104464,87.4218617801951,25.2542745834412,80.5520029353362,59.8211819045152,92.0806364931365,39.152857636191,24.5753021669688,46.5531684365018,84.0161512869846,98.4133721217054,88.6254748338082,36.7986385528052,36.08480670564,46.5515638682305,97.7010665260665,57.2506772548439,30.8233684525351,42.802814623648,30.3637368804035,83.652223520851,94.4758332898039,83.0831496571693,28.727109002109,81.3383890347126,92.6661165813127,73.08480730417,92.2682647145883,92.1385432650139,95.1243395402709,82.039775638305,0
Parent and Teenager,71.4927846844514,31.3009011050678,80.7054746179746,82.2500949667617,24.2638209013209,66.4598301389968,58.4391554433221,86.4028220236554,39.5125561167228,26.9949937408271,47.1573145989813,78.741237003737,87.3185846560847,76.0582721291055,40.34297338464,37.6758943217277,42.1854637646304,83.6005405088738,56.070700287367,48.9530642197309,51.8412393162393,35.9334745501412,78.5330648200746,90.0828656184048,77.1233753900421,29.8877664274723,76.1263405077131,85.3860609887571,64.9044227105502,84.1510884268237,89.0228082193768,83.4165701673055,76.733056975704,0
Wife and Husband,87.9933544850211,87.1715326340326,92.6013144263144,87.7015173098507,25.9218186134853,92.8260381593715,55.8217376759043,91.8624838124838,69.0641888975222,28.6713858672192,48.4889827764828,88.5210043043376,95.7163876247209,85.0151439609773,47.3713160296494,40.8488587030254,43.7686432394766,90.8221904638571,91.5002502127502,39.8811495603162,56.4322840739507,23.1365743824077,76.8712044944888,93.1023702513899,85.7719870180655,35.3908413391257,84.32328155686,85.8918861095332,81.9673724060979,89.4878177015432,91.0782994329563,92.7467118665648,28.0048829438535,0
Fiance and Fiancee,86.5222502805836,86.0993492618493,87.4977100060433,85.1071354571355,27.1101085642752,86.0174523007856,54.3907655615989,85.6147284813952,66.1371158162825,30.7877072002072,45.1468261676595,82.0099416016083,92.5199218990886,78.1729757896425,40.1135164218498,38.8068004526338,38.3352719811053,85.1034231200898,83.298593998594,29.6617331742332,53.8190109273443,17.4788389080056,58.1383876744171,85.2507683765037,77.3234292305371,31.7356505876114,79.6625085970674,71.0235950596245,75.0975991510305,79.8899403610188,87.745220882966,87.8370998917567,28.0714959695352,0
Between Siblings,75.5540382457049,74.5741086074419,77.2974456099456,83.4928656220323,23.4378410170077,63.7092355175689,60.4156133989467,77.1156392989726,55.8462574462574,34.3128679962013,46.9034252784253,81.9459500376167,83.8874263082596,71.6811598894932,28.4870802037469,36.5669968919969,28.49050995301,79.5979542062875,18.6148114231448,48.548694669528,48.2951586993254,28.1243145743146,68.8572158505982,87.4855435958377,77.6543610710277,26.0319999626372,71.1520611287768,91.9073038163724,69.8280607917863,75.2598969567107,88.1208818777446,83.5225258311043,34.7387430198705,0
Between divorced spouses,30.0186771561772,64.0233931192265,32.4743449451783,33.9216157299491,65.0590520590521,22.280298713632,47.9372701372701,28.370715704049,51.2430976430976,66.9409360701027,58.5591232841233,57.4004916379916,28.8678243053243,35.8150903109236,47.2026721735055,36.8622354497355,23.8638247554914,26.0314680689681,27.5651778776779,75.3788922497256,62.0488415905083,39.9830985372652,50.3118898893409,50.9336982643355,33.9221748839396,24.8957845168629,36.7709179346434,36.3843619524992,39.9862977073761,24.6105982343727,50.8748052600994,28.9683255016588,28.9260817069641,2
Between a person and their in-laws,61.7845366053699,47.8201599326599,50.6435616852284,54.6310681602348,54.1728761978762,36.7025619442286,57.1524248899249,57.2820199861867,49.9650641025641,43.8218973927307,46.8542605542605,64.7185072643406,50.9667924667925,48.3042867626201,26.6038694330361,31.4721741221741,29.3753205128205,43.1613533071866,17.5253282211616,45.2329654912988,39.961026011026,24.2637555345889,49.9943696553991,61.7389290448114,46.7997452801374,29.4041450198313,47.9099920685705,59.4573585637311,46.9809260002887,38.916341392812,71.679101689886,53.2972741673722,73.247524189681,2
Between cousins,73.3941314857981,73.5376100751101,59.3078725287059,69.972796339463,35.5176336009669,45.2565699732366,61.3943430026763,62.5342754467754,52.9669645169645,32.9596067512734,42.8902400069067,66.3097011013678,64.2929960471627,57.7047597464264,22.5062738187738,30.4213366880034,23.9017604309271,51.5713235838236,16.2398351648352,27.6298944882278,36.7809170767504,18.5729739396406,50.2855633201221,63.4966772969224,57.2505624549742,25.8383958724645,54.7653063802574,73.5452899950449,54.6111877864329,44.3248584476526,77.2642106078381,66.7218554774927,38.0382592987985,0
Employer and Employee,77.1615729949063,29.7190698190698,62.5745442828776,27.2525150775151,86.4371098037765,23.3294631294631,79.7410182410183,37.4561096311096,69.4855249688583,77.8747018413685,77.519886286553,44.5712221420555,24.201278659612,77.0256413339747,82.7810485810486,48.0385241301908,73.1477934102934,38.611221340388,15.364728635562,43.6420013628347,58.7303791887125,35.5254208754209,81.2300051800052,72.8114391781058,70.4622010705344,92.5069045152378,72.2876079167746,68.5665835707502,75.6205214538548,69.98445998446,77.5640054390054,66.3230477855478,59.9484254942588,1
Interviewer and Job applicant,64.4133989467323,33.2095925679259,32.0849918599919,26.2755793589127,87.26554001554,19.3880082880083,65.6271034521034,33.7398191314858,53.6430683514017,78.0097692431026,59.166271382938,38.8970879429213,17.8072871572872,68.4513247554914,51.5384940676607,36.25449334616,46.473246352413,20.3642997434664,15.0325597242264,27.4397486772487,54.4577821869489,23.3008317299984,67.4468930760598,61.3935541310541,48.4787803246137,85.0307120348787,61.6913040663041,22.843333980834,62.6292173875507,59.7036011827679,72.0163180954848,49.4875399292066,54.7621298454632,1
