,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1.1,Q3,Q4,Q5,Q5.1,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q15.1,dynasty,Dynasty,Group
0,Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"感谢您参加本实验。在实验开始前，请先阅读《知情同意书》。
 

北京师范大学认知神经科学与学习国家重点实验室被试知情同意书



研究目的：

本研究主要探究中国古人的人际关系心理表征。



实验流程：

一共有5份问卷，每份问卷有7道大题（约180道小题），每天需至少作答1份问卷。



潜在风险和副作用：

无潜在风险及副作用。



受益：

完成本问卷，您将收到金钱酬劳。



隐私：

本研究的结果可能会在学术期刊/书籍上发表，或者用于教学，相关科学数据可能会分享给其他研究者分析。但是您的名字或者其他可以确认您身份的信息不会在任何发表或教学的教材或公开数据库中出现，除非得到您的书面允许。 

 

请问您愿意参加本实验吗？",,年龄（请输入整数）,性别,民族,请问您的民族是？,所在学校,所学专业,年级（如2022级博士）,具体研究方向,古籍阅读频率,最熟悉的朝代,近期开展的研究工作（简述主题即可）,成长环境,所在地区,请问中文是您的母语吗？,请问您的母语是？,,,
1,"{""ImportId"":""startDate"",""timeZone"":""Asia/Hong_Kong""}","{""ImportId"":""endDate"",""timeZone"":""Asia/Hong_Kong""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Asia/Hong_Kong""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID125220370""}",,"{""ImportId"":""QID125214690_TEXT""}","{""ImportId"":""QID125214691""}","{""ImportId"":""QID125214692""}","{""ImportId"":""QID125214693_TEXT""}","{""ImportId"":""QID125214695_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID125214696""}","{""ImportId"":""QID125214697""}","{""ImportId"":""QID125214698""}","{""ImportId"":""QID125214699_TEXT""}",,,
2,2023/9/19 22:09,2023/9/19 22:12,IP Address,223.104.40.188,100,206,TRUE,2023/9/19 22:12,R_xDhbO03XNf8wfVn,,,,,39.911,116.395,anonymous,ZH-S,愿意,46,23,女,汉族,,北京语言大学,汉语言文字学,2022级硕士,汉语史,几乎每天都会阅读,唐代,由于毕业论文选题为唐代某文献，且与法律相关，所以最近一直在关注法制史内容。,城市,河北省,是,,唐宋,唐宋,G1
3,2023/9/19 22:06,2023/9/19 22:13,IP Address,223.72.40.155,100,380,TRUE,2023/9/19 22:13,R_3erGC5DafNEnSVB,,,,,39.911,116.395,anonymous,ZH-S,愿意,34,25,女,汉族,,北京师范大学,汉语史,2020硕士,训诂学,几乎每天都会阅读,先秦,征引式训诂、《经典释文》音义研究,城市,广东省,是,,春秋战国（先秦）,春秋战国（先秦）,G1
4,2023/9/19 22:09,2023/9/19 22:13,IP Address,114.254.2.220,100,222,TRUE,2023/9/19 22:13,R_1GQe3mGKHXHFHyw,,,,,39.911,116.395,anonymous,ZH-S,愿意,25,25,女,汉族,,中国人民大学,中国古典文献学,2021级硕士,史部文献、小学文献,几乎每天都会阅读,唐代，清代,《说文解字注》,城市,北京市,是,,唐宋,唐宋,G1
5,2023/9/19 22:09,2023/9/19 22:14,IP Address,223.104.40.94,100,297,TRUE,2023/9/19 22:14,R_1Ojcwfh8DFcUW7H,,,,,39.911,116.395,anonymous,ZH-S,愿意,22,22,女,汉族,,北京师范大学,中国古代文学,2023级硕士,唐宋方向,每周都会阅读,唐宋,"陶渊明
儒学史
公私观",城市,江苏省,是,,唐宋,唐宋,G1
6,2023/9/19 22:07,2023/9/19 22:15,IP Address,219.142.99.17,100,473,TRUE,2023/9/19 22:15,R_2v19YkvxcVaRqIK,,,,,39.911,116.395,anonymous,ZH-S,愿意,12,23,女,汉族,,北京师范大学,中国古代文学,2022级硕士,元明清文学,每周都会阅读,元明清,明代散文（尺牍）,城市,北京市,是,,元明清,元明清,G1
7,2023/9/19 22:11,2023/9/19 22:15,IP Address,223.104.44.11,100,234,TRUE,2023/9/19 22:15,R_33a1tGAETAHRsKl,,,,,39.911,116.395,anonymous,ZH-S,愿意,39,23,女,汉族,,北京师范大学,中国古代文学,2022级硕士,唐宋,几乎每天都会阅读,唐、宋,唐宋诗歌研究,城市,湖南省,是,,唐宋,唐宋,G2
8,2023/9/19 22:10,2023/9/19 22:15,IP Address,183.46.0.101,100,311,TRUE,2023/9/19 22:15,R_cN4X9iN8T49DiUh,,,,,22.5559,114.0577,anonymous,ZH-S,愿意,6,25,女,汉族,,北京师范大学,中国古代文学,2020级硕士,宋代文学,几乎每天都会阅读,宋代,元祐礼物诗研究,城市,广西壮族自治区,是,,唐宋,唐宋,G2
9,2023/9/19 22:13,2023/9/19 22:16,IP Address,219.142.99.9,100,177,TRUE,2023/9/19 22:16,R_21sTUPFUVTx23mg,,,,,39.911,116.395,anonymous,ZH-S,愿意,20,20,女,汉族,,北京师范大学,中国古代文学,2023级硕士,唐宋文学,几乎每天都会阅读,唐,宋诗中以苏黄为例的文人交游、群体活动,城市,福建省,是,,唐宋,唐宋,G2
