"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.7965178238421e-16,0.0696547481259933,6.88613189034297e-15,0.999999999999994
"scale(x)Lexical",0.0232956033480831,0.115438087302361,0.201801709405199,0.840336352619146
"scale(x)personality_all",-0.0691728532506916,0.0801031335994409,-0.863547406229991,0.389170853286786
"scale(x)Coordinate",-0.0563943378216764,0.0844123042452286,-0.668081961817363,0.50507487405687
"scale(x)Climatic_demands",0.0142101361004738,0.0795255907476144,0.178686331869846,0.85841734517933
"scale(x)subsistence",0.0606961723052992,0.0815540679534502,0.744244570852599,0.45785533817913
"scale(x)disease",-0.00522057103744898,0.0827097503225813,-0.0631191729764377,0.949752930630359
"scale(x)urban",0.287829095521303,0.0844777842238232,3.40715725638236,0.000836375005228618
"scale(x)wealth",-0.0482587270030348,0.0878264495812846,-0.549478286246453,0.583468061186652
"scale(x)edu",0.139766692230828,0.0783349571582473,1.78421865921852,0.0763444372105306
"scale(x)Hofstede_6D",0.00666799482435586,0.0862059957062192,0.0773495482504451,0.938445232046629
"scale(x)new_gendist_weighted",-0.206439302639856,0.0944370223833404,-2.18599970043394,0.0303158034961909
"scale(x)religion_per",0.161649124114884,0.130660404285175,1.23716993682396,0.217895040591273
"scale(x)idealogy",-0.19276794708271,0.078092085202569,-2.4684697121696,0.0146553451785019
"scale(x)demographics",0.0323493604129871,0.0838205758158709,0.385935793188168,0.700073423780498
"scale(x)check_size",-0.0793635324050613,0.074586885592206,-1.06404137637508,0.288964783058693
