,Australia,Brazil,Chile,CHN,Egypt,France,Germany,Hong Kong,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South Africa,Spain,United Kingdom,United States
Australia,0.0,3.5918166063824106,7.63353473347148,2.1098242434468037,8.264476796739125,6.051180804409997,1.761870992943925,15.786486556146071,6.466665412191725,4.281290726227649,14.097522733604785,6.395135518411206,0.7322026056774836,15.464828916058291,10.176460348550743,4.6117653193557135,12.215775150428888,3.2183490738437883,6.3774888971466215
Brazil,3.5918166063824106,0.0,5.182329366361201,4.178907949159231,5.525502041968459,3.541047032676884,2.730190509804085,12.274573290506275,2.934487385520161,1.9052230255030367,10.990632448609267,3.8089913236490602,3.3490510141434533,12.12361186261786,6.793842414902886,6.58923189697177,9.078235448905296,2.3315987509478724,9.583979243861243
Chile,7.63353473347148,5.182329366361201,0.0,8.460778926958417,7.732405810155851,1.9440473449145683,6.04001707061103,9.818867253675359,5.188284800167217,3.6625561331050336,7.036686548151708,1.525852994920549,7.607792814128298,11.620054701959743,6.343146282189654,11.185420961329342,5.039701791929602,7.33218358338982,13.9589209225836
CHN,2.1098242434468037,4.178907949159231,8.460778926958417,0.0,8.102406506319229,6.847913885437492,2.8212068735195324,16.06212731467092,6.636403239047558,4.953546016402707,14.929283245196283,7.115656852873438,1.6042961806350815,15.738911748878216,10.31311471396475,3.302139817722234,12.786997445837292,3.5099465037313,6.016176566003305
Egypt,8.264476796739125,5.525502041968459,7.732405810155851,8.102406506319229,0.0,7.202733219300557,7.862842533160161,10.948801058571329,3.7903236268231972,6.4953751604303,11.213292741354595,7.004021234187499,8.031519889096554,8.31051022753676,3.94021795178521,8.763063669654679,8.785064164449128,5.502263357754573,12.806302160358632
France,6.051180804409997,3.541047032676884,1.9440473449145683,6.847913885437492,7.202733219300557,0.0,4.445370832549256,10.473764930521163,4.094353471030281,1.9605418916019506,8.276791994593717,0.6293122423666081,5.9492631355278744,11.964415700135802,6.516845002363149,9.680425439804496,6.490480927638829,5.7736795451268526,12.400299310196607
Germany,1.761870992943925,2.730190509804085,6.04001707061103,2.8212068735195324,7.862842533160161,4.445370832549256,0.0,14.45419541304708,5.571548250371169,2.7425706346554297,12.648965835552595,4.7876038985448615,1.7103909673876756,14.719871914088815,9.190779033684565,5.837328719005878,10.73017551578958,3.5107818002566042,7.9998384158027624
Hong Kong,15.786486556146071,12.274573290506275,9.818867253675359,16.06212731467092,10.948801058571329,10.473764930521163,14.45419541304708,0.0,9.755724008731546,11.772749132798765,5.219515073853293,10.209607551982476,15.513250494350642,7.160407107040185,7.3584877477202335,18.120150232861644,5.875361527432342,13.839004166390415,21.744577858535948
India,6.466665412191725,2.934487385520161,5.188284800167217,6.636403239047558,3.7903236268231972,4.094353471030281,5.571548250371169,9.755724008731546,0.0,3.5985026875486192,9.36502841321707,4.0975275726390565,6.151702617421382,9.453383943883583,4.240786446746964,8.529443197671206,7.402848563567888,4.185475912727717,12.08070277891606
Israel,4.281290726227649,1.9052230255030367,3.6625561331050336,4.953546016402707,6.4953751604303,1.9605418916019506,2.7425706346554297,11.772749132798765,3.5985026875486192,0.0,10.049378533449739,2.2278232855236544,4.124664653240758,12.457888648160791,6.839394969426743,7.72420014268263,8.06655179458668,4.009074916845763,10.582698499198136
