,Australia,Brazil,Chile,Egypt,France,Germany,India,Israel,Japan,Mexico,Portugal,Qatar,Russia,South_africa,USA,UK,CHN,HK,Spain
Australia,0.0,1.1582473281297698,2.5593758785701075,2.5241802320057767,1.6906198868028117,1.1840299141981758,1.8997422177061922,2.6787149633152225,1.1672754860843222,2.0988438650661148,2.175660579453769,2.7475820813629537,1.8225698804479828,1.761583668924844,2.1103194706685233,1.0541026381857832,1.994844402055846,1.2850502521004912,1.522969937276282
Brazil,1.1582473281297698,0.0,3.0170066299617027,2.897388619368663,2.1696917424661666,1.2128392117619566,2.8762243657059674,2.4336767563135964,1.6553906031901475,2.4625888968907335,2.420994780431438,3.2382538219722834,2.9053324109537075,0.9550914920465832,2.0579674554487246,1.0580253903850378,1.8237491257423601,1.3099207540902729,2.0417385782068544
Chile,2.5593758785701075,3.0170066299617027,0.0,2.364217517356267,1.7187911181967201,2.252153681782859,1.5976325186743805,3.9084512274020913,3.4012170978645635,0.921643861649536,1.0309637534170044,2.5996022629606186,3.4934375323962676,2.616232821256862,4.656821489773423,3.5620345871170027,1.6744968643996267,1.722684602177807,1.2067188968654678
Egypt,2.5241802320057767,2.897388619368663,2.364217517356267,0.0,3.2087026143900745,1.6964302890449439,2.605674056447506,2.075769361264123,3.681797733220658,2.8031688774642625,1.5779551500097713,0.46361485409747655,3.387673074707321,2.8682269940974505,4.003860951492526,3.2128530761963536,2.8652584143096527,2.206345632998768,2.544050778772734
France,1.6906198868028117,2.1696917424661666,1.7187911181967201,3.208702614390075,0.0,2.13724087203137,1.4931912942743915,4.023416738508015,1.9973541439004925,0.8839402384767063,2.0210837905562093,3.4667030813669593,2.683979055466637,2.067600100989896,3.6018954221443362,2.530277230757823,1.3260805648547558,1.4120800209560416,0.6882764513295508
Germany,1.1840299141981758,1.2128392117619566,2.252153681782859,1.6964302890449439,2.13724087203137,0.0,2.305068736698787,1.898917841202023,2.2865531604392895,2.0633797936694913,1.4469360814738814,2.058185267645223,2.7946624894131866,1.3188449797604098,2.7507663385488286,1.762876494677039,1.7001777170095445,0.8730458945656984,1.6491582873023867
India,1.8997422177061922,2.8762243657059674,1.5976325186743805,2.605674056447506,1.4931912942743915,2.3050687366987868,0.0,3.928721117758825,2.498976691425077,1.560240632092775,1.9865942242965278,2.674036232204233,2.0388712048044706,2.9840763674170963,3.8658131127944197,2.919042155367182,2.3646632699019325,2.010716497953514,1.2509714149892597
Israel,2.6787149633152225,2.433676756313597,3.9084512274020913,2.075769361264123,4.023416738508015,1.898917841202023,3.9287211177588244,0.0,3.5890629722573935,3.923182591148193,2.936798396408368,2.2888970201627905,3.820353547815001,2.7144123816333514,2.9855686234262686,2.6254436904517164,3.469304922181747,2.738717155997259,3.530174028749225
Japan,1.1672754860843222,1.6553906031901475,3.401217097864563,3.6817977332206584,1.9973541439004925,2.286553160439289,2.498976691425077,3.5890629722573935,0.0,2.735126395431465,3.222176572231279,3.875704697504216,1.8002717400007633,2.379514723033262,1.8047154938297463,1.0893135850926878,2.6342660056919893,2.197771827244597,2.2209206590540997
Mexico,2.0988438650661148,2.4625888968907335,0.921643861649536,2.8031688774642625,0.8839402384767063,2.0633797936694913,1.560240632092775,3.923182591148193,2.735126395431465,0.0,1.3762135976780137,3.0902760385636787,3.213870352512609,2.0814272269056504,4.148099375017111,3.0294768608035265,1.0420217745956049,1.2920409032401514,0.593060005060435
