"","full_feature","full_feature_p","favee","favee_p","hpp","hpp_p"
"Climates",0.164573986947527,0.181,0.179380206140736,0.1908,0.130410992860853,0.1744
"Demographics",-0.0522996332592753,0.5978,-0.0118806804004729,0.499,-0.305614091651418,0.9931
"Disease",0.00485593574157344,0.4732,-0.030989404525845,0.6305,-0.00491816099149199,0.503
"Gene",-0.0569339672301124,0.5627,-0.17446117071927,0.7618,-0.0174178884577139,0.4929
"Geography",-0.210812989218868,0.9246,-0.202895950894733,0.9073,-0.190406501683931,0.9188
"Hofstede6D",-0.150602287939841,0.8093,-0.199695909242528,0.8797,-0.0731142455707674,0.6864
"Language",0.014990038819319,0.4648,-0.00386034156300368,0.519,0.0546182052779094,0.3257
"Modernization",0.350815480646747,0.0177,0.26318556439238,0.0487,0.280763991935522,0.0264
"Personality",0.131265761191074,0.2103,0.166520736216453,0.192,0.0623227331681425,0.2994
"Political",-0.124058589136877,0.817,-0.127888098008783,0.8272,-0.0669654869846445,0.6958
"Religion",0.557665662482903,0.0017,0.536422744515034,0.0028,0.393325977053884,0.0108
"Subsistence",-0.0788099722216292,0.6973,-0.0281329725789407,0.5617,-0.00434824545398626,0.494
"Non-social object knowledge",0.00307397600537806,0.4747,0.0342361564342779,0.4094,-0.0868317652010195,0.7159
