"","Activeness","Formality","Exchange","Valence","Equality"
"Importance.for.individuals",0.818080702032364,0.0225157313926296,-0.106580730493694,-0.0201718849687112,0.00345375315774091
"Activeness",0.706862674617034,0.0377636057828389,0.173893498087826,0.0301096144383485,0.107382734712447
"Spatial.Distance",0.695650843409334,0.0973213487075211,0.170900140070008,-0.032787753634261,-0.0498284245771358
"Activity.Intensity",0.670166882777532,0.308947187119515,-0.0252626451461498,-0.00163570539541809,0.126551202218529
"Information.Exchange",0.652304924026938,-0.144158502404042,0.17391526323254,0.210300760255237,0.0498560019717789
"Synchronicity",0.652238319668426,-0.0914731795997817,0.182725836505516,-0.0531338589836122,0.140547669914315
"Trust",0.643973334234258,0.0265945874293536,0.0208804356968195,0.461030276482935,-0.0271421061701465
"Endurance",0.634697642909796,0.24448400694645,-0.229839634060534,0.038843663728877,-0.0376709210693055
"Importance.for.society",0.623302530211809,-0.435381958175145,-0.0103103292170465,-0.123834313974092,-0.125839316602279
"Affiliation.Coalition",0.610487883402908,-0.0188358786644644,0.0687511173836204,0.347340983068944,0.107880747868956
"Attachment",0.553906521670078,0.443756335299388,-0.080682776808867,0.159177134352253,0.0300390301743372
"Morality",0.55273209583881,-0.330652482783209,-0.26510701874802,0.41277193792603,0.0276154995921703
"Uniqueness",0.524737014931376,0.470743013985336,-0.130324163356125,-0.193629965161477,-0.0312961123460224
"Communal.Sharing",0.431889999413533,0.333565946191322,-0.278558746285586,0.201562743269966,0.198872754514339
"Formality.and.Regulation",0.0338927261425815,-0.718274600695613,0.199168626528833,-0.0455202450127548,-0.158797707976067
"Occupational",0.189176321937999,-0.650347639568672,0.372911470189249,-0.00929555188725659,-0.143166077412628
"Visibility",0.172209550065911,-0.642177228128992,-0.171562914506934,0.0833470195484429,0.0794977183691164
"Intimacy",0.32485062689294,0.607358775048293,0.0719911996391707,0.0854135417044744,0.125815749815171
"Mating",0.209333705055312,0.575069735994552,0.154115628705457,-0.0818219697761463,0.0827153300793528
"Socioemotional",0.260711445196145,0.571378966829263,-0.231557489423043,0.135612762588515,0.189216907664516
"Strategic",-0.117082786728825,-0.510242630839879,0.384624635805304,-0.261294871718614,0.0821190311058947
"Love.Expression",0.48002526463261,0.491849243152396,-0.192040691018536,0.129255422438593,0.055715247554507
"Money.Exchange",-0.0407245782330372,0.0551759672944797,0.858054641153577,-0.00924943129283345,-0.060981386657059
"Service.Exchange",0.0619537910502338,-0.114938658006342,0.726641609827334,0.239115585994881,-0.229212221112514
"Concreteness",0.0226774195657847,-0.182188009348726,0.621874448161675,-0.00707113183410137,0.0502337279621147
"Negotiation",0.215425021394599,-0.0774182380802911,0.569020888635203,-0.141937183461769,0.278810532661189
"Goods.Exchange",-0.102339534654135,0.133896157861074,0.53123125985072,0.0486135463349572,0.045432240654785
"Conflict",0.0710115319552716,-0.0712385926385334,-0.0689141904831321,-0.953702901541098,0.0827793744837418
"Coercion",0.0973010497769367,0.0784853550342439,0.103009443819893,-0.797979020527283,-0.197765889460675
"Valence.Evaluation",0.328202172727896,0.0965001408432596,0.181010539283117,0.651715054884489,0.0861252371500318
"Equality",-0.0255024481637219,0.0163815178617369,-0.0809509733798186,0.0443049328863701,0.895927238603948
"Generation.Gap",0.158045096089517,0.00550858931967402,-0.0170527590617158,0.194978475644172,-0.664887547897069
"Expected.Reciprocity",0.188448554044599,-0.039456578946296,0.322692371144004,0.21105882406866,0.534721716863499
