"","Formality","Gemeinschaft","Exchange"
"Formality.and.Regulation",-0.853844529189388,0.186936896843251,0.155536706794172
"Socioemotional",0.826911104023195,0.139334926920432,-0.121512021100827
"Occupational",-0.780785334407212,0.293066572509901,0.338947337953854
"Intimacy",0.769801443622996,0.10240194845003,0.15966520137002
"Love.Expression",0.72989367785725,0.320100466786601,-0.0608850648865544
"Uniqueness",0.693082183779243,0.0683177408743839,0.061754509486223
"Mating",0.673720263621533,-0.125188602026432,0.233198978172214
"Communal.Sharing",0.654826314226522,0.392563473846476,-0.133339359643035
"Attachment",0.654011232965849,0.405880355590822,0.040190272917291
"Activity.Intensity",0.627347954878548,0.36048628897941,0.183814762901291
"Strategic",-0.566124308013179,-0.223218521730577,0.393185175639367
"Equality",0.504852798228451,-0.0284072613891778,0.0852700177949383
"Endurance",0.498038111458783,0.430027606061709,-0.0542606705468704
"Visibility",-0.487608965186403,0.376651601884749,-0.0968571093304786
"Generation.Gap",-0.334629593872663,0.32384103494486,-0.15212780975328
"Morality",-0.117906095881642,0.886548473466146,-0.190773784094404
"Trust",0.149622936919234,0.872752238822845,0.0546183561986758
"Valence.Evaluation",0.116100508231212,0.760150532757464,0.0967739543135503
"Conflict",0.116223076537394,-0.733529734935052,0.167927877084578
"Affiliation.Coalition",0.183946471053075,0.732813549334844,0.154916639578424
"Information.Exchange",0.0300612271528631,0.665757082980093,0.280202222408779
"Coercion",0.0473379279276574,-0.623000712611158,0.224385697666636
"Importance.for.individuals",0.33911806721255,0.545627370282899,0.123715736184543
"Activeness",0.296640147871668,0.475056419209249,0.355377305573178
"Importance.for.society",-0.265077859175009,0.444036825436667,0.153407873470223
"Spatial.Distance",0.262928532511454,0.411542510177529,0.320958821747663
"Synchronicity",0.176156672446496,0.394956133892779,0.373522235355444
"Money.Exchange",-0.242439298574664,-0.118552139388197,0.697065281187337
"Negotiation",0.032935089961449,-0.0484925727016506,0.65791549611352
"Concreteness",-0.313781235235505,-0.00847121459855532,0.566297379509913
"Service.Exchange",-0.47278891064713,0.251537831729186,0.509671073779194
"Goods.Exchange",-0.0322492514565161,-0.118114523640325,0.425619129144229
"Expected.Reciprocity",0.218533677089556,0.248912183296295,0.379499002378052
