"","V1","V2","V3","V4","V5","R2","F"
"Valence.Evaluation",-0.149648604361754,-0.2528123125539,0.292674122309516,0.0211903621672847,-0.166907900705489,0.902520152715602,283.311037537065
"Equality",-0.137188075934544,0.122147457823983,0.0804486706949364,0.213157888415693,0.505211890871917,0.803404440806096,125.04949750375
"Activity.Intensity",-0.22937555969291,-0.122789985949215,-0.204375153666643,-0.123276177766428,-0.0473193192761011,0.897746799336488,268.657136221059
"Socioemotional",-0.253934886155722,0.124470732102661,0.0156034789286376,0.0664602578325238,-0.0196237330710657,0.929009110784934,400.441227097435
"Formality.and.Regulation",0.227731239638203,-0.185422986654046,0.0230727927052735,-0.115618828841386,-0.0248573215418922,0.898553516963978,271.036873790237
"Intimacy",-0.242683083695568,-0.0332462289041126,-0.127936063613544,0.14598655104848,-0.125844512126811,0.869651128914193,204.154622307824
"Visibility",0.152693617927944,-0.0457653857068157,0.158737807344378,-0.283515064943642,0.34265650213564,0.712756292920055,75.9297489406218
"Communal.Sharing",-0.260509359294893,0.0479958490041168,0.0448211231540372,-0.114556050926852,0.104447048109876,0.933204668698587,427.515850371609
"Expected.Reciprocity",-0.180094547324544,-0.18037735238252,0.0579161823058218,0.156710558049368,0.339626333013238,0.831182403340189,150.660725217306
"Strategic",0.231577870671064,-0.176473557384276,0.000155276993343248,0.0479363862923991,0.121845467065688,0.896605840793359,265.354822156285
"Concreteness",0.157608598571196,-0.23364347228742,-0.10180788963021,0.239950982063642,-0.131494567058833,0.814256706594824,134.143498615855
"Uniqueness",-0.200561607637789,-0.0279677537002541,-0.259782738600121,0.0233559565593432,-0.179839810055345,0.725182947920796,80.7468024217831
"Love.Expression",-0.266365232655986,-0.0143737150011438,0.0606575667176731,-0.0276348240181678,-0.0588515236116032,0.926676461030032,386.728465454094
"Information.Exchange",-0.0461789467860799,-0.341033004500102,0.0606280367391832,-0.192441662294526,0.036800549012534,0.801384861881732,123.466806235982
"Money.Exchange",0.158164359573028,-0.230108679024338,0.00027718474712415,0.29301128130308,-0.146653952258963,0.850939877940003,174.686293725718
"Goods.Exchange",0.0278118641011458,-0.215446854239708,0.0424367473145765,0.433971857084811,-0.0993920587950048,0.715366132833548,76.9065321798313
"Service.Exchange",0.168971059562818,-0.274978232796892,0.0410189960475292,0.0275042927413958,-0.198066518342701,0.870436553524546,205.577724755085
"Attachment",-0.261198086009018,-0.0847962692928044,-0.0100680548584056,-0.0477248869472417,-0.0794874954704348,0.931636251212543,417.005646892408
"Mating",-0.184823977308686,0.019728567281331,-0.15399764029485,0.251854573038653,-0.190312794369242,0.686809691984223,67.1041728841064
"Conflict",0.132486894131751,0.164654531366456,-0.450379225045745,-0.055881369804616,0.108164856965063,0.881766387761073,228.209651676407
"Negotiation",-0.00743920511336372,-0.196898092627759,-0.0983947366527384,0.348612815511693,0.350215561053535,0.691156283651672,68.4792377510701
"Coercion",0.140917001869226,0.0996318266394995,-0.461661937904114,-0.119726066766327,-0.0498463408404697,0.846394648603111,168.611809495719
"Importance.for.society",0.0282691404285389,-0.221303443178947,0.0149800058067402,-0.356178022490017,-0.105732902079392,0.593324536359129,44.6442739624498
"Importance.for.individuals",-0.226350295694566,-0.162194696111532,-0.0471944502036827,-0.149536707751562,-0.0943127768817402,0.878604168920015,221.467964177768
"Affiliation_Coalition",-0.194385763986868,-0.170420373813205,0.243432477841943,-0.119246548779611,0.0845626244225598,0.835041017431337,154.900659154848
"Occupational",0.2201055829568,-0.207244070966557,0.0434335369087275,-0.113310691597593,-0.0172523021464188,0.906524641161847,296.75900006527
"Activeness",-0.137899538656926,-0.270016092308901,-0.268748262645031,-0.0494675813802354,0.101882685957242,0.860313316640587,188.461683362231
"Endurance",-0.240163606132107,-0.0189974720616185,-0.00188915667222548,-0.0952160583255054,-0.0769459600869956,0.770467279244356,102.714326163441
"Synchronicity",-0.0495273034077466,-0.26117284551985,-0.263049368312469,-0.0776045581739092,0.272404179449289,0.710868443100001,75.2341757229341
"Spatial.Distance",-0.0627410384257439,-0.260820178314117,-0.274249271612942,-0.10041315751183,0.129773586185556,0.671125599553617,62.44463940783
