Religion,Japan[x],Qatar[x],Israel[x],Mexico[x],Russia[x],Egypt[x],United States (General)[x],Spain[x],Portugal[x],South Africa[x],India[x],United Kingdom[x],Germany[x],France[x],China[x],Chile[x],Brazil[x],Australia[x],Hong Kong[x],The World
Baha'is,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Buddhists,56%,2%,0%,0%,0%,0%,1%,0%,1%,0%,1%,0%,0%,1%,16%,0%,0%,3%,16%,7%
Chinese folk-religionists,0%,---,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,30%,0%,0%,1%,43%,6%
unaffiliated Christians,0%,0%,0%,1%,0%,0%,14%,0%,0%,12%,0%,13%,5%,3%,0%,1%,0%,4%,0%,1%
Christians Orthodox,0%,0%,0%,0%,79%,9%,2%,2%,0%,0%,0%,1%,3%,1%,0%,2%,0%,4%,0%,4%
Christians Catholics,0%,12%,1%,90%,0%,0%,22%,84%,85%,6%,2%,9%,29%,59%,1%,67%,71%,26%,8%,16%
Christians Protestants,0%,1%,0%,4%,1%,0%,16%,0%,1%,22%,2%,40%,30%,1%,2%,3%,15%,23%,6%,8%
Christians Independents,1%,0%,0%,6%,1%,0%,19%,1%,4%,41%,1%,4%,1%,1%,4%,24%,12%,3%,2%,5%
Daoists,---,---,---,---,---,---,0%,---,---,---,---,---,---,---,0%,---,---,0%,---,0%
Confucianists,0%,---,---,---,---,---,---,---,---,0%,---,---,0%,---,0%,---,---,0%,0%,0%
Ethnic religionists,0%,---,---,1%,1%,---,0%,---,0%,7%,4%,0%,0%,0%,4%,1%,0%,0%,0%,4%
Hindus,0%,3%,0%,0%,0%,0%,0%,0%,0%,2%,72%,1%,0%,0%,0%,0%,0%,2%,0%,14%
Jains,0%,---,---,---,---,---,0%,---,---,0%,0%,0%,---,---,---,---,---,0%,---,0%
Jews,0%,---,72%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%
Muslims,0%,79%,20%,0%,12%,90%,1%,3%,0%,2%,14%,6%,6%,9%,2%,0%,0%,3%,1%,24%
New religionists,26%,---,0%,0%,0%,---,1%,---,---,0%,---,0%,0%,0%,0%,0%,1%,1%,3%,1%
Shintoists,2%,---,---,---,---,---,0%,---,---,---,---,---,---,---,---,---,0%,---,---,0%
Sikhs,0%,---,---,0%,0%,---,0%,0%,0%,0%,2%,1%,0%,0%,0%,---,---,1%,0%,0%
Spiritists,---,---,---,---,---,---,0%,---,0%,0%,---,0%,---,0%,---,---,5%,0%,0%,0%
Zoroastrians,---,---,---,---,---,---,0%,---,---,---,0%,0%,---,0%,0%,---,---,0%,0%,0%
Non-Religious,13%,2%,5%,3%,5%,1%,20%,10%,8%,6%,1%,23%,26%,24%,40%,11%,3%,32%,22%,12%
